Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-07-25,166.25,185.25,154.5,162.85000610351562,149.85003662109375,22463056,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.19902912621359223
2007-07-26,165.4250030517578,169.4499969482422,160.3000030517578,162.5,149.52796936035156,6957760,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.057080434948775495
2007-07-27,159.5,159.5,146.625,150.5,138.48590087890625,3402654,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.08780903665814152
2007-07-30,151.0,155.25,144.3000030517578,149.1999969482422,137.2896728515625,3286372,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.07588355313003438
2007-07-31,150.14999389648438,165.72500610351562,150.14999389648438,159.5,146.76742553710938,6638280,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.10372968924506847
2007-08-01,157.39999389648438,157.39999389648438,143.64999389648438,143.64999389648438,132.18272399902344,1993772,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.09571876494410705
2007-08-02,146.0,151.60000610351562,143.25,144.5,132.96485900878906,1693364,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.058289745923320244
2007-08-03,146.3249969482422,149.6999969482422,145.0,146.5,134.80520629882812,696384,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.03241377205684267
2007-08-06,142.8249969482422,156.5,138.5,155.0,142.6266632080078,1129316,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.1299638989169675
2007-08-07,156.5,166.1999969482422,155.5,156.9499969482422,144.42098999023438,2981610,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.06881026976361536
2007-08-08,162.5,165.75,158.5,159.5,146.76742553710938,1868298,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.04574132492113565
2007-08-09,164.0,164.6999969482422,151.5,151.60000610351562,139.4980926513672,1109486,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.08712869272767121
2007-08-10,150.0,150.85000610351562,141.0500030517578,150.0,138.02581787109375,566318,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.0694789283213396
2007-08-13,153.25,156.6999969482422,151.0,154.27499389648438,141.95953369140625,722008,ADSL,Technology,Information Technology Services,N/A,EQUITY,0.0056,12.085,3.603,8.08,0.037748324160544286
