Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-06-25,24.799999237060547,24.950000762939453,23.0,24.5,19.57362174987793,355930,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.08478264186693274
2007-06-26,23.299999237060547,25.739999771118164,23.299999237060547,25.739999771118164,20.564292907714844,119780,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.10472105639285162
2007-06-27,25.809999465942383,27.030000686645508,25.809999465942383,27.030000686645508,21.59490394592285,40990,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.04726854885498852
2007-06-28,28.0,28.385000228881836,28.0,28.385000228881836,22.67745018005371,8980,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.013750008174351283
2007-06-29,29.799999237060547,29.80500030517578,28.100000381469727,29.80500030517578,23.811912536621094,245000,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.06067615304483769
2007-07-02,30.5,31.06999969482422,30.5,31.06999969482422,24.822555541992188,20580,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.018688514584400615
2007-07-03,31.5,32.625,30.420000076293945,31.700000762939453,25.325878143310547,243300,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.07248520441077819
2007-07-04,32.494998931884766,32.494998931884766,30.204999923706055,31.700000762939453,25.325878143310547,21850,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.07581522972895063
2007-07-05,31.0,31.684999465942383,31.0,31.020000457763672,24.782604217529297,32160,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.022096756965883316
2007-07-06,31.024999618530273,31.69499969482422,31.0,31.0,24.766632080078125,20040,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.022419344994329637
2007-07-09,31.100000381469727,31.100000381469727,31.0,31.0,24.766632080078125,15600,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.0032258187570879536
2007-07-10,30.5,31.049999237060547,30.5,31.0,24.766632080078125,19600,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.0180327618708376
2007-07-11,31.0,31.0,30.0,30.399999618530273,24.28727912902832,1450,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.03333333333333333
2007-07-12,30.5,30.549999237060547,30.5,30.5,24.367170333862305,33040,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.0016393192478867827
2007-07-13,30.5,30.5,30.5,30.5,24.367170333862305,0,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.0
2007-07-16,30.5,30.5,30.5,30.5,24.367170333862305,0,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.0
2007-07-17,30.5,30.5,30.5,30.5,24.367170333862305,0,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.0
2007-07-18,30.5,30.5,30.5,30.5,24.367170333862305,0,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.0
2007-07-19,30.5,30.5,30.5,30.5,24.367170333862305,0,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.0
2007-07-20,30.5,30.5,30.5,30.5,24.367170333862305,0,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.0
2007-07-23,30.0,30.0,29.96500015258789,29.975000381469727,23.94773292541504,695000,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.001168024269443785
2007-07-24,28.604999542236328,30.375,28.604999542236328,30.364999771118164,24.259313583374023,38550,ADVANIHOTR,Consumer Cyclical,Lodging,N/A,EQUITY,0.0255,2.748,2.561,2.7,0.06187731117248233
