Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2014-01-28,37.0,37.0,35.150001525878906,35.150001525878906,35.150001525878906,2071,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0526315332521123
2014-01-29,33.400001525878906,33.400001525878906,33.400001525878906,33.400001525878906,33.400001525878906,800,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-01-30,33.400001525878906,33.400001525878906,33.400001525878906,33.400001525878906,33.400001525878906,0,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-01-31,31.75,31.75,31.75,31.75,31.75,46,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-03,30.200000762939453,30.200000762939453,30.200000762939453,30.200000762939453,30.200000762939453,1,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-04,30.200000762939453,30.200000762939453,30.200000762939453,30.200000762939453,30.200000762939453,0,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-05,30.200000762939453,30.200000762939453,30.200000762939453,30.200000762939453,30.200000762939453,0,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-06,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,360,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-07,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,0,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-10,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,0,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-11,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,0,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-12,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,0,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-13,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,50,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-14,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-17,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-18,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-19,25.950000762939453,25.950000762939453,25.950000762939453,25.950000762939453,25.950000762939453,1,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-20,24.700000762939453,24.700000762939453,24.700000762939453,24.700000762939453,24.700000762939453,1,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-21,23.5,23.5,23.5,23.5,23.5,2,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-24,22.5,22.5,22.350000381469727,22.350000381469727,22.350000381469727,525,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.00671139221342642
2014-02-25,21.25,21.25,21.25,21.25,21.25,31,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-26,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,20.200000762939453,40,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-02-28,19.200000762939453,19.200000762939453,19.200000762939453,19.200000762939453,19.200000762939453,94,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-03-03,18.25,18.25,18.25,18.25,18.25,561,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
2014-03-04,18.25,18.25,18.25,18.25,18.25,0,AGRITECH,Consumer Defensive,Farm Products,N/A,EQUITY,,,,16.38,0.0
