Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2024-04-23,855.0,953.2000122070312,775.0499877929688,926.2000122070312,926.2000122070312,212645,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.22985617343387393
2024-04-24,950.0,968.2999877929688,891.0,908.2000122070312,908.2000122070312,35784,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.08675643972274831
2024-04-25,916.25,916.25,870.2999877929688,885.9500122070312,885.9500122070312,13788,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.052797900553299866
2024-04-26,894.2000122070312,894.2000122070312,828.0,854.0999755859375,854.0999755859375,15124,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.0799517055640474
2024-04-29,854.0999755859375,854.0999755859375,834.0,840.7999877929688,840.7999877929688,6264,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.024100690151004196
2024-04-30,869.0,869.0,821.5999755859375,833.0499877929688,833.0499877929688,7376,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.05769233912191684
2024-05-02,848.9500122070312,848.9500122070312,821.5999755859375,825.9000244140625,825.9000244140625,5691,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.03328875052800315
2024-05-03,844.5999755859375,862.0999755859375,822.2999877929688,830.4000244140625,830.4000244140625,3538,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.04840081282232638
2024-05-06,831.0,842.5499877929688,806.0,814.2000122070312,814.2000122070312,10524,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.04534737939574287
2024-05-07,826.4000244140625,826.4000244140625,769.1500244140625,784.1500244140625,784.1500244140625,13783,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.07443281308300416
2024-05-08,780.2000122070312,798.0499877929688,767.2000122070312,785.1500244140625,785.1500244140625,5224,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.04021112499358582
2024-05-09,783.8499755859375,800.9500122070312,753.25,778.2000122070312,778.2000122070312,11761,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.06332560531965649
2024-05-10,778.5499877929688,835.3499755859375,732.2000122070312,764.4500122070312,764.4500122070312,33011,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.14087675725105064
2024-05-13,736.0,786.25,736.0,762.4500122070312,762.4500122070312,19741,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.06827445652173914
2024-05-14,768.4000244140625,832.2000122070312,768.4000244140625,823.0,823.0,16864,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.08302965352144404
2024-05-15,832.7999877929688,848.0,804.1500244140625,829.9500122070312,829.9500122070312,15961,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.05452959554143946
2024-05-16,834.0,864.4000244140625,822.5,855.4500122070312,855.4500122070312,16161,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.05094227892287234
2024-05-17,862.0,920.0,851.0999755859375,891.2999877929688,891.2999877929688,34119,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.0809540904599703
2024-05-21,877.25,888.0,831.1500244140625,841.6500244140625,841.6500244140625,13616,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.06839917453652863
2024-05-22,854.25,864.9500122070312,830.8499755859375,851.1500244140625,851.1500244140625,12935,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.04104235135476233
2024-05-23,838.4000244140625,854.9500122070312,836.1500244140625,838.1500244140625,838.1500244140625,6763,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.02248398881067182
2024-05-24,839.9500122070312,900.0,838.1500244140625,867.4500122070312,867.4500122070312,159652,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.0737934424438821
2024-05-27,880.4500122070312,897.9500122070312,832.5,840.25,840.25,16184,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.07861863328171922
2024-05-28,840.25,844.3499755859375,810.25,815.6500244140625,815.6500244140625,12829,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.0420857458635452
2024-05-29,816.0,849.9500122070312,800.0,813.5499877929688,813.5499877929688,21694,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.062437515258789066
2024-05-30,840.0,841.4000244140625,807.0,812.8499755859375,812.8499755859375,14460,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.04262704388359666
2024-05-31,893.2999877929688,893.2999877929688,817.6500244140625,825.5499877929688,825.5499877929688,90501,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.09252120237276076
2024-06-03,889.7999877929688,947.0,815.0499877929688,924.0999755859375,924.0999755859375,193245,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.16189192587356732
2024-06-04,900.2000122070312,920.3499755859375,783.2999877929688,823.1500244140625,823.1500244140625,93025,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.17496487926563323
2024-06-05,823.1500244140625,870.0499877929688,795.0,854.6500244140625,854.6500244140625,52379,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.09440250036851415
2024-06-06,878.0,990.0,840.4500122070312,970.2999877929688,970.2999877929688,639912,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.17794037196840393
2024-06-07,976.9500122070312,1084.449951171875,975.0,1057.25,1057.25,222656,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.11225636017628206
2024-06-10,1068.0,1068.0,1000.0,1037.0,1037.0,214117,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.068
2024-06-11,1041.0,1128.0,1032.0,1046.3499755859375,1046.3499755859375,156421,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.09302325581395349
2024-06-12,1051.5999755859375,1095.0,1032.0,1085.4000244140625,1085.4000244140625,74805,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.061046511627906974
2024-06-13,1101.699951171875,1143.050048828125,1091.949951171875,1108.0,1108.0,114108,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.046797106040812254
2024-06-14,1115.0,1150.0,1111.0999755859375,1120.6500244140625,1120.6500244140625,54532,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.03501037284565559
2024-06-18,1137.449951171875,1139.0,1039.3499755859375,1067.550048828125,1067.550048828125,66395,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.09587725670353187
2024-06-19,1067.550048828125,1087.0,989.4500122070312,1009.9500122070312,1009.9500122070312,64080,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.09859011227396651
2024-06-20,1030.199951171875,1120.0,1030.199951171875,1096.050048828125,1096.050048828125,143692,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.08716759181164344
2024-06-21,1143.0,1143.050048828125,1096.199951171875,1131.0999755859375,1131.0999755859375,65520,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.04273864234911309
2024-06-24,1143.050048828125,1169.800048828125,1118.6500244140625,1145.0,1145.0,79968,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.04572477834687785
2024-06-25,1147.0,1157.3499755859375,1120.6500244140625,1149.800048828125,1149.800048828125,51539,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.032748806828486667
2024-06-26,1168.9000244140625,1174.0,1137.449951171875,1146.25,1146.25,47125,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.03213332489088312
2024-06-27,1165.0,1165.0,1105.050048828125,1138.0,1138.0,49780,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.05425089228804638
2024-06-28,1149.0,1180.0,1135.800048828125,1157.25,1157.25,47153,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.0389152573267441
2024-07-01,1175.0,1176.800048828125,1121.050048828125,1140.449951171875,1140.449951171875,41907,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.04973016151979792
2024-07-02,1151.0,1165.0,1124.5,1155.25,1155.25,55372,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.03601600711427301
2024-07-03,1154.1500244140625,1166.0,1129.050048828125,1135.8499755859375,1135.8499755859375,34733,AIIL,Financial Services,Capital Markets,N/A,EQUITY,,10.907,22.055,361.25,0.03272658391913314
