Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-08-06,61.0,61.0,53.75,54.79999923706055,54.79999923706055,9793465,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.13488372093023257
2007-08-07,56.5,57.150001525878906,54.0,54.0,54.0,1981437,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.058333361590350116
2007-08-08,55.5,55.5,51.849998474121094,52.099998474121094,52.099998474121094,712643,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.07039540276362134
2007-08-09,53.20000076293945,56.900001525878906,52.5,54.0,54.0,2005024,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.08380955287388393
2007-08-10,50.0,52.599998474121094,50.0,51.29999923706055,51.29999923706055,326031,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.05199996948242187
2007-08-13,52.0,53.349998474121094,51.0,51.20000076293945,51.20000076293945,476807,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.04607840145335478
2007-08-14,52.25,55.599998474121094,51.20000076293945,51.70000076293945,51.70000076293945,1140344,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.08593745401594856
2007-08-16,49.0,50.75,48.29999923706055,48.45000076293945,48.45000076293945,198487,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.05072465427824623
2007-08-17,47.54999923706055,50.0,42.0,44.45000076293945,44.45000076293945,294919,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.19047619047619047
2007-08-20,45.5,52.95000076293945,44.95000076293945,49.0,49.0,1505429,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.17797552534405894
2007-08-21,50.25,50.25,45.0,45.70000076293945,45.70000076293945,193300,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.11666666666666667
2007-08-22,46.599998474121094,51.0,46.0,48.099998474121094,48.099998474121094,584937,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.10869565217391304
2007-08-23,49.70000076293945,50.0,45.099998474121094,45.099998474121094,45.099998474121094,193912,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.10864748761999592
2007-08-24,47.599998474121094,47.599998474121094,45.099998474121094,45.599998474121094,45.599998474121094,139122,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.055432374380999794
2007-08-27,47.349998474121094,47.349998474121094,45.099998474121094,45.650001525878906,45.650001525878906,64613,ALPA,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,,3.454,5.694,8.01,0.049889136942899814
