Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-05-11,269.95001220703125,278.79998779296875,258.0,258.0,206.66893005371094,4583,ALPHAGEO,Energy,Oil & Gas Equipment & Services,N/A,EQUITY,0.020299999,,15.611,0.59,0.08062010772468507
2007-05-14,270.0,271.1000061035156,261.04998779296875,270.95001220703125,217.0424041748047,1276,ALPHAGEO,Energy,Oil & Gas Equipment & Services,N/A,EQUITY,0.020299999,,15.611,0.59,0.038498443901546
2007-05-15,271.5,273.70001220703125,266.5,270.5,216.6819610595703,560,ALPHAGEO,Energy,Oil & Gas Equipment & Services,N/A,EQUITY,0.020299999,,15.611,0.59,0.02701693135846623
2007-05-16,273.70001220703125,284.04998779296875,273.70001220703125,284.04998779296875,227.53607177734375,2003,ALPHAGEO,Energy,Oil & Gas Equipment & Services,N/A,EQUITY,0.020299999,,15.611,0.59,0.037815035163785836
2007-05-17,298.0,298.0,280.5,281.8999938964844,225.81381225585938,6166,ALPHAGEO,Energy,Oil & Gas Equipment & Services,N/A,EQUITY,0.020299999,,15.611,0.59,0.062388591800356503
2007-05-18,286.0,290.0,278.29998779296875,281.70001220703125,225.65362548828125,3694,ALPHAGEO,Energy,Oil & Gas Equipment & Services,N/A,EQUITY,0.020299999,,15.611,0.59,0.0420410086964684
2007-05-21,281.0,288.5,279.0,283.45001220703125,227.05545043945312,1378,ALPHAGEO,Energy,Oil & Gas Equipment & Services,N/A,EQUITY,0.020299999,,15.611,0.59,0.034050179211469536
2007-05-22,278.54998779296875,288.0,275.0,278.8999938964844,223.4106903076172,391,ALPHAGEO,Energy,Oil & Gas Equipment & Services,N/A,EQUITY,0.020299999,,15.611,0.59,0.04727272727272727
2007-05-23,275.0,285.0,275.0,277.1499938964844,222.0088653564453,4470,ALPHAGEO,Energy,Oil & Gas Equipment & Services,N/A,EQUITY,0.020299999,,15.611,0.59,0.03636363636363636
2007-05-24,276.0,285.0,276.0,283.0,226.69497680664062,590,ALPHAGEO,Energy,Oil & Gas Equipment & Services,N/A,EQUITY,0.020299999,,15.611,0.59,0.03260869565217391
