Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2023-11-10,163.35000610351562,163.35000610351562,157.0,160.0,160.0,8742,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.04044589874850717
2023-11-13,162.60000610351562,163.1999969482422,153.64999389648438,157.0,157.0,7098,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.06215426899523179
2023-11-15,157.89999389648438,164.0,151.1999969482422,153.8000030517578,153.8000030517578,7065,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.08465610654833167
2023-11-16,153.25,158.75,153.25,156.10000610351562,156.10000610351562,9783,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.03588907014681892
2023-11-17,153.1999969482422,160.4499969482422,153.1999969482422,157.14999389648438,157.14999389648438,12403,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.0473237607338163
2023-11-20,157.6999969482422,160.9499969482422,155.10000610351562,156.35000610351562,156.35000610351562,6678,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.037717541034925604
2023-11-21,155.14999389648438,157.4499969482422,155.14999389648438,155.6999969482422,155.6999969482422,14336,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.014824383772082955
2023-11-22,157.0,159.0500030517578,155.10000610351562,155.8000030517578,155.8000030517578,10380,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.025467419682794284
2023-11-23,156.85000610351562,157.0500030517578,152.9499969482422,153.5,153.5,16893,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.026806186239435197
2023-11-24,155.8000030517578,156.4499969482422,149.0,151.1999969482422,151.1999969482422,10988,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.049999979518403945
2023-11-28,158.8000030517578,161.0,154.10000610351562,158.8000030517578,158.8000030517578,16207,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.04477607802201741
2023-11-29,159.6999969482422,160.5,150.0,154.3000030517578,154.3000030517578,12583,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.07
2023-11-30,154.0500030517578,158.3000030517578,150.3000030517578,154.5500030517578,154.5500030517578,13411,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.053226878493442834
2023-12-01,154.6999969482422,173.64999389648438,153.8000030517578,163.75,163.75,78860,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.1290636570276693
2023-12-04,169.0,173.0,165.5500030517578,166.8000030517578,166.8000030517578,27070,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.04500149085417418
2023-12-05,168.0500030517578,169.39999389648438,162.5500030517578,163.25,163.25,15008,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.042140822615336686
2023-12-06,165.0,176.39999389648438,163.89999389648438,173.85000610351562,173.85000610351562,53963,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.07626601870342183
2023-12-07,175.8000030517578,179.89999389648438,168.14999389648438,171.10000610351562,171.10000610351562,23621,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.06987808757955397
2023-12-08,177.0,179.0,170.39999389648438,172.14999389648438,172.14999389648438,32272,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.05046952119458413
2023-12-11,168.0,175.25,168.0,172.64999389648438,172.64999389648438,27916,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.043154761904761904
2023-12-12,174.1999969482422,174.39999389648438,165.0,165.39999389648438,165.39999389648438,14818,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.05696965997869318
2023-12-13,163.5,169.89999389648438,158.35000610351562,162.14999389648438,162.14999389648438,20002,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.07293961065854561
2023-12-14,165.14999389648438,168.10000610351562,161.4499969482422,163.75,163.75,10644,AMNPLST,Basic Materials,Chemicals,N/A,EQUITY,,38.619,2.185,7.25,0.04118928015468037
