Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2021-06-04,37.97999954223633,38.25,36.20000076293945,37.540000915527344,37.540000915527344,234325,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.056629811984956605
2021-06-07,39.0,39.400001525878906,34.130001068115234,34.58000183105469,34.58000183105469,176105,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.15440961889353663
2021-06-08,35.59000015258789,35.59000015258789,33.779998779296875,34.709999084472656,34.709999084472656,60425,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.05358204377438674
2021-06-09,34.79999923706055,34.79999923706055,32.34000015258789,32.63999938964844,32.63999938964844,76365,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.07606676168416171
2021-06-10,33.9900016784668,33.9900016784668,31.219999313354492,31.5,31.5,60780,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.08872525387684503
2021-06-11,33.189998626708984,33.189998626708984,31.0,32.04999923706055,32.04999923706055,163120,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.0706451169906124
2021-06-14,33.400001525878906,33.400001525878906,31.700000762939453,31.989999771118164,31.989999771118164,127025,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.0536277830291704
2021-06-15,31.829999923706055,32.58000183105469,31.440000534057617,31.739999771118164,31.739999771118164,127675,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.03625958262189453
2021-06-16,32.400001525878906,32.400001525878906,31.0,31.450000762939453,31.450000762939453,106895,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.045161339544480844
2021-06-17,32.29999923706055,32.29999923706055,30.889999389648438,31.420000076293945,31.420000076293945,162975,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.045645836039887235
2021-06-18,30.940000534057617,31.3799991607666,30.0,31.030000686645508,31.030000686645508,102695,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.045999972025553386
2021-06-21,31.959999084472656,31.959999084472656,28.1299991607666,30.739999771118164,30.739999771118164,113935,ANMOL,Energy,Thermal Coal,N/A,EQUITY,,85.07,1.971,3.67,0.1361535740480157
