Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2017-04-10,234.92723083496094,247.9891815185547,233.04782104492188,243.5725555419922,223.037109375,6770,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.06411285206031916
2017-04-11,245.217041015625,248.08316040039062,238.26319885253906,245.4049835205078,224.7150421142578,2341,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.041214764156377884
2017-04-12,249.0228729248047,258.7488708496094,228.81912231445312,241.5991668701172,221.2301025390625,6795,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.13080090611494216
2017-04-13,246.2037353515625,246.2037353515625,233.28274536132812,234.73928833007812,214.9485626220703,2823,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.055387679745543324
2017-04-17,235.81996154785156,244.27734375,233.98751831054688,235.02120971679688,215.2067108154297,3233,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.04397595869108081
2017-04-18,235.02120971679688,239.6257781982422,230.2286834716797,230.7455291748047,211.29153442382812,2934,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.04081635087714182
2017-04-19,243.38461303710938,243.38461303710938,226.2819061279297,229.6648712158203,210.30197143554688,3720,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.07558141612750327
2017-04-20,242.16299438476562,242.16299438476562,231.16839599609375,234.50436401367188,214.7334442138672,2655,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.047560992675043955
2017-04-21,234.92723083496094,239.6257781982422,231.68524169921875,235.96090698242188,216.06719970703125,2368,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.034272949113142465
2017-04-24,238.6390838623047,249.0228729248047,234.92723083496094,244.79417419433594,224.1557159423828,4790,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.06000003507361009
2017-04-25,257.4802551269531,257.4802551269531,243.38461303710938,243.760498046875,223.209228515625,10677,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.05791509131965773
2017-04-26,253.72142028808594,253.72142028808594,237.1825408935547,238.07525634765625,218.0032958984375,5192,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.06973059371159088
2017-04-27,236.80665588378906,241.88108825683594,235.866943359375,237.74636840820312,217.70211791992188,1479,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.025498040597819505
2017-04-28,234.92723083496094,240.5185089111328,231.16839599609375,234.5513458251953,214.77647399902344,3480,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.04044719380756987
2017-05-02,240.37754821777344,240.37754821777344,227.6444854736328,234.410400390625,214.6474151611328,3744,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.055933982840166124
2017-05-03,228.34927368164062,234.92723083496094,222.94593811035156,229.2889862060547,209.95779418945312,6432,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.053740798447195724
2017-05-04,225.62411499023438,237.1825408935547,225.62411499023438,233.1887664794922,213.52877807617188,3762,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.05122868140145655
2017-05-05,235.866943359375,235.866943359375,220.83160400390625,227.92640686035156,208.7100830078125,2386,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.06808508874120568
2017-05-08,220.92556762695312,234.92723083496094,220.92556762695312,228.20831298828125,208.9682159423828,1477,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.06337728746566133
2017-05-09,225.5301513671875,233.00082397460938,224.63742065429688,229.2889862060547,209.95779418945312,1007,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.03723067731080861
2017-05-10,232.06112670898438,232.1081085205078,225.62411499023438,228.39625549316406,209.14028930664062,3679,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.028738034188207598
2017-05-11,233.94053649902344,233.94053649902344,222.7580108642578,225.2952117919922,206.3007049560547,1628,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.05020032990678808
2017-05-12,221.11351013183594,228.02037048339844,220.83160400390625,225.0133056640625,206.04257202148438,2444,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.03255315973417024
2017-05-15,225.06028747558594,229.2419891357422,221.7713165283203,224.59043884277344,205.65533447265625,3205,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.03368637894372542
2017-05-16,230.2286834716797,230.2286834716797,222.94593811035156,225.24822998046875,206.2576904296875,3869,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.03266597015875384
2017-05-17,228.3022918701172,228.72515869140625,225.5301513671875,226.89271545410156,207.76351928710938,2018,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.014166652684132386
2017-05-18,230.18170166015625,230.18170166015625,221.30145263671875,223.65072631835938,204.7948760986328,1484,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.04012738695400715
2017-05-19,221.81829833984375,230.2286834716797,216.133056640625,225.15426635742188,206.17166137695312,6188,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.06521735753958348
2017-05-22,222.7110137939453,226.4698486328125,216.3209991455078,221.7713165283203,203.07391357421875,3646,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.04691569254669579
2017-05-23,221.81829833984375,227.40956115722656,215.19334411621094,217.54261779785156,199.2017364501953,6048,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.056768563596551094
2017-05-24,212.3742218017578,215.6632080078125,206.97088623046875,210.82369995117188,193.04930114746094,5587,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.04199779947632137
2017-05-25,207.20582580566406,230.18170166015625,200.1580047607422,220.50270080566406,201.91224670410156,9220,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.14999998094157027
2017-05-26,222.7110137939453,229.2419891357422,219.04615783691406,223.93263244628906,205.0530242919922,4704,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.04654649686400436
2017-05-29,229.19500732421875,229.2889862060547,215.00540161132812,216.03907775878906,197.82496643066406,8954,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.06643360812184355
2017-05-30,215.6632080078125,215.6632080078125,212.3742218017578,214.20664978027344,196.14703369140625,2102,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.015486748712491172
2017-05-31,214.20664978027344,220.7846221923828,207.20582580566406,209.97796630859375,192.27484130859375,5229,APCL,Basic Materials,Building Materials,N/A,EQUITY,,143.612,0.685,-13.3,0.06553288901951118
