Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2017-09-05,222.6999969482422,222.6999969482422,222.6999969482422,222.6999969482422,211.53521728515625,98094,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.0
2017-09-06,233.8000030517578,233.8000030517578,233.8000030517578,233.8000030517578,222.07875061035156,71690,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.0
2017-09-07,245.4499969482422,245.4499969482422,245.4499969482422,245.4499969482422,233.14468383789062,69873,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.0
2017-09-08,257.70001220703125,257.70001220703125,233.1999969482422,257.70001220703125,244.78057861328125,933637,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.10506010111238014
2017-09-11,270.0,270.54998779296875,260.0,270.54998779296875,256.9863586425781,224135,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.040576876126802885
2017-09-12,284.04998779296875,284.04998779296875,284.04998779296875,284.04998779296875,269.8094787597656,95691,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.0
2017-09-13,298.25,298.25,298.25,298.25,283.29766845703125,122381,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.0
2017-09-14,313.1499938964844,313.1499938964844,313.1499938964844,313.1499938964844,297.45062255859375,85368,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.0
2017-09-15,328.79998779296875,328.79998779296875,300.0,327.3999938964844,310.9862365722656,538769,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.09599995930989583
2017-09-18,338.0,343.29998779296875,300.0,324.6499938964844,308.37408447265625,668658,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.14433329264322917
2017-09-19,340.0,342.0,329.1000061035156,333.3999938964844,316.6854553222656,406881,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.03919779294208457
2017-09-20,330.0,335.0,310.0,313.20001220703125,297.4981384277344,366623,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.08064516129032258
2017-09-21,312.0,315.6000061035156,291.29998779296875,297.8500061035156,282.917724609375,358720,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.0834192218635356
2017-09-22,291.3500061035156,293.70001220703125,278.0,278.8999938964844,264.9176940917969,489924,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.05647486405406924
2017-09-25,273.20001220703125,275.0,252.1999969482422,264.6000061035156,251.33465576171875,302657,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.09040445411439457
2017-09-26,263.29998779296875,291.04998779296875,262.25,291.04998779296875,276.4585876464844,468453,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.10981882857185414
2017-09-27,304.3999938964844,320.1499938964844,300.0,319.70001220703125,303.67230224609375,927008,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.06716664632161458
2017-09-28,328.0,328.0,310.0,313.3999938964844,297.6881103515625,348137,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.05806451612903226
2017-09-29,313.8999938964844,320.0,305.04998779296875,309.25,293.7461853027344,164324,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.04900840126300061
2017-10-03,315.0,322.0,305.1000061035156,307.20001220703125,291.7989501953125,151103,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.05539165374762554
2017-10-04,310.04998779296875,337.8999938964844,305.20001220703125,337.8999938964844,320.9598693847656,552413,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.10714279286224673
2017-10-05,345.0,371.6499938964844,343.0,371.6499938964844,353.0178527832031,1217889,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.08352767899849672
2017-10-06,379.70001220703125,408.79998779296875,377.0,408.79998779296875,388.3053283691406,731456,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.08435010024660146
2017-10-09,429.20001220703125,429.20001220703125,415.0,429.20001220703125,407.6826477050781,149557,APEX,Consumer Defensive,Farm Products,N/A,EQUITY,0.0111,21.505,3.007,4.66,0.03421689688441265
