Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-09-27,25.0,27.714284896850586,23.78571319580078,26.678571701049805,17.17388916015625,460042,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.16516518418894285
2002-09-30,26.607141494750977,28.214284896850586,25.857141494750977,26.39285659790039,16.989971160888672,890916,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.09116024687331009
2002-10-01,25.78571319580078,26.428571701049805,24.464284896850586,25.107141494750977,16.162309646606445,429962,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.0802920180369585
2002-10-02,25.107141494750977,25.107141494750977,25.107141494750977,25.107141494750977,16.162309646606445,0,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.0
2002-10-03,25.714284896850586,26.357141494750977,24.857141494750977,25.0,16.093339920043945,196099,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.06034483089363881
2002-10-04,25.464284896850586,25.5,24.28571319580078,24.464284896850586,15.748483657836914,107924,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.050000047122733045
2002-10-07,24.857141494750977,25.607141494750977,24.03571319580078,24.25,15.610540390014648,120937,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.06537889207401325
2002-10-08,24.464284896850586,25.357141494750977,23.928571701049805,24.464284896850586,15.748483657836914,153986,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.05970142353454791
2002-10-09,24.28571319580078,25.214284896850586,23.64285659790039,23.714284896850586,15.265679359436035,113892,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.06646524680481065
2002-10-10,23.928571701049805,23.928571701049805,22.321428298950195,23.39285659790039,15.058771133422852,135172,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.07200002529296906
2002-10-11,23.714284896850586,24.071428298950195,22.357141494750977,22.678571701049805,14.59896183013916,160496,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.0766773697165937
2002-10-14,23.071428298950195,23.428571701049805,22.25,22.39285659790039,14.415033340454102,139896,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.052969514653923806
2002-10-15,22.39285659790039,22.39285659790039,22.39285659790039,22.39285659790039,14.415033340454102,0,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.0
2002-10-16,23.214284896850586,23.821428298950195,22.714284896850586,22.857141494750977,14.713908195495605,168459,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.04874216411070544
2002-10-17,23.071428298950195,23.178571701049805,22.678571701049805,22.89285659790039,14.736902236938477,96490,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.022047243829595085
2002-10-18,23.14285659790039,23.5,22.714284896850586,22.857141494750977,14.713908195495605,115444,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.03459123220112275
2002-10-21,22.857141494750977,23.0,22.214284896850586,22.464284896850586,14.461016654968262,39286,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.03536981301886554
2002-10-22,22.25,22.857141494750977,21.821428298950195,21.89285659790039,14.093165397644043,72583,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.04746312576847265
2002-10-23,21.75,22.14285659790039,21.178571701049805,21.321428298950195,13.725320816040039,71194,APTECHT,Consumer Defensive,Education & Training Services,N/A,EQUITY,0.020399999,3.26,2.207,5.0,0.04553115811878792
