Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2017-03-15,26.0,26.0,26.0,26.0,26.0,6000,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-16,26.0,26.0,26.0,26.0,26.0,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-17,26.0,26.0,26.0,26.0,26.0,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-20,26.0,26.0,26.0,26.0,26.0,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-21,26.0,26.0,26.0,26.0,26.0,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-22,26.0,26.0,26.0,26.0,26.0,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-23,26.0,26.0,26.0,26.0,26.0,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-24,26.0,26.0,26.0,26.0,26.0,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-27,26.0,26.0,26.0,26.0,26.0,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-28,26.0,26.0,26.0,26.0,26.0,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-29,26.0,26.0,26.0,26.0,26.0,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-30,26.0,26.0,26.0,26.0,26.0,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-03-31,27.5,27.5,27.5,27.5,27.5,6000,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-04-03,27.5,27.5,27.5,27.5,27.5,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-04-05,27.5,27.5,27.5,27.5,27.5,0,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
2017-04-06,27.0,27.0,26.5,26.5,26.5,18000,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.018867924528301886
2017-04-07,26.5,26.5,26.5,26.5,26.5,48000,ARTNIRMAN,Real Estate,Real Estate - Development,N/A,EQUITY,,8.28,3.989,0.53,0.0
