Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2019-03-08,439.0630798339844,460.9809265136719,439.0630798339844,460.9809265136719,459.54864501953125,33388,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.04991958487599306
2019-03-11,484.0132751464844,484.0132751464844,484.0132751464844,484.0132751464844,482.5094299316406,12681,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.0
2019-03-12,508.19720458984375,508.19720458984375,508.19720458984375,508.19720458984375,506.61822509765625,8760,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.0
2019-03-13,533.6070556640625,533.6070556640625,533.6070556640625,533.6070556640625,531.9491577148438,1166129,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.0
2019-03-14,560.280029296875,560.280029296875,560.280029296875,560.280029296875,558.5392456054688,6931,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.0
2019-03-15,588.290283203125,588.290283203125,588.290283203125,588.290283203125,586.4624633789062,15837,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.0
2019-03-18,617.6751098632812,617.6751098632812,617.6751098632812,617.6751098632812,615.7559814453125,7305,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.0
2019-03-19,648.5458374023438,648.5458374023438,648.5458374023438,648.5458374023438,646.5308227539062,5787,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.0
2019-03-20,680.939697265625,680.939697265625,680.939697265625,680.939697265625,678.8240356445312,51821,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.0
2019-03-22,714.9680786132812,714.9680786132812,714.9680786132812,714.9680786132812,712.7466430664062,40022,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.0
2019-03-25,760.8098754882812,786.442626953125,721.6549072265625,786.442626953125,783.9991455078125,4609276,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.0897765941557195
2019-03-26,792.7579345703125,809.62353515625,743.9813842773438,755.9061889648438,753.5575561523438,1071024,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.08823090505505976
2019-03-27,752.6370849609375,769.0569458007812,739.2634887695312,746.061767578125,743.7437744140625,383319,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.04030153995680185
2019-03-28,746.6189575195312,762.2958374023438,739.7464599609375,759.13818359375,756.779541015625,225667,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.030482575668691912
2019-04-01,776.4124145507812,783.8422241210938,763.7817993164062,773.2547607421875,770.8522338867188,222614,ARVINDFASN,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,0.0019,96.268,1.272,3.74,0.026264601778468427
