Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2020-02-12,281.0,291.79998779296875,242.5500030517578,268.3500061035156,265.6015319824219,231338,ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,EQUITY,0.0015,25.539,1.745,28.02,0.2030508518719807
2020-02-13,269.95001220703125,269.95001220703125,257.6000061035156,263.75,261.0486755371094,48266,ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,EQUITY,0.0015,25.539,1.745,28.02,0.047942569141682476
2020-02-14,265.04998779296875,284.3999938964844,265.0,272.75,269.95648193359375,79240,ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,EQUITY,0.0015,25.539,1.745,28.02,0.0732075241376769
2020-02-17,280.70001220703125,297.75,265.0,267.70001220703125,264.9582214355469,58283,ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,EQUITY,0.0015,25.539,1.745,28.02,0.12358490566037736
2020-02-18,269.0,269.8999938964844,247.5,260.20001220703125,257.5350036621094,38558,ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,EQUITY,0.0015,25.539,1.745,28.02,0.09050502584438132
2020-02-19,264.95001220703125,269.45001220703125,260.45001220703125,261.95001220703125,259.26708984375,33961,ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,EQUITY,0.0015,25.539,1.745,28.02,0.03455557526657329
2020-02-20,263.0,265.0,254.9499969482422,256.29998779296875,253.67494201660156,17903,ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,EQUITY,0.0015,25.539,1.745,28.02,0.03941950646031221
2020-02-24,261.3999938964844,261.3999938964844,246.0500030517578,248.64999389648438,246.10330200195312,15553,ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,EQUITY,0.0015,25.539,1.745,28.02,0.062385655981876245
2020-02-25,248.0,255.0,245.0,245.1999969482422,242.68862915039062,15006,ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,EQUITY,0.0015,25.539,1.745,28.02,0.04081632653061224
2020-02-26,244.9499969482422,244.9499969482422,227.14999389648438,235.8000030517578,233.38491821289062,34277,ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,EQUITY,0.0015,25.539,1.745,28.02,0.07836233119103467
2020-02-27,235.0,236.89999389648438,191.0,232.60000610351562,230.21771240234375,42244,ASALCBR,Consumer Defensive,Beverages - Wineries & Distilleries,N/A,EQUITY,0.0015,25.539,1.745,28.02,0.24031410417007526
