Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,72.75,72.80000305175781,71.19999694824219,71.5,67.3506088256836,815,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.0224719967990831
2002-07-02,70.19999694824219,73.0,70.19999694824219,72.25,68.05707550048828,969,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.03988608509231459
2002-07-03,71.1500015258789,73.30000305175781,71.1500015258789,71.75,67.58610534667969,4627,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.03021787041138574
2002-07-04,71.5,72.25,71.3499984741211,71.5999984741211,67.4448013305664,750,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.012613896918376812
2002-07-05,71.9000015258789,73.0,71.5999984741211,71.94999694824219,67.77448272705078,1299,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.019553094353555314
2002-07-08,71.3499984741211,74.44999694824219,71.3499984741211,74.05000305175781,69.75260925292969,3582,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.04344777211516654
2002-07-09,74.6500015258789,74.69999694824219,73.25,73.8499984741211,69.5642318725586,3315,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.019795180180780716
2002-07-10,74.0,74.5999984741211,73.5,73.9000015258789,69.61133575439453,1260,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.014965965634300596
2002-07-11,72.5,74.30000305175781,72.4000015258789,72.5,68.29257202148438,1255,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.02624311444523607
2002-07-12,72.55000305175781,76.0,72.55000305175781,75.5,71.11847686767578,3850,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.0475533673758901
2002-07-15,77.5,78.0,72.0,73.0999984741211,68.85775756835938,3594,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.08333333333333333
2002-07-16,73.0,75.0,73.0,73.9000015258789,69.61133575439453,1502,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.0273972602739726
2002-07-17,73.5,73.94999694824219,72.05000305175781,72.3499984741211,68.15127563476562,1273,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.02637049015972277
2002-07-18,72.44999694824219,73.4000015258789,72.44999694824219,73.0,68.76355743408203,576,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.013112555109082972
2002-07-19,72.5,72.9000015258789,72.25,72.5,68.29257202148438,1289,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.008996560911818772
2002-07-22,72.0,72.0,67.5999984741211,69.25,65.23118591308594,1385,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.06508878143781811
2002-07-23,70.0,72.75,70.0,72.3499984741211,68.15127563476562,1471,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.039285714285714285
2002-07-24,72.0,73.0,71.25,72.94999694824219,68.71644592285156,561,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.02456140350877193
2002-07-25,73.3499984741211,73.3499984741211,71.3499984741211,71.4000015258789,67.25641632080078,50,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.028030834516771675
2002-07-26,75.0,75.0,70.1500015258789,70.9000015258789,66.78543090820312,1723,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.06913753911084221
2002-07-29,69.8499984741211,69.8499984741211,65.55000305175781,67.5999984741211,63.676937103271484,1642,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.06559870666928933
2002-07-30,68.5,68.5,67.0,67.30000305175781,63.394351959228516,1042,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.022388059701492536
2002-07-31,67.05000305175781,67.05000305175781,66.25,66.30000305175781,62.45237731933594,240,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.012075517762382075
2002-08-01,67.5,72.9000015258789,65.55000305175781,70.44999694824219,66.36153411865234,2182,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.11212811795474041
2002-08-02,72.5,74.0,71.5,73.1500015258789,68.90486145019531,6676,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.03496503496503497
2002-08-05,72.0,75.0,70.69999694824219,74.19999694824219,69.89391326904297,1758,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.060820413541258625
2002-08-06,72.5,81.6500015258789,72.4000015258789,76.3499984741211,71.91914367675781,3789,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.12776242824654704
2002-08-07,75.0,76.0999984741211,74.0999984741211,74.0999984741211,69.79971313476562,1140,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.02699055386213653
2002-08-08,74.0,75.5,73.0,75.1500015258789,70.78878784179688,1443,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.03424657534246575
2002-08-09,72.75,75.0,72.75,73.5,69.23454284667969,2661,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.030927835051546393
2002-08-12,73.0999984741211,74.44999694824219,73.0999984741211,73.69999694824219,69.42292785644531,836,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.018467831768820366
2002-08-13,73.0,75.69999694824219,72.75,74.0999984741211,69.79971313476562,768,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.04054978623013316
2002-08-14,73.5,74.80000305175781,73.25,74.80000305175781,70.45909881591797,1395,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.02116045121853669
2002-08-15,74.80000305175781,74.80000305175781,74.80000305175781,74.80000305175781,70.45909881591797,0,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.0
2002-08-16,69.0,75.94999694824219,69.0,75.25,70.88298797607422,2003,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.10072459345278532
2002-08-19,76.0,76.0,70.19999694824219,74.25,69.94102478027344,755,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.08262112968514944
2002-08-20,72.5,75.0,72.5,73.44999694824219,69.18744659423828,1681,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.034482758620689655
2002-08-21,73.0,74.0,73.0,74.0,69.70552825927734,240,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.0136986301369863
2002-08-22,71.69999694824219,71.80000305175781,71.5999984741211,71.80000305175781,67.63319396972656,200,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.002793360082388938
2002-08-23,78.0,78.0,70.0,72.75,68.52806854248047,230,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.11428571428571428
2002-08-26,73.80000305175781,74.9000015258789,73.5999984741211,74.5999984741211,70.27070617675781,1275,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.017663085308553556
2002-08-27,72.5,73.94999694824219,69.19999694824219,69.5999984741211,65.56087493896484,3419,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.06864162152424284
2002-08-28,70.25,71.4000015258789,70.19999694824219,71.0,66.87962341308594,3455,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.01709408304563704
2002-08-29,70.0,71.5,70.0,70.5999984741211,66.50283813476562,2155,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.02142857142857143
2002-08-30,72.3499984741211,72.3499984741211,69.6500015258789,71.25,67.11511993408203,2927,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.03876521018077776
2002-09-02,71.0,71.5,71.0,71.25,67.11511993408203,186,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.007042253521126761
2002-09-03,71.0,73.5999984741211,70.69999694824219,70.75,66.64413452148438,1095,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.0410184109060419
2002-09-04,70.5,70.9000015258789,70.5,70.8499984741211,66.73832702636719,250,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.005673780508920656
2002-09-05,71.5,71.5,71.0,71.0,66.87962341308594,120,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.007042253521126761
2002-09-06,71.0,71.1500015258789,71.0,71.05000305175781,66.92671966552734,531,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.002112697547590229
2002-09-09,70.55000305175781,71.0,68.0,68.0,64.05372619628906,1819,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.04411764705882353
2002-09-10,68.0,68.0,68.0,68.0,64.05372619628906,0,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.0
2002-09-11,65.0,70.75,65.0,69.55000305175781,65.51377868652344,1652,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.08846153846153847
2002-09-12,65.05000305175781,70.0,65.05000305175781,69.25,65.23118591308594,229,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.07609526081503276
2002-09-13,69.5,69.5,69.3499984741211,69.5,65.46666717529297,333,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.002162963650747323
2002-09-16,68.0,69.25,68.0,69.05000305175781,65.04279327392578,214,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.01838235294117647
2002-09-17,70.0,70.0,68.0,68.5,64.52470397949219,440,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.029411764705882353
2002-09-18,69.1500015258789,69.9000015258789,67.55000305175781,69.0,64.99568939208984,2108,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.03478902099116843
2002-09-19,68.0,69.0,68.0,68.8499984741211,64.8543930053711,453,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.014705882352941176
2002-09-20,69.0,69.0,69.0,69.0,64.99568939208984,15,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.0
2002-09-23,69.0,72.0,68.94999694824219,72.0,67.82159423828125,725,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.044234999082702196
2002-09-24,71.94999694824219,72.9000015258789,70.0,70.25,66.17314910888672,1193,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.04142859322684152
2002-09-25,69.0,69.0,69.0,69.0,64.99568939208984,100,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.0
2002-09-26,70.0,72.0,69.5,70.0,65.93765258789062,300,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.03597122302158273
2002-09-27,68.1500015258789,72.0,68.1500015258789,72.0,67.82159423828125,749,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.056493006425819614
2002-09-30,69.75,69.75,69.75,69.75,65.7021713256836,40,ASIANHOTNR,Consumer Cyclical,Lodging,N/A,EQUITY,,1405.005,0.227,-44.98,0.0
