Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2006-01-12,106.0,135.0,106.0,110.75,106.72491455078125,6662350,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.27358490566037735
2006-01-13,111.0,118.94999694824219,110.69999694824219,112.4000015258789,108.31493377685547,2910554,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.07452574731196505
2006-01-16,113.80000305175781,133.85000610351562,113.25,132.5500030517578,127.73261260986328,10781196,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.18189850864031457
2006-01-17,134.25,138.9499969482422,123.25,126.0999984741211,121.51702880859375,5843191,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.12738334237924695
2006-01-18,123.0,132.39999389648438,123.0,126.6500015258789,122.04704284667969,4816052,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.07642271460556402
2006-01-19,128.0500030517578,132.8000030517578,128.0500030517578,131.0,126.23895263671875,3480641,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.03709488392655524
2006-01-20,131.3000030517578,152.0,131.0,142.89999389648438,137.70645141601562,11234193,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.16030534351145037
2006-01-23,141.0,148.3000030517578,138.1999969482422,143.3000030517578,138.0919189453125,5330182,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.07308253492435472
2006-01-24,144.75,154.60000610351562,144.60000610351562,147.1999969482422,141.8501739501953,6724292,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.06915629030362035
2006-01-25,149.0500030517578,151.8000030517578,139.35000610351562,141.0500030517578,135.92369079589844,3124799,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.08934335416529336
2006-01-27,144.0,144.25,136.60000610351562,138.25,133.2254638671875,1822921,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.056002881073718265
2006-01-30,139.89999389648438,139.89999389648438,130.64999389648438,134.6999969482422,129.80447387695312,2143997,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.07079985022677376
2006-01-31,135.89999389648438,146.1999969482422,134.35000610351562,140.3000030517578,135.20094299316406,4328551,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.08820238411895745
2006-02-01,142.0,142.8000030517578,129.5500030517578,130.6999969482422,125.94983673095703,2945406,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.10227711067445024
2006-02-02,131.75,133.8000030517578,125.25,127.05000305175781,122.43250274658203,1527691,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.06826349741922405
2006-02-03,126.0999984741211,127.5,120.0999984741211,121.80000305175781,117.3733139038086,847099,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.06161533405409196
2006-02-06,122.0999984741211,127.4000015258789,121.0999984741211,124.25,119.73426818847656,965126,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.05202314724309526
2006-02-07,125.80000305175781,126.5999984741211,121.0,122.44999694824219,117.99967956542969,615631,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.04628097912496772
2006-02-08,123.0,123.8499984741211,120.0999984741211,120.94999694824219,116.55419921875,692797,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.031223980413355647
2006-02-10,122.19999694824219,128.39999389648438,120.0,125.8499984741211,121.27611541748047,1325091,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.06999994913736979
2006-02-13,127.5,127.5,122.0,122.9000015258789,118.43333435058594,535618,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.045081967213114756
2006-02-14,123.80000305175781,129.25,121.80000305175781,124.25,119.73426818847656,1319646,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.06116581906058228
2006-02-15,124.25,126.6500015258789,121.05000305175781,122.44999694824219,117.99967956542969,502340,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.04626186148650224
2006-02-16,123.0,124.4000015258789,121.0999984741211,121.44999694824219,117.03602600097656,356603,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.027250231984627307
2006-02-17,121.80000305175781,122.55000305175781,116.05000305175781,116.44999694824219,112.21774291992188,376701,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.05601033889763042
2006-02-20,115.0,115.94999694824219,110.5,112.44999694824219,108.36312866210938,494121,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.04932123935060803
2006-02-21,113.0,120.25,112.0999984741211,116.05000305175781,111.83229064941406,651171,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.07270295840155948
2006-02-22,116.8499984741211,116.8499984741211,111.5,112.69999694824219,108.60403442382812,293753,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.04798204909525645
2006-02-23,113.55000305175781,113.55000305175781,108.30000305175781,109.05000305175781,105.08670043945312,242543,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.04847645292762332
2006-02-24,109.5,109.9000015258789,106.0999984741211,106.75,102.87028503417969,263081,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.03581529789262601
2006-02-27,107.0,109.80000305175781,105.0,105.44999694824219,101.61753845214844,300094,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.045714314778645834
2006-02-28,106.8499984741211,109.6500015258789,103.19999694824219,106.9000015258789,103.01483917236328,393305,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.06250004620515236
2006-03-01,107.19999694824219,112.0,105.3499984741211,109.0,105.03850555419922,352295,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.06312293898620662
2006-03-02,109.9000015258789,115.9000015258789,107.5999984741211,111.0,106.9658203125,918571,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.07713757592435327
2006-03-03,112.0,112.6500015258789,108.0999984741211,109.05000305175781,105.08670043945312,229863,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.04209068562426551
2006-03-06,110.5,111.4000015258789,107.0999984741211,108.25,104.3157730102539,159846,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.04014942215705853
2006-03-07,109.8499984741211,109.8499984741211,106.5,107.05000305175781,103.15938568115234,144361,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.0314553847335314
2006-03-08,108.0,112.0,105.0,105.8499984741211,102.00299835205078,245132,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.06666666666666667
2006-03-09,107.5,107.5,103.30000305175781,104.3499984741211,100.55751037597656,136642,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.04065824611968119
2006-03-10,105.80000305175781,106.19999694824219,103.0,103.25,99.49748992919922,110369,ASMS,Technology,Information Technology Services,N/A,EQUITY,,,4.687,0.05,0.031067931536331916
