Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-03-20,4.635001182556152,5.114251136779785,4.500000953674316,4.740750789642334,4.4966721534729,107248928,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.13650001176198073
2007-03-21,4.725000858306885,4.83975076675415,4.396501064300537,4.450500965118408,4.221364974975586,27409304,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.10081874107862458
2007-03-22,4.590001106262207,4.6800007820129395,4.378500938415527,4.421250820159912,4.193619728088379,9761642,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.06885914787687988
2007-03-23,4.497751235961914,4.497751235961914,4.056750774383545,4.1805009841918945,3.9652669429779053,4447198,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.10870780240262175
2007-03-26,4.140000820159912,4.142251014709473,3.874500036239624,3.9105000495910645,3.7091667652130127,2657043,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.06910594295147122
2007-03-28,3.9825000762939453,3.9825000762939453,3.555000066757202,3.6112499237060547,3.425323724746704,1343599,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.1202531649814285
2007-03-29,3.5999999046325684,3.6449999809265137,3.4267499446868896,3.492000102996826,3.312213659286499,1938132,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.06369009696141283
2007-03-30,3.6449999809265137,3.825000047683716,3.4222500324249268,3.7304999828338623,3.538433790206909,3068377,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.11768573641400765
2007-04-02,3.5325000286102295,3.820499897003174,3.5167500972747803,3.6089999675750732,3.4231889247894287,791799,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.08637230150751316
2007-04-03,3.6112499237060547,3.734999895095825,3.559499979019165,3.6112499237060547,3.425323724746704,421644,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.049304654336595866
2007-04-04,3.6630001068115234,3.6630001068115234,3.476249933242798,3.500999927520752,3.320749521255493,364666,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.05372173380943207
2007-04-05,3.487499952316284,3.757499933242798,3.476249933242798,3.5369999408721924,3.354896306991577,610533,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.08090615042101927
2007-04-09,3.5752499103546143,3.7125000953674316,3.543750047683716,3.5707499980926514,3.386908531188965,469399,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.047619060434021046
2007-04-10,3.5190000534057617,3.627000093460083,3.424499988555908,3.588749885559082,3.403981924057007,285088,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.05913275093616453
2007-04-11,3.577500104904175,3.6787500381469727,3.56850004196167,3.588749885559082,3.403981924057007,345377,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.03089533274173546
2007-04-12,3.5325000286102295,3.6157500743865967,3.509999990463257,3.525749921798706,3.3442254066467285,78422,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.030128229119847586
2007-04-13,3.442500114440918,3.588749885559082,3.4222500324249268,3.5032498836517334,3.3228836059570312,134622,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.048652159122393915
2007-04-16,3.539249897003174,3.8385000228881836,3.5167500972747803,3.773250102996826,3.5789835453033447,1195799,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.09149069928589341
2007-04-17,3.74399995803833,3.9509999752044678,3.690000057220459,3.8137500286102295,3.6173980236053467,606844,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.07073168399368818
2007-04-18,3.825000047683716,4.38300085067749,3.825000047683716,4.187251091003418,3.9716687202453613,5471376,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.1458825610555691
2007-04-19,4.230000972747803,4.261500835418701,3.9600000381469727,4.113000869750977,3.9012417793273926,778355,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.07613656423417905
2007-04-20,4.124250888824463,4.212000846862793,3.9375,3.962249994277954,3.7582521438598633,415711,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.0697145007905506
2007-04-23,4.0590009689331055,4.115251064300537,3.9262499809265137,3.957750082015991,3.753983736038208,280688,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.04813781198145287
2007-04-24,3.9149999618530273,4.396501064300537,3.8924999237060547,4.171501159667969,3.956730604171753,2254043,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.12948006434759857
2007-04-25,4.162500858306885,4.747500896453857,4.153501033782959,4.430251121520996,4.2021589279174805,5541198,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.14301184900148936
2007-04-26,4.556251049041748,4.725000858306885,4.279500961303711,4.320001125335693,4.097583293914795,2061355,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.10410089892057328
2007-04-27,4.3740010261535645,4.500000953674316,4.299750804901123,4.4032511711120605,4.176547527313232,729399,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.04657250102609105
2007-04-30,4.329000949859619,4.673251152038574,4.329000949859619,4.5967512130737305,4.360085487365723,752444,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.07952185877670423
2007-05-03,4.630500793457031,4.729500770568848,4.466250896453857,4.533751010894775,4.300328731536865,512377,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.0589420254746564
2007-05-04,4.545001029968262,4.884750843048096,4.545001029968262,4.691250801086426,4.4497199058532715,2258754,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.07475241718090579
2007-05-07,4.950000762939453,5.040000915527344,4.781250953674316,4.826251029968262,4.577769756317139,1313177,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.05411762828599952
2007-05-08,4.725000858306885,4.860001087188721,4.657501220703125,4.7430009841918945,4.498805522918701,597799,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.04347822080764266
2007-05-09,4.657501220703125,4.80600118637085,4.567501068115234,4.662001132965088,4.421976089477539,397199,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.05221676244818736
2007-05-10,4.592250823974609,4.94550085067749,4.592250823974609,4.862250804901123,4.611915588378906,685866,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.07692306893575593
2007-05-11,5.130001068115234,5.130001068115234,4.590001106262207,4.8780012130737305,4.626857280731201,771310,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.11764702215785904
2007-05-14,4.909501075744629,5.0580010414123535,4.896000862121582,4.954501152038574,4.699418067932129,441777,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.033088266087553754
2007-05-15,5.0580010414123535,5.285251140594482,4.909501075744629,5.130001068115234,4.865880966186523,2915488,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.07653528516497231
2007-05-16,5.197501182556152,5.283000946044922,4.995000839233398,5.044500827789307,4.784782409667969,587888,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.05765766935401034
2007-05-17,5.085000991821289,5.1255011558532715,4.864500999450684,4.9027509689331055,4.65032958984375,407911,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.053654045179980625
2007-05-18,4.866751194000244,5.062500953674316,4.860001087188721,4.929750919342041,4.675940990447998,314777,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.041666629873684295
2007-05-21,4.950000762939453,5.17500114440918,4.950000762939453,5.049001216888428,4.789052486419678,458688,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.04545461551325395
2007-05-22,5.001750946044922,5.260500907897949,5.001750946044922,5.1592512130737305,4.893624782562256,1902088,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.05173187642572067
2007-05-23,5.197501182556152,5.31450080871582,5.044500827789307,5.08725118637085,4.825334072113037,999910,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.05352362704335961
2007-05-24,4.9657511711120605,5.130001068115234,4.9657511711120605,5.05125093460083,4.7911858558654785,161777,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.033076545993421316
2007-05-25,5.062500953674316,5.213251113891602,4.995000839233398,5.141251087188721,4.876553535461426,417955,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.04369374133913035
2007-05-28,5.161500930786133,5.186251163482666,5.085000991821289,5.152501106262207,4.8872222900390625,280777,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.01991153429944805
2007-05-29,5.152501106262207,5.152501106262207,5.044500827789307,5.12100076675415,4.857343673706055,192777,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.021409507533023887
2007-05-30,5.12100076675415,5.130001068115234,5.040000915527344,5.064751148223877,4.803990364074707,242088,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.01785716988872288
2007-05-31,4.860001087188721,5.062500953674316,4.860001087188721,4.923000812530518,4.66953706741333,356222,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.041666629873684295
2007-06-01,4.9905009269714355,5.186251163482666,4.9905009269714355,5.163751125335693,4.89789342880249,576910,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.03922456670697877
2007-06-04,5.17500114440918,5.199750900268555,5.08725118637085,5.114251136779785,4.850942134857178,257333,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.022114047405227554
2007-06-05,5.107501029968262,5.170501232147217,4.995000839233398,5.013000965118408,4.754904270172119,96822,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.03513520789332902
2007-06-06,5.130001068115234,5.143500804901123,4.864500999450684,4.87575101852417,4.624720096588135,163422,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.0573542497949831
2007-06-07,4.9365010261535645,4.947751045227051,4.729500770568848,4.824000835418701,4.5756354331970215,130933,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.046146577671865516
2007-06-08,4.729500770568848,4.950000762939453,4.725000858306885,4.916251182556152,4.663136959075928,114155,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.04761901878536226
2007-06-11,4.860001087188721,4.995000839233398,4.774500846862793,4.830750942230225,4.582037448883057,75955,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.04618283658185768
2007-06-12,4.635001182556152,4.747500896453857,4.635001182556152,4.675500869750977,4.434781074523926,110911,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.024271776741093022
2007-06-13,4.603500843048096,4.75200080871582,4.52475118637085,4.55850076675415,4.3238043785095215,60066,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.05022367263629361
2007-06-14,4.720500946044922,4.720500946044922,4.527000904083252,4.614750862121582,4.377158164978027,27844,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.042743539500320685
2007-06-15,4.623751163482666,4.830750942230225,4.623751163482666,4.821751117706299,4.573502063751221,52066,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.04476879733113575
2007-06-18,4.927501201629639,4.927501201629639,4.639501094818115,4.749751091003418,4.505209445953369,40733,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.062075663077909904
2007-06-19,4.905001163482666,4.905001163482666,4.590001106262207,4.716001033782959,4.473196983337402,39311,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.06862744690642879
2007-06-20,4.765501022338867,4.783501148223877,4.635001182556152,4.698000907897949,4.4561238288879395,72444,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.03203881937001546
2007-06-21,4.6845011711120605,4.812750816345215,4.6800007820129395,4.75200080871582,4.50734281539917,70622,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.028365387211575974
2007-06-22,4.725000858306885,4.83975076675415,4.689001083374023,4.740750789642334,4.4966721534729,74177,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.0321496371401248
2007-06-25,4.815001010894775,4.860001087188721,4.592250823974609,4.639501094818115,4.400635719299316,78977,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.05830479942782666
2007-06-26,4.729500770568848,4.851000785827637,4.635001182556152,4.772251129150391,4.52655029296875,745333,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.04660184426368646
2007-06-27,4.837501049041748,4.860001087188721,4.747500896453857,4.80600118637085,4.558561325073242,659577,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.023696718165739625
2007-06-28,4.727251052856445,4.815001010894775,4.725000858306885,4.797000885009766,4.550025463104248,82066,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.019047647881304405
2007-06-29,4.6800007820129395,4.815001010894775,4.590001106262207,4.736250877380371,4.492403984069824,117466,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.049019575251430254
2007-07-02,4.815001010894775,4.927501201629639,4.704751014709473,4.896000862121582,4.643928527832031,185755,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.047345797093987396
2007-07-03,5.130001068115234,5.130001068115234,4.837501049041748,4.977001190185547,4.720758438110352,97488,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.06046510710967745
2007-07-04,5.080501079559326,5.080501079559326,4.860001087188721,4.89375114440918,4.641794681549072,58533,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.04537035865112413
2007-07-05,4.848751068115234,4.900500774383545,4.797000885009766,4.817251205444336,4.5692338943481445,96999,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.02157595794847734
2007-07-06,4.817251205444336,5.238000869750977,4.75200080871582,5.154750823974609,4.88935661315918,458755,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.10227272271161351
2007-07-09,5.850000858306885,6.075000762939453,5.490001201629639,5.602500915527344,5.314054489135742,3622421,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.1065572738192051
2007-07-10,5.715001106262207,5.796000957489014,5.40225076675415,5.5282511711120605,5.243627071380615,2135866,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.07288632233772467
2007-07-11,5.400001049041748,6.147000789642334,5.400001049041748,6.077250957489014,5.7643632888793945,3969710,ASTRAL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0016,3.653,1.771,20.38,0.13833325842281902
