Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,50.0,50.0,49.04999923706055,50.0,50.0,1634,AXISCADES,Industrials,Engineering & Construction,N/A,EQUITY,,53.894,1.923,7.72,0.019368007700633443
2002-07-02,49.0,49.400001525878906,47.5,47.5,47.5,4804,AXISCADES,Industrials,Engineering & Construction,N/A,EQUITY,,53.894,1.923,7.72,0.040000032123766446
2002-07-03,48.849998474121094,48.849998474121094,45.150001525878906,45.79999923706055,45.79999923706055,10890,AXISCADES,Industrials,Engineering & Construction,N/A,EQUITY,,53.894,1.923,7.72,0.08194898833218062
2002-07-04,47.099998474121094,48.099998474121094,45.75,46.150001525878906,46.150001525878906,35511,AXISCADES,Industrials,Engineering & Construction,N/A,EQUITY,,53.894,1.923,7.72,0.05136608686603484
2002-07-05,46.5,46.5,44.79999923706055,45.849998474121094,45.849998474121094,19822,AXISCADES,Industrials,Engineering & Construction,N/A,EQUITY,,53.894,1.923,7.72,0.03794644624755121
2002-07-08,44.099998474121094,46.5,44.099998474121094,45.5,45.5,18841,AXISCADES,Industrials,Engineering & Construction,N/A,EQUITY,,53.894,1.923,7.72,0.0544218051909295
2002-07-09,45.0,45.54999923706055,44.75,44.900001525878906,44.900001525878906,4762,AXISCADES,Industrials,Engineering & Construction,N/A,EQUITY,,53.894,1.923,7.72,0.01787707792314071
2002-07-10,44.20000076293945,44.20000076293945,42.650001525878906,43.25,43.25,11925,AXISCADES,Industrials,Engineering & Construction,N/A,EQUITY,,53.894,1.923,7.72,0.036342302030635286
2002-07-11,43.099998474121094,43.75,41.5,42.900001525878906,42.900001525878906,17481,AXISCADES,Industrials,Engineering & Construction,N/A,EQUITY,,53.894,1.923,7.72,0.05421686746987952
2002-07-12,43.900001525878906,45.04999923706055,43.900001525878906,44.79999923706055,44.79999923706055,138648,AXISCADES,Industrials,Engineering & Construction,N/A,EQUITY,,53.894,1.923,7.72,0.026195846724600243
