Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2015-08-14,120.0,129.64999389648438,117.3499984741211,128.14999389648438,128.14999389648438,115424,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.10481461936342308
2015-08-17,132.0,134.5500030517578,121.94999694824219,132.64999389648438,132.64999389648438,48733,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.10332108584523621
2015-08-18,130.0,139.25,129.89999389648438,138.89999389648438,138.89999389648438,105146,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.07197849532592375
2015-08-19,141.0,145.8000030517578,136.0,145.8000030517578,145.8000030517578,116061,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.07205884596880745
2015-08-20,149.39999389648438,152.0,139.0,140.9499969482422,140.9499969482422,135955,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.09352517985611511
2015-08-21,139.0,140.0,134.5,136.85000610351562,136.85000610351562,37502,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.040892193308550186
2015-08-24,130.10000610351562,130.10000610351562,130.0500030517578,130.0500030517578,130.0500030517578,4993,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.00038449096950741394
2015-08-25,123.55000305175781,123.55000305175781,123.55000305175781,123.55000305175781,123.55000305175781,2684,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.0
2015-08-26,117.4000015258789,117.4000015258789,117.4000015258789,117.4000015258789,117.4000015258789,12670,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.0
2015-08-27,111.55000305175781,119.30000305175781,111.55000305175781,116.1500015258789,116.1500015258789,192407,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.06947556959190845
2015-08-28,120.9000015258789,120.94999694824219,110.3499984741211,110.3499984741211,110.3499984741211,50914,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.09605798478200224
2015-08-31,104.8499984741211,110.0,104.8499984741211,107.5,107.5,39047,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.049117802582992136
2015-09-01,102.55000305175781,106.94999694824219,102.1500015258789,102.1500015258789,102.1500015258789,26025,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.04698967548372713
2015-09-02,101.94999694824219,107.25,97.05000305175781,103.44999694824219,103.44999694824219,79560,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.1051004289283991
2015-09-03,104.8499984741211,108.5999984741211,104.0,108.5999984741211,108.5999984741211,9332,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.04423075455885667
2015-09-04,110.80000305175781,110.80000305175781,103.19999694824219,103.5,103.5,52690,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.0736434721730394
2015-09-07,100.0999984741211,103.69999694824219,98.3499984741211,98.3499984741211,98.3499984741211,24846,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.054397545064821154
2015-09-08,93.55000305175781,97.75,93.44999694824219,93.69999694824219,93.69999694824219,61657,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.0460139453416932
2015-09-09,96.44999694824219,98.3499984741211,91.5,98.3499984741211,98.3499984741211,48925,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.07486337130186987
2015-09-10,97.0,103.25,94.0,103.25,103.25,51697,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.09840425531914894
2015-09-11,107.4000015258789,108.4000015258789,105.0,108.4000015258789,108.4000015258789,100728,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.03238096691313244
2015-09-14,113.4000015258789,113.80000305175781,108.69999694824219,113.80000305175781,113.80000305175781,70184,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.04691818074239696
2015-09-15,117.4000015258789,119.44999694824219,112.19999694824219,115.0,115.0,140370,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.06461675755075486
2015-09-16,116.5,117.9000015258789,110.25,111.44999694824219,111.44999694824219,22669,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.0693877689422123
2015-09-18,114.5,117.0,113.0,117.0,117.0,119597,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.035398230088495575
2015-09-21,117.0,118.5,111.30000305175781,117.8499984741211,117.8499984741211,12028,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.06468999776122175
2015-09-22,119.80000305175781,123.69999694824219,112.6500015258789,115.1500015258789,115.1500015258789,100578,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.09809139167942917
2015-09-23,116.69999694824219,120.0,113.19999694824219,115.6500015258789,115.6500015258789,40053,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.060070699956528625
2015-09-24,113.0999984741211,118.0,113.0999984741211,114.75,114.75,14335,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.043324505676276354
2015-09-28,117.80000305175781,117.80000305175781,109.05000305175781,109.25,109.25,35167,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.08023842049639407
2015-09-29,104.19999694824219,108.6500015258789,103.80000305175781,104.25,104.25,71539,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.046724454060976646
2015-09-30,106.44999694824219,109.44999694824219,104.30000305175781,106.5999984741211,106.5999984741211,30874,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.04937673773536462
2015-10-01,109.55000305175781,110.5,106.0,106.05000305175781,106.05000305175781,208869,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.04245283018867924
2015-10-05,110.5,113.55000305175781,107.30000305175781,108.94999694824219,108.94999694824219,62227,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.058247901418839815
2015-10-06,109.05000305175781,109.9000015258789,104.6500015258789,106.69999694824219,106.69999694824219,39205,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.05016722334879018
2015-10-07,106.05000305175781,107.0,104.0,104.3499984741211,104.3499984741211,18085,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.028846153846153848
2015-10-08,104.05000305175781,105.0,98.05000305175781,102.30000305175781,102.30000305175781,45866,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.07088216962699614
2015-10-09,102.80000305175781,105.05000305175781,96.5,97.3499984741211,97.3499984741211,65456,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.08860106789386334
2015-10-12,97.5,100.75,97.5,99.80000305175781,99.80000305175781,46056,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.03333333333333333
2015-10-13,100.80000305175781,100.80000305175781,96.0,96.55000305175781,96.55000305175781,54028,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.05000003178914388
2015-10-14,98.30000305175781,106.19999694824219,92.0,106.19999694824219,106.19999694824219,126340,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.15434779291567596
2015-10-15,113.69999694824219,116.80000305175781,109.1500015258789,113.55000305175781,113.55000305175781,277301,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.07008704918858961
2015-10-16,115.80000305175781,115.94999694824219,108.0999984741211,111.0,111.0,128115,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.07261793325557138
2015-10-19,111.0,115.9000015258789,110.5999984741211,112.1500015258789,112.1500015258789,112014,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.04792046225025891
2015-10-20,112.0,113.69999694824219,107.0,108.94999694824219,108.94999694824219,51460,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.0626167939088055
2015-10-21,111.9000015258789,113.4000015258789,109.05000305175781,110.25,110.25,32045,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.039889943625737244
2015-10-23,111.0999984741211,112.30000305175781,109.0999984741211,109.5999984741211,109.5999984741211,24890,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.02933093146097313
2015-10-26,107.0,114.9000015258789,107.0,111.4000015258789,111.4000015258789,69100,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.07383178996148511
2015-10-27,110.0,114.5,109.5999984741211,112.9000015258789,112.9000015258789,36748,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.044708043741769773
2015-10-28,114.5,123.30000305175781,112.5,121.8499984741211,121.8499984741211,197822,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.09600002712673611
2015-10-29,123.80000305175781,128.10000610351562,120.1500015258789,123.5,123.5,161805,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.06616732814542978
2015-10-30,124.0,129.6999969482422,122.25,124.4000015258789,124.4000015258789,200682,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.06094067033326943
2015-11-02,112.5999984741211,117.9000015258789,112.0,112.0,112.0,123718,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.052678585052490234
2015-11-03,110.0999984741211,115.30000305175781,108.0,112.5,112.5,80636,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.06759262084960938
2015-11-04,112.9000015258789,113.30000305175781,105.1500015258789,106.0999984741211,106.0999984741211,54209,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.0775083348322451
2015-11-05,106.05000305175781,113.44999694824219,106.05000305175781,107.69999694824219,107.69999694824219,86993,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.06977834685089826
2015-11-06,108.6500015258789,109.80000305175781,104.05000305175781,105.44999694824219,105.44999694824219,36332,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.055261891699702935
2015-11-09,100.05000305175781,112.0,100.0,109.69999694824219,109.69999694824219,72491,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.12
2015-11-10,108.5,111.0,105.25,106.55000305175781,106.55000305175781,63908,AYMSYNTEX,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,,76.455,1.054,0.4,0.05463182897862233
