Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2010-08-18,152.0,163.38999938964844,149.52999877929688,151.75,101.65123748779297,29319495,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.0926904348525317
2010-08-19,152.97999572753906,154.8000030517578,150.1999969482422,150.82000732421875,101.02827453613281,3218985,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.030625873481879985
2010-08-20,150.89999389648438,150.89999389648438,144.82000732421875,145.3000030517578,97.33064270019531,1713055,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.04198305665496847
2010-08-23,146.5399932861328,152.3300018310547,142.0399932861328,145.1699981689453,97.24356079101562,3673290,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.07244444544708716
2010-08-24,144.41000366210938,147.33999633789062,142.5500030517578,143.2100067138672,95.93065643310547,739345,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.033602197008677975
2010-08-25,143.16000366210938,147.27999877929688,142.1199951171875,144.00999450683594,96.46652221679688,1032320,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.036307372920007526
2010-08-26,144.35000610351562,147.1999969482422,143.60000610351562,146.0500030517578,97.83306121826172,804210,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.02506957306207543
2010-08-27,146.0,147.1999969482422,144.39999389648438,146.08999633789062,97.85983276367188,518765,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.019390603671112637
2010-08-30,148.0,148.0,144.1999969482422,145.8300018310547,97.6856689453125,461865,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.026352310209283504
2010-08-31,144.30999755859375,150.1999969482422,144.02999877929688,145.4199981689453,97.4110336303711,871245,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.042838285226953696
2010-09-01,146.0,147.36000061035156,144.39999389648438,144.83999633789062,97.02249908447266,271425,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.020498662319813666
2010-09-02,145.02000427246094,147.0,143.60000610351562,144.4199981689453,96.74116516113281,198360,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.023676836712899947
2010-09-03,145.58999633789062,148.39999389648438,144.27999877929688,145.3300018310547,97.3507308959961,283505,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.028555552758839427
2010-09-06,145.8000030517578,148.27000427246094,145.0,146.0,97.79954528808594,279850,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.02255175360317888
2010-09-07,146.3800048828125,147.39999389648438,145.8000030517578,146.02999877929688,97.81964874267578,119480,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.010973873876796688
2010-09-08,144.1999969482422,147.39999389648438,144.1999969482422,146.00999450683594,97.8062515258789,316490,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.022191380138452878
2010-09-09,146.0,146.97999572753906,146.0,146.00999450683594,97.8062515258789,87900,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.006712299503692209
2010-09-13,146.0,147.0,146.0,146.22999572753906,97.95360565185547,98680,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.00684931506849315
2010-09-14,146.11000061035156,147.0,145.60000610351562,146.0,97.79954528808594,340500,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.009615342292561698
2010-09-15,146.0500030517578,146.67999267578125,145.8000030517578,146.00999450683594,97.8062515258789,239240,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.006035594002772746
2010-09-16,146.0,146.3800048828125,143.22000122070312,145.38999938964844,97.39093780517578,172460,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.022063982929589457
2010-09-17,145.39999389648438,146.0,144.1300048828125,144.92999267578125,97.08277893066406,278935,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.01297436379543547
2010-09-20,144.02000427246094,151.7899932861328,144.0,148.55999755859375,99.51438903808594,372965,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.05409717559814453
2010-09-21,147.02000427246094,149.4199981689453,146.0,146.0800018310547,97.85311889648438,129505,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.023424644992776113
2010-09-22,146.0,147.36000061035156,145.39999389648438,145.97000122070312,97.7794418334961,141835,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.013480101761645111
2010-09-23,146.0,146.94000244140625,144.1999969482422,144.86000061035156,97.03593444824219,294920,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.019001425458750422
2010-09-24,141.0,146.1999969482422,141.0,145.02999877929688,97.1497802734375,110520,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.03687941098044105
2010-09-27,145.0500030517578,146.0,143.32000732421875,144.02999877929688,96.47991943359375,65365,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.018699361839401574
2010-09-28,143.1199951171875,144.99000549316406,141.82000732421875,142.36000061035156,95.36125183105469,125080,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.02235226346941507
2010-09-29,142.9499969482422,144.0,141.39999389648438,142.16000366210938,95.227294921875,299840,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.018387596999608277
2010-09-30,142.8000030517578,143.0,139.02999877929688,139.5500030517578,93.47895050048828,48665,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.02855499716291663
2010-10-01,140.0,142.97999572753906,137.42999267578125,140.35000610351562,94.01483917236328,188730,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.040384219948633296
2010-10-04,142.8000030517578,142.8000030517578,140.1999969482422,141.02000427246094,94.4636459350586,84285,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.018544979744011498
2010-10-05,140.60000610351562,143.8000030517578,140.0,143.3300018310547,96.01101684570312,716040,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.02714287894112723
2010-10-06,145.0,146.0,143.1999969482422,144.5500030517578,96.8282699584961,495255,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.019553094353555314
2010-10-07,144.02000427246094,145.8000030517578,143.89999389648438,145.3699951171875,97.37751770019531,221865,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.013203677803073601
2010-10-08,143.02000427246094,146.0,143.02000427246094,144.67999267578125,96.91532897949219,459845,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.020836216183171184
2010-10-11,144.0,145.97999572753906,144.0,145.02999877929688,97.1497802734375,116145,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.013749970330132378
2010-10-12,143.24000549316406,145.1999969482422,142.0,144.6199951171875,96.87511444091797,47945,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.022535189776353434
2010-10-13,143.10000610351562,145.0,142.39999389648438,142.52999877929688,95.47513580322266,261120,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.018258470610649478
2010-10-14,142.8000030517578,143.7899932861328,141.5,142.00999450683594,95.12679290771484,21580,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.01618369813521422
2010-10-15,142.0,143.39999389648438,139.4199981689453,140.4499969482422,94.0818099975586,168920,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.028546806626092575
2010-10-18,141.7899932861328,141.7899932861328,138.00999450683594,138.9199981689453,93.05695343017578,24565,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.027389311859654073
2010-10-19,138.60000610351562,141.1999969482422,137.66000366210938,140.86000061035156,94.35646057128906,34125,BAJAJCON,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0305,1.054,5.492,10.89,0.025715481562980577
