Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2021-11-25,378.3999938964844,380.54998779296875,351.0,362.95001220703125,360.6405944824219,120998,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.08418799941016739
2021-11-26,359.0,375.0,342.0,363.6000061035156,361.28643798828125,49217,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.09649122807017543
2021-11-29,366.0,372.0,290.8999938964844,357.6499938964844,355.374267578125,42648,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.2787899890172385
2021-11-30,351.20001220703125,368.3500061035156,342.6000061035156,350.75,348.5181884765625,26663,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.07516053573046262
2021-12-01,356.70001220703125,368.0,351.29998779296875,356.0,353.73480224609375,23036,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.04753775345097094
2021-12-02,361.8999938964844,361.8999938964844,346.6499938964844,350.75,348.5181884765625,16818,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.043992500413987924
2021-12-03,351.0,359.5,346.0,350.3500061035156,348.1207275390625,13095,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.03901734104046243
2021-12-06,354.0,354.0,340.0,343.20001220703125,341.0162353515625,21635,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.041176470588235294
2021-12-07,348.3999938964844,351.3999938964844,341.04998779296875,343.54998779296875,341.364013671875,13014,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.03034747536715498
2021-12-08,345.0,412.25,342.0,411.1000061035156,408.48419189453125,473933,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.2054093567251462
2021-12-09,423.0,438.0,414.0,419.0,416.33392333984375,468394,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.057971014492753624
2021-12-10,418.6000061035156,418.6000061035156,402.0,407.3999938964844,404.8077392578125,84899,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.041293547521183145
2021-12-13,411.5,418.0,395.1000061035156,406.6000061035156,404.0128479003906,46697,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.05795999378062427
2021-12-14,401.0,440.5,397.04998779296875,417.29998779296875,414.64471435546875,147345,BAJAJHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,N/A,EQUITY,0.003,119.566,0.975,-5.19,0.10943209556195004
