Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,1.2910000085830688,1.375,1.281999945640564,1.343999981880188,0.17574459314346313,157670,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.07254294719409496
2002-07-02,1.375,1.3899999856948853,1.340999960899353,1.3630000352859497,0.17822906374931335,83770,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.03653991515605261
2002-07-03,1.3660000562667847,1.3660000562667847,1.3420000076293945,1.3569999933242798,0.1774444878101349,65820,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.017883791729469176
2002-07-04,1.340999960899353,1.4989999532699585,1.3229999542236328,1.4450000524520874,0.18895158171653748,919770,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.13303099405593447
2002-07-05,1.4800000190734863,1.5290000438690186,1.4520000219345093,1.5010000467300415,0.1962742656469345,1051530,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.05303031733561659
2002-07-08,1.5089999437332153,1.562000036239624,1.5069999694824219,1.5180000066757202,0.1984972059726715,424310,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.036496395402112636
2002-07-09,1.5290000438690186,1.5290000438690186,1.465999960899353,1.4739999771118164,0.1927436739206314,214230,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.04297413686901916
2002-07-10,1.4989999532699585,1.527999997138977,1.4500000476837158,1.4709999561309814,0.19235137104988098,236900,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.05379306682083305
2002-07-11,1.503999948501587,1.5140000581741333,1.465000033378601,1.4730000495910645,0.19261296093463898,532730,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.033447115139327174
2002-07-12,1.437000036239624,1.437000036239624,1.3609999418258667,1.378000020980835,0.4260362386703491,109790,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.05584136492452633
2002-07-15,1.371000051498413,1.3910000324249268,1.3320000171661377,1.3359999656677246,0.41305112838745117,43800,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.04429430517899919
2002-07-16,1.3669999837875366,1.3669999837875366,1.3020000457763672,1.3049999475479126,0.40346676111221313,36620,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.049923145718793534
2002-07-17,1.340999960899353,1.340999960899353,1.24399995803833,1.284000039100647,0.39697426557540894,83710,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.07797428145735853
2002-07-18,1.2869999408721924,1.3209999799728394,1.2649999856948853,1.2890000343322754,0.3985201418399811,37420,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.04426877068080944
2002-07-19,1.281999945640564,1.2970000505447388,1.274999976158142,1.2929999828338623,0.3997567594051361,98030,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.017254960625872156
2002-07-22,1.2630000114440918,1.2669999599456787,1.2330000400543213,1.2430000305175781,0.38429826498031616,28270,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.027574954409457696
2002-07-23,1.2230000495910645,1.2580000162124634,1.2059999704360962,1.2489999532699585,0.38615328073501587,55540,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.0431177836244587
2002-07-24,1.184000015258789,1.2480000257492065,1.184000015258789,1.2339999675750732,0.381515771150589,133080,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.05405406221758272
2002-07-25,1.2430000305175781,1.3220000267028809,1.2289999723434448,1.246999979019165,0.38553497195243835,82130,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.07567132339482845
2002-07-26,1.281999945640564,1.281999945640564,1.2039999961853027,1.2549999952316284,0.3880082964897156,264020,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.06478401138072477
2002-07-29,1.218000054359436,1.2580000162124634,1.194000005722046,1.2200000286102295,0.3771874010562897,113290,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.0536013485625696
2002-07-30,1.2280000448226929,1.2430000305175781,1.2009999752044678,1.2020000219345093,0.37162232398986816,57160,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.03497090439653001
2002-07-31,1.194000005722046,1.2230000495910645,1.1679999828338623,1.2039999961853027,0.37224066257476807,31950,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.04708909894309941
2002-08-01,1.2330000400543213,1.2419999837875366,1.2029999494552612,1.2070000171661377,0.3731682002544403,38170,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.0324189825194384
2002-08-02,1.194000005722046,1.2100000381469727,1.194000005722046,1.1959999799728394,0.36976730823516846,46100,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.013400362100711282
2002-08-05,1.218999981880188,1.218999981880188,1.1959999799728394,1.218000054359436,0.37656909227371216,205710,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.01923077114756386
2002-08-06,1.2079999446868896,1.2230000495910645,1.1990000009536743,1.2100000381469727,0.3740956783294678,31150,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.020016721116180736
2002-08-07,1.3320000171661377,1.3320000171661377,1.194000005722046,1.2029999494552612,0.3719314932823181,145240,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.11557789847801488
2002-08-08,1.2029999494552612,1.2029999494552612,1.1540000438690186,1.1640000343322754,0.35987389087677,46080,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.042460921770817776
2002-08-09,1.1740000247955322,1.187999963760376,1.1670000553131104,1.1820000410079956,0.36543890833854675,23250,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.01799477930755648
2002-08-12,1.184000015258789,1.184000015258789,1.1740000247955322,1.1740000247955322,0.3629656434059143,4500,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.008517879260691214
2002-08-13,1.194000005722046,1.371000051498413,1.1740000247955322,1.2940000295639038,0.40006592869758606,248270,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.16780240420965156
2002-08-14,1.315999984741211,1.3220000267028809,1.2380000352859497,1.2569999694824219,0.38862672448158264,588010,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.06785136431561496
2002-08-15,1.2569999694824219,1.2569999694824219,1.2569999694824219,1.2569999694824219,0.38862672448158264,0,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.0
2002-08-16,1.2630000114440918,1.2630000114440918,1.2130000591278076,1.2259999513626099,0.3790423572063446,143740,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.041220074096481096
2002-08-19,1.2430000305175781,1.2630000114440918,1.2330000400543213,1.2410000562667847,0.3836800158023834,64250,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.02433087624915959
2002-08-20,1.2430000305175781,1.2630000114440918,1.2139999866485596,1.246000051498413,0.38522589206695557,89560,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.04036245908931565
2002-08-21,1.3220000267028809,1.3220000267028809,1.2130000591278076,1.2289999723434448,0.37996989488601685,8500,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.089859820496174
2002-08-22,1.2330000400543213,1.2330000400543213,1.2200000286102295,1.2280000448226929,0.3796607553958893,11040,BALRAMCHIN,Consumer Defensive,Confectioners,N/A,EQUITY,0.0128999995,59.076,1.432,26.51,0.010655746835433143
