Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2010-01-08,5.447303771972656,6.381127834320068,5.447303771972656,6.381127834320068,5.5639729499816895,3559,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.17142867397116762
2010-01-11,7.649571895599365,7.657352924346924,7.649571895599365,7.657352924346924,6.676766395568848,9143,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.0010171848639052407
2010-01-12,9.190381050109863,9.190381050109863,9.190381050109863,9.190381050109863,8.013477325439453,10222,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.0
2010-01-13,10.116421699523926,10.116421699523926,10.116421699523926,10.116421699523926,8.820930480957031,4234,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.0
2010-01-14,11.12806510925293,11.12806510925293,11.12806510925293,11.12806510925293,9.703027725219727,648,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.0
2010-01-15,12.24087142944336,12.24087142944336,12.24087142944336,12.24087142944336,10.673328399658203,2891,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.0
2010-01-18,13.470405578613281,13.470405578613281,13.470405578613281,13.470405578613281,11.74541187286377,1606,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.0
2010-01-19,14.147427558898926,14.147427558898926,14.147427558898926,14.147427558898926,12.335733413696289,481,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.0
2010-01-20,14.85557746887207,14.85557746887207,14.85557746887207,14.85557746887207,12.953198432922363,160,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.0
2010-01-21,15.602636337280273,15.602636337280273,14.116299629211426,14.1240816116333,12.315377235412598,61251,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.10529223288751334
2010-01-22,13.431495666503906,13.96844482421875,13.423714637756348,13.423714637756348,11.704697608947754,13261,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.04057969058208832
2010-01-25,12.785601615905762,12.878984451293945,12.762255668640137,12.87120246887207,11.222939491271973,5930,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.00914640684880171
2010-01-27,13.229167938232422,13.229167938232422,12.233089447021484,12.233089447021484,10.666543006896973,571,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.08142493321288212
2010-01-28,11.626104354858398,11.672795295715332,11.626104354858398,11.665013313293457,10.171215057373047,1638,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.004016043502776754
2010-01-29,11.089155197143555,11.089155197143555,11.089155197143555,11.089155197143555,9.669099807739258,372,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.0
2010-02-01,10.536643028259277,11.517157554626465,10.536643028259277,10.583333969116211,9.228052139282227,4189,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.09305758235687092
2010-02-02,10.583333969116211,10.583333969116211,10.061948776245117,10.24093246459961,8.929496765136719,3598,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.05181751611596481
2010-02-03,10.684497833251953,10.754534721374512,10.077512741088867,10.754534721374512,9.37732982635498,1702,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.06718145614693541
2010-02-04,11.29926586151123,11.29926586151123,11.29926586151123,11.29926586151123,9.852304458618164,6752,BEARDSELL,Industrials,Building Products & Equipment,N/A,EQUITY,0.0026,46.59,1.16,2.1,0.0
