Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2011-01-14,294.54998779296875,294.54998779296875,95.0,123.55000305175781,123.55000305175781,218237,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,2.100526187294408
2011-01-17,121.05000305175781,121.05000305175781,117.4000015258789,117.4000015258789,117.4000015258789,2925,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.031090302201353236
2011-01-18,111.55000305175781,111.55000305175781,111.55000305175781,111.55000305175781,111.55000305175781,1785,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.0
2011-01-19,106.0,106.0,106.0,106.0,106.0,1465,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.0
2011-01-20,100.69999694824219,100.69999694824219,100.69999694824219,100.69999694824219,100.69999694824219,626,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.0
2011-01-21,95.69999694824219,95.69999694824219,95.69999694824219,95.69999694824219,95.69999694824219,4831,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.0
2011-01-24,90.94999694824219,90.94999694824219,90.94999694824219,90.94999694824219,90.94999694824219,7179,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.0
2011-01-25,86.4000015258789,95.5,86.4000015258789,95.5,95.5,44798,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.10532405455334885
2011-01-27,100.30000305175781,100.30000305175781,90.75,93.25,93.25,41074,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.10523419340779959
2011-01-28,89.0,93.80000305175781,88.5999984741211,88.5999984741211,88.5999984741211,15535,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.05869079759810123
2011-01-31,81.0,91.0,81.0,85.44999694824219,85.44999694824219,15375,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.12345679012345678
2011-02-01,92.80000305175781,92.80000305175781,68.44999694824219,77.5999984741211,77.5999984741211,16413,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.35573421751833895
2011-02-02,82.4000015258789,83.44999694824219,76.0,78.0999984741211,78.0999984741211,18931,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.09802627563476562
2011-02-03,77.0,93.75,77.0,93.75,93.75,107304,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.21753246753246752
2011-02-04,97.1500015258789,112.5,97.1500015258789,109.0999984741211,109.0999984741211,1634983,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.1580030698201497
2011-02-07,110.0,129.6999969482422,105.0,126.8499984741211,126.8499984741211,3078498,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.2352380661737351
2011-02-08,129.0,133.89999389648438,118.9000015258789,126.0999984741211,126.0999984741211,3235691,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.12615636819265036
2011-02-09,126.0,127.9000015258789,113.5,113.5,113.5,705620,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.12687226013990227
2011-02-10,112.0,112.0,102.1500015258789,102.1500015258789,102.1500015258789,147793,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.09642680692105202
2011-02-11,95.0,109.19999694824219,92.3499984741211,100.25,100.25,602568,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.18245802655690252
2011-02-14,101.44999694824219,105.30000305175781,101.44999694824219,105.30000305175781,105.30000305175781,76157,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.03794979023488609
2011-02-15,110.5999984741211,110.5999984741211,106.0999984741211,109.9000015258789,109.9000015258789,299051,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.042412818706096374
2011-02-16,110.5,112.80000305175781,104.4000015258789,104.4000015258789,104.4000015258789,90267,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.08045978355466495
2011-02-17,100.19999694824219,106.80000305175781,99.19999694824219,101.75,101.75,204969,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.07661296711007909
2011-02-18,103.75,104.75,97.0999984741211,97.80000305175781,97.80000305175781,57878,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.07878477493403638
2011-02-21,99.94999694824219,101.1500015258789,93.19999694824219,95.5999984741211,95.5999984741211,64127,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.08530048109391769
2011-02-22,93.0,94.4000015258789,90.8499984741211,90.8499984741211,90.8499984741211,88358,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.03907543325682104
2011-02-23,87.25,89.4000015258789,86.3499984741211,86.3499984741211,86.3499984741211,42453,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.0353214024974406
2011-02-24,86.3499984741211,86.3499984741211,82.05000305175781,82.05000305175781,82.05000305175781,16996,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.05240701112041165
2011-02-25,84.4000015258789,84.4000015258789,78.19999694824219,80.80000305175781,80.80000305175781,37972,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.0792839490996436
2011-02-28,81.5999984741211,84.75,80.19999694824219,81.25,81.25,30122,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.056733207292940416
2011-03-01,81.5,84.5,81.5,83.80000305175781,83.80000305175781,21738,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.03680981595092025
2011-03-03,82.80000305175781,85.80000305175781,81.0999984741211,84.0999984741211,84.0999984741211,22583,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.057953201801063954
2011-03-04,83.0,87.44999694824219,82.0,86.19999694824219,86.19999694824219,150963,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.06646337741758765
2011-03-07,84.3499984741211,84.3499984741211,81.9000015258789,83.25,83.25,15862,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.029914492095192858
2011-03-08,83.5,85.5,83.5,84.1500015258789,84.1500015258789,35848,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.023952095808383235
2011-03-09,83.75,84.5,81.5,82.55000305175781,82.55000305175781,28083,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.03680981595092025
2011-03-10,82.0,85.30000305175781,82.0,83.19999694824219,83.19999694824219,33652,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.04024393965558308
2011-03-11,83.9000015258789,84.5,80.0,81.0999984741211,81.0999984741211,23040,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.05625
2011-03-14,80.0,81.9000015258789,78.3499984741211,79.44999694824219,79.44999694824219,13193,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.0453095484479221
2011-03-15,78.0999984741211,79.75,77.0999984741211,78.05000305175781,78.05000305175781,19376,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.03437096729344799
2011-03-16,76.0999984741211,81.94999694824219,76.0999984741211,81.94999694824219,81.94999694824219,8365,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.07687251762705975
2011-03-17,83.0,86.05000305175781,82.30000305175781,84.19999694824219,84.19999694824219,62680,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.045565004385742916
2011-03-18,88.0,88.0,80.3499984741211,81.6500015258789,81.6500015258789,22303,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.09520848377293745
2011-03-21,82.94999694824219,83.19999694824219,79.0999984741211,79.75,79.75,9864,BFINVEST,Financial Services,Asset Management,N/A,EQUITY,,,58.226,22.25,0.051833104338965034
