Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2021-10-18,74.48723602294922,82.64187622070312,66.71820068359375,72.61180114746094,72.1809310913086,327189,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.23867063820600104
2021-10-19,74.06657409667969,82.29132843017578,68.44464874267578,70.68816375732422,70.26871490478516,208906,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.20230478118980375
2021-10-20,72.7388687133789,72.89662170410156,69.23338317871094,70.52165222167969,70.10318756103516,83229,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.052911447587860476
2021-10-21,70.86343383789062,70.86343383789062,63.024288177490234,67.24840545654297,66.84935760498047,60373,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.12438293056676238
2021-10-22,66.42461395263672,71.07376861572266,66.33697509765625,69.03620147705078,68.62654876708984,70711,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.07140502730329894
2021-10-25,70.5435562133789,74.05342864990234,63.99706268310547,71.34544372558594,70.9220962524414,97298,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.1571379301670926
2021-10-26,67.9188232421875,74.92980194091797,67.88377380371094,71.91946411132812,71.4926986694336,38967,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.10379546896701627
2021-10-27,72.38832092285156,74.49161529541016,66.70066833496094,68.59801483154297,68.19097137451172,48883,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.11680463112189866
2021-10-28,70.2324447631836,70.37266540527344,67.22211456298828,67.97579193115234,67.57243347167969,15860,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.04686777354099796
2021-10-29,67.6997299194336,72.7388687133789,65.7585678100586,70.94230651855469,70.52134704589844,32315,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.10615043994696899
2021-11-01,74.40397644042969,74.49161529541016,70.1491928100586,72.19990539550781,71.77147674560547,112144,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.061902672167724625
2021-11-02,74.49161529541016,75.01744079589844,68.35700988769531,69.08001708984375,68.67009735107422,26826,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.0974359603959512
2021-11-03,71.85811614990234,73.87815856933594,65.5219497680664,71.76609802246094,71.34024810791016,79966,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.12753296919351012
2021-11-04,74.49161529541016,74.57925415039062,68.35700988769531,72.77392578125,72.34210968017578,29713,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.0910256939693226
2021-11-08,74.48723602294922,79.30289459228516,70.54794311523438,71.95013427734375,71.523193359375,40816,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.12409931587587571
2021-11-09,74.39959716796875,74.39959716796875,67.94512176513672,70.75389099121094,70.33404541015625,21280,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.09499542035030811
2021-11-10,72.73011016845703,74.14106750488281,69.312255859375,70.90287017822266,70.48213958740234,66204,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.06966750087177663
2021-11-11,70.99050903320312,70.99050903320312,68.27375793457031,69.9388656616211,69.60990905761719,17777,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.03979202523517736
2021-11-12,70.10975646972656,72.91414642333984,68.86968994140625,71.02117919921875,70.68712615966797,18975,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.058726218825358195
2021-11-15,72.64247131347656,72.64247131347656,67.6164779663086,68.73823547363281,68.4149169921875,38328,BHAGCHEM,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0004,14.901,2.233,1.62,0.07433089534288197
