Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,32.0,32.900001525878906,31.549999237060547,32.900001525878906,30.482709884643555,813,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.04278929703530911
2002-07-02,32.0,34.0,32.0,32.54999923706055,30.15842056274414,1023,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.0625
2002-07-03,32.54999923706055,34.0,32.5,33.0,30.575355529785156,524,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.046153846153846156
2002-07-04,33.0,33.0,31.5,32.5,30.11209487915039,435,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.047619047619047616
2002-07-05,33.849998474121094,34.150001525878906,33.849998474121094,34.150001525878906,31.640867233276367,508,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.008862719801514023
2002-07-08,35.900001525878906,35.900001525878906,34.5,35.900001525878906,33.26227951049805,555,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.04057975437330163
2002-07-09,37.400001525878906,37.599998474121094,35.5,36.0,33.35493850708008,1800,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.05915488659496039
2002-07-10,36.5,36.5,34.0,35.5,32.891666412353516,575,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.07352941176470588
2002-07-11,32.099998474121094,34.70000076293945,32.099998474121094,33.0,30.575355529785156,201,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.08099695988815925
2002-07-12,31.100000381469727,33.79999923706055,31.0,33.79999923706055,31.31657600402832,210,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.09032255603421119
2002-07-15,30.5,32.0,30.5,31.850000381469727,29.509857177734375,100,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.04918032786885246
2002-07-16,29.5,34.29999923706055,29.200000762939453,32.75,30.34372329711914,5,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.17465747742698676
2002-07-17,29.75,29.950000762939453,29.5,29.950000762939453,27.74945068359375,210,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.015254263150489937
2002-07-18,30.0,30.0,30.0,30.0,27.795780181884766,100,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.0
2002-07-19,32.0,32.79999923706055,32.0,32.79999923706055,30.390060424804688,110,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.02499997615814209
2002-07-22,32.79999923706055,32.79999923706055,32.79999923706055,32.79999923706055,30.390060424804688,0,BHARATRAS,Basic Materials,Agricultural Inputs,N/A,EQUITY,0.0001,8.146,4.602,229.63,0.0
