Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
1996-01-01,5.733333110809326,5.883333206176758,5.733333110809326,5.883333206176758,4.454047679901123,1501500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.02616280834696824
1996-01-02,5.883333206176758,5.616665840148926,5.616665840148926,5.616665840148926,4.252162456512451,1500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-03,5.616665840148926,5.699999809265137,5.603332996368408,5.699999809265137,4.315253257751465,4500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.017251663065425436
1996-01-04,5.699999809265137,5.599999904632568,5.599999904632568,5.599999904632568,4.239547252655029,1500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-05,5.599999904632568,5.699999809265137,5.533332824707031,5.699999809265137,4.315253257751465,1438500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.030120542146663633
1996-01-08,5.699999809265137,5.616665840148926,5.616665840148926,5.616665840148926,4.252162456512451,1500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-09,5.616665840148926,5.666666030883789,5.599999904632568,5.599999904632568,4.239547252655029,4500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.011904665604738945
1996-01-10,5.533332824707031,5.533332824707031,5.5,5.5,4.163838863372803,9000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.006060513583096591
1996-01-11,5.5,5.5,5.5,5.5,4.163838863372803,0,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-12,5.539999961853027,5.539999961853027,5.533332824707031,5.533332824707031,4.189074993133545,3000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.001204904414248585
1996-01-15,5.533332824707031,5.466666221618652,5.466666221618652,5.466666221618652,4.138604164123535,3000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-16,5.400000095367432,5.533332824707031,5.400000095367432,5.533332824707031,4.189074993133545,4500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.024691245737936837
1996-01-17,5.266665935516357,5.266665935516357,5.266665935516357,5.266665935516357,3.9871904850006104,1500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-18,5.266665935516357,5.266665935516357,5.073332786560059,5.266665935516357,3.9871904850006104,3000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0381077207212711
1996-01-19,5.266665935516357,5.3333330154418945,5.216666221618652,5.216666221618652,3.9493391513824463,3000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.022364243535412977
1996-01-22,5.216666221618652,5.199999809265137,5.199999809265137,5.199999809265137,3.9367220401763916,3000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-23,5.266665935516357,5.266665935516357,5.266665935516357,5.266665935516357,3.9871904850006104,1500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-24,5.266665935516357,5.266665935516357,5.199999809265137,5.199999809265137,3.9367220401763916,4500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.012820409364715332
1996-01-25,5.133333206176758,5.133333206176758,5.133333206176758,5.133333206176758,3.8862502574920654,1500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-26,5.133333206176758,5.133333206176758,5.133333206176758,5.133333206176758,3.8862502574920654,0,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-29,5.133333206176758,5.133333206176758,5.133333206176758,5.133333206176758,3.8862502574920654,1500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-30,5.133333206176758,5.400000095367432,5.400000095367432,5.400000095367432,4.088133811950684,3000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-01-31,5.3333330154418945,5.3333330154418945,5.199999809265137,5.203332901000977,3.939243793487549,4500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.025641002128344394
1996-02-01,5.203332901000977,5.400000095367432,5.400000095367432,5.400000095367432,4.088133811950684,4500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-02-02,5.400000095367432,5.846665859222412,5.783332824707031,5.846665859222412,4.426286697387695,9000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.01095095793982584
1996-02-05,5.616665840148926,5.616665840148926,5.616665840148926,5.616665840148926,4.252162456512451,1500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-02-06,5.616665840148926,5.683332920074463,5.599999904632568,5.599999904632568,4.239547252655029,4500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.01488089586804417
1996-02-07,5.599999904632568,5.599999904632568,5.599999904632568,5.599999904632568,4.239547252655029,1500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-02-08,5.666666030883789,5.716666221618652,5.666666030883789,5.666666030883789,4.2900166511535645,751500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.008823564060835452
1996-02-09,6.099999904632568,6.466666221618652,6.066666126251221,6.466666221618652,4.895664215087891,24000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.06593408752734577
1996-02-12,6.533332824707031,7.146666049957275,6.533332824707031,7.146666049957275,5.410468101501465,18000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.09387754178553537
1996-02-13,7.146666049957275,7.866665840148926,7.133333206176758,7.433332920074463,5.627492904663086,771000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.10280364210901781
1996-02-14,7.433332920074463,8.216666221618652,7.739999771118164,8.0,6.056493282318115,118500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.06158481454730409
1996-02-15,8.0,8.133333206176758,7.706665992736816,8.0,6.056493282318115,40500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.05536339758879598
1996-02-16,8.0,7.666666030883789,7.369999885559082,7.5,5.67796516418457,18000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.040253208945905186
1996-02-19,7.5,7.650000095367432,7.3333330154418945,7.650000095367432,5.79152250289917,48000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.04318187640718445
1996-02-20,7.650000095367432,7.599999904632568,7.3333330154418945,7.489999771118164,5.6703925132751465,114000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.036363668284141726
1996-02-21,7.489999771118164,7.489999771118164,7.489999771118164,7.489999771118164,5.6703925132751465,0,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-02-22,7.489999771118164,7.466666221618652,7.433332920074463,7.466666221618652,5.652728080749512,81000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.004484300905475325
1996-02-23,7.466666221618652,8.0,7.4033331871032715,7.866665840148926,5.9555535316467285,1713000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.08059434822359907
1996-02-26,7.75,7.966666221618652,7.739999771118164,7.866665840148926,5.9555535316467285,40500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.029285071990091643
1996-02-27,7.866665840148926,8.133333206176758,7.800000190734863,8.0600004196167,6.101918697357178,130500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.04273500093472307
1996-02-28,8.0600004196167,7.983333110809326,7.686666011810303,7.686666011810303,5.819280624389648,67500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.03859502917691551
1996-02-29,7.686666011810303,7.539999961853027,7.066666126251221,7.3333330154418945,5.55178689956665,22500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0669812082735122
1996-03-01,7.3333330154418945,7.666666030883789,7.266665935516357,7.666666030883789,5.804140567779541,51000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.05504589022214467
1996-03-04,7.666666030883789,8.066665649414062,7.663332939147949,7.949999809265137,6.018640041351318,15033000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0526315003496322
1996-03-05,7.949999809265137,7.949999809265137,7.949999809265137,7.949999809265137,6.018640041351318,0,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-03-06,7.949999809265137,7.816666126251221,7.733333110809326,7.78000020980835,5.889941215515137,45000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0107758212723845
1996-03-07,7.78000020980835,7.866665840148926,7.466666221618652,7.683332920074463,5.816756725311279,45000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.05357138067483617
1996-03-08,7.683332920074463,7.666666030883789,7.5,7.666666030883789,5.804140567779541,18000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.022222137451171874
1996-03-11,7.599999904632568,7.599999904632568,7.533332824707031,7.533332824707031,5.703197956085205,12000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.008849612976993323
1996-03-12,7.533332824707031,7.596665859222412,7.199999809265137,7.340000152587891,5.5568342208862305,100500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.055092508397963535
1996-03-13,7.340000152587891,7.46999979019165,7.460000038146973,7.46999979019165,5.655250549316406,10500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0013404493288932508
1996-03-14,7.46999979019165,7.566666126251221,7.466666221618652,7.533332824707031,5.703197956085205,10500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.013392845168709042
1996-03-15,7.533332824707031,7.599999904632568,7.566666126251221,7.596665859222412,5.751145839691162,67500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.004405345475162695
1996-03-18,7.596665859222412,7.343332767486572,7.343332767486572,7.343332767486572,5.559357166290283,1500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-03-19,7.343332767486572,7.400000095367432,7.216666221618652,7.400000095367432,5.60225772857666,36000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.02540423349490295
1996-03-20,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,5.60225772857666,0,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-03-21,7.400000095367432,7.3333330154418945,7.3333330154418945,7.3333330154418945,5.55178689956665,1500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-03-22,7.3333330154418945,7.72666597366333,7.3333330154418945,7.72333288192749,5.847040176391602,40500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.05363631480981284
1996-03-25,7.72333288192749,7.699999809265137,7.586666107177734,7.666666030883789,5.804140567779541,69000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.014938538283657625
1996-03-26,7.666666030883789,7.866665840148926,7.670000076293945,7.866665840148926,5.9555535316467285,88500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.025640907679104884
1996-03-27,7.866665840148926,8.0,7.843332767486572,7.909999847412109,5.988358974456787,247500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.01997457422218137
1996-03-28,7.909999847412109,8.666666030883789,8.063332557678223,8.4399995803833,6.38960075378418,1524000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.07482433210956288
1996-03-29,8.4399995803833,8.403332710266113,8.033332824707031,8.043333053588867,6.089301109313965,397500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.04605807995669289
1996-04-01,8.043333053588867,8.333333015441895,8.199999809265137,8.25333309173584,6.248282432556152,3781500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.01626014747294327
1996-04-02,8.263333320617676,9.063332557678223,8.100000381469727,8.770000457763672,6.639433860778809,666000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.11892989269633858
1996-04-03,9.466666221618652,9.666666030883789,9.233332633972168,9.35666561126709,7.0835747718811035,547500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.046931418382703885
1996-04-04,9.800000190734863,9.800000190734863,9.166666030883789,9.366665840148926,7.091145038604736,2467500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.06909100404850381
1996-04-05,9.366665840148926,9.366665840148926,9.366665840148926,9.366665840148926,7.091145038604736,0,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.0
1996-04-08,10.133333206176758,10.326665878295898,9.983332633972168,10.1899995803833,7.7144598960876465,354000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.03439064457848531
1996-04-09,10.1899995803833,10.523332595825195,9.800000190734863,10.133333206176758,7.671560287475586,697500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.07380942765431642
1996-04-10,10.133333206176758,10.25333309173584,9.953332901000977,10.050000190734863,7.6084699630737305,106500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.03014067686861887
1996-04-11,10.050000190734863,10.199999809265137,10.0,10.15999984741211,7.691748142242432,142500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.019999980926513672
1996-04-12,10.15999984741211,10.366665840148926,10.166666030883789,10.223333358764648,7.739696979522705,111000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.019672113616950464
1996-04-15,10.223333358764648,10.430000305175781,10.266666412353516,10.266666412353516,7.772500514984131,66000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.01590914579884779
1996-04-16,10.266666412353516,10.513333320617676,10.229999542236328,10.406665802001953,7.878487586975098,315000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.027696362762437574
1996-04-17,10.406665802001953,10.666666030883789,10.333333015441895,10.399999618530273,7.873444080352783,42000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.03225803474481751
1996-04-18,10.399999618530273,10.800000190734863,10.533332824707031,10.600000381469727,8.024857521057129,76500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.025316523313716612
1996-04-19,11.399999618530273,11.399999618530273,10.550000190734863,10.59333324432373,8.019808769226074,105000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.08056866468513335
1996-04-22,10.59333324432373,10.989999771118164,10.133333206176758,10.533332824707031,7.974381923675537,91500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.08453946470636399
1996-04-23,10.533332824707031,10.883333206176758,10.336666107177734,10.84000015258789,8.206550598144531,150000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.05288621044065845
1996-04-24,10.84000015258789,11.533332824707031,10.933333396911621,11.496665954589844,8.70368766784668,276000,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.05487799612558181
1996-04-25,11.496665954589844,11.800000190734863,11.233332633972168,11.25,8.516942024230957,193500,BHEL,Industrials,Specialty Industrial Machinery,N/A,EQUITY,0.0013,36.24,1.364,0.81,0.05044518623520174
