Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,25.0,25.899999618530273,24.600000381469727,25.25,19.105430603027344,209432,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.05284549662201584
2002-07-02,25.5,25.899999618530273,24.25,24.649999618530273,18.65143585205078,83305,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.06804122138269168
2002-07-03,25.0,25.25,24.100000381469727,24.200000762939453,18.310949325561523,49524,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.047717825739724794
2002-07-04,24.0,24.649999618530273,23.450000762939453,23.549999237060547,17.819120407104492,56781,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.05117265742213992
2002-07-05,24.0,24.350000381469727,23.600000381469727,23.950000762939453,18.121780395507812,58375,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.031779660503263626
2002-07-08,24.5,28.75,24.5,27.600000381469727,20.883556365966797,788928,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.17346938775510204
2002-07-09,27.100000381469727,30.0,27.0,27.850000381469727,21.072717666625977,558852,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.1111111111111111
2002-07-10,28.0,28.799999237060547,26.75,27.100000381469727,20.505231857299805,192693,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.07663548549759054
2002-07-11,27.100000381469727,27.100000381469727,25.200000762939453,25.700000762939453,19.445920944213867,78750,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.07539680797647119
2002-07-12,25.549999237060547,26.450000762939453,25.100000381469727,25.549999237060547,19.332422256469727,54538,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.05378487493834363
2002-07-15,25.799999237060547,25.950000762939453,23.649999618530273,23.950000762939453,18.121780395507812,94591,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.0972516355817224
2002-07-16,24.100000381469727,24.100000381469727,23.299999237060547,23.549999237060547,17.819120407104492,51919,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.03433481418903708
2002-07-17,23.5,23.5,21.75,22.450000762939453,16.986806869506836,49939,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.08045977011494253
2002-07-18,23.0,23.799999237060547,22.5,23.100000381469727,17.478628158569336,66204,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.05777774386935764
2002-07-19,23.200000762939453,23.700000762939453,22.5,22.649999618530273,17.138134002685547,55065,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.05333336724175347
2002-07-22,22.75,22.75,21.299999237060547,21.350000381469727,16.154491424560547,31171,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.06807515562801292
2002-07-23,21.450000762939453,22.649999618530273,20.799999237060547,21.200000762939453,16.04099464416504,114753,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.0889423292945836
2002-07-24,21.399999618530273,21.399999618530273,20.850000381469727,20.950000762939453,15.851832389831543,40457,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.026378859808048463
2002-07-25,23.0,23.0,21.0,21.0,15.889660835266113,61001,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.09523809523809523
2002-07-26,20.799999237060547,21.0,20.0,20.049999237060547,15.170841217041016,50037,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.05
2002-07-29,19.399999618530273,19.399999618530273,18.600000381469727,19.049999237060547,14.414194107055664,47749,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.043010710787809825
2002-07-30,20.0,20.200000762939453,18.75,19.0,14.376361846923828,33881,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.0773333740234375
2002-07-31,18.200000762939453,19.0,17.75,18.450000762939453,13.96020221710205,58266,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.07042253521126761
2002-08-01,18.5,19.100000381469727,17.600000381469727,17.799999237060547,13.468377113342285,54728,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.08522727088002138
2002-08-02,17.75,17.950000762939453,17.5,17.700000762939453,13.392715454101562,14050,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.025714329310825894
2002-08-05,18.0,18.25,17.799999237060547,17.950000762939453,13.581877708435059,22806,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.025280942821757406
2002-08-06,18.0,18.799999237060547,18.0,18.600000381469727,14.073699951171875,15010,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.04444440205891927
2002-08-07,19.0,19.899999618530273,18.850000381469727,19.049999237060547,14.414194107055664,49892,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.05570287617037591
2002-08-08,19.0,19.0,18.5,18.549999237060547,14.035869598388672,7567,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.02702702702702703
2002-08-09,18.049999237060547,19.149999618530273,18.049999237060547,18.399999618530273,13.922370910644531,37372,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.06094185196480165
2002-08-12,18.75,19.350000381469727,18.649999618530273,19.200000762939453,14.527693748474121,14012,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.037533553740341424
2002-08-13,19.450000762939453,19.450000762939453,18.899999618530273,19.0,14.376361846923828,7543,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.02910059023863354
2002-08-14,19.350000381469727,19.350000381469727,18.450000762939453,18.5,13.998037338256836,19865,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.048780465111855395
2002-08-15,18.5,18.5,18.5,18.5,13.998037338256836,0,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.0
2002-08-16,19.25,19.25,18.5,18.600000381469727,14.073699951171875,11685,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.04054054054054054
2002-08-19,18.850000381469727,18.850000381469727,18.25,18.450000762939453,13.96020221710205,3803,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.0328767332312179
2002-08-20,18.549999237060547,18.549999237060547,18.100000381469727,18.299999237060547,13.846705436706543,16950,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.024861814702032633
2002-08-21,18.0,18.75,18.0,18.25,13.808873176574707,6100,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.041666666666666664
2002-08-22,18.299999237060547,18.600000381469727,18.100000381469727,18.100000381469727,13.69537353515625,41049,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.027624308810064224
2002-08-23,18.100000381469727,18.399999618530273,18.100000381469727,18.350000381469727,13.884535789489746,36021,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.01657454313468842
2002-08-26,18.299999237060547,18.600000381469727,18.200000762939453,18.450000762939453,13.96020221710205,19660,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.021978000096834618
2002-08-27,18.299999237060547,18.399999618530273,17.899999618530273,18.0,13.619710922241211,31251,BIRLACORPN,Basic Materials,Building Materials,N/A,EQUITY,0.0015,58.489,1.184,54.59,0.027932961489138503
