Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2020-07-22,217.0,217.0,206.14999389648438,206.14999389648438,205.18215942382812,43238,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.052631610112798835
2020-07-23,195.85000610351562,195.85000610351562,195.85000610351562,195.85000610351562,194.93052673339844,2587,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.0
2020-07-24,186.10000610351562,186.10000610351562,186.10000610351562,186.10000610351562,185.22630310058594,2077,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.0
2020-07-27,176.8000030517578,176.8000030517578,176.8000030517578,176.8000030517578,175.96995544433594,1969,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.0
2020-07-28,168.0,168.0,168.0,168.0,167.21127319335938,891,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.0
2020-07-29,159.60000610351562,159.60000610351562,159.60000610351562,159.60000610351562,158.8507080078125,3086,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.0
2020-07-30,151.64999389648438,164.0,151.64999389648438,151.64999389648438,150.93801879882812,240504,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.08143756413169186
2020-07-31,148.3000030517578,159.0,144.10000610351562,144.39999389648438,143.72206115722656,173098,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.10340036964176685
2020-08-03,140.0,144.0,137.1999969482422,137.35000610351562,136.70516967773438,57848,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.04956270556130602
2020-08-04,131.0,144.1999969482422,131.0,144.1999969482422,143.52301025390625,65631,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.1007633354827648
2020-08-05,151.39999389648438,151.39999389648438,148.0,151.39999389648438,150.68919372558594,72921,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.022972931733002532
2020-08-06,157.5,158.9499969482422,151.39999389648438,158.9499969482422,158.20375061035156,111118,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.04986792177098714
2020-08-07,164.0,164.0,154.0,161.14999389648438,160.39341735839844,89081,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.06493506493506493
2020-08-10,164.89999389648438,169.0,160.0,166.5500030517578,165.76808166503906,120888,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.05625
2020-08-11,169.8000030517578,169.8000030517578,160.0,160.6999969482422,159.94554138183594,54453,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.06125001907348633
2020-08-12,159.39999389648438,160.0,154.0,156.5,155.7652587890625,51352,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.03896103896103896
2020-08-13,156.5,160.0,151.0500030517578,154.6999969482422,153.9737091064453,32003,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.05925188194253422
2020-08-14,154.6999969482422,158.89999389648438,151.5,152.35000610351562,151.63475036621094,40062,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.048844844201217
2020-08-17,144.75,150.5,144.75,144.75,144.07041931152344,101413,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.039723661485319514
2020-08-18,144.8000030517578,151.9499969482422,138.0,150.85000610351562,150.1417999267578,80687,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.10108693440755208
2020-08-19,151.0,156.5,145.10000610351562,154.39999389648438,153.67510986328125,56361,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.07856646048899212
2020-08-20,151.5,160.0,148.5,158.9499969482422,158.20375061035156,72437,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.07744107744107744
2020-08-21,162.0,166.85000610351562,157.5500030517578,166.85000610351562,166.06668090820312,165086,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.059028897947419307
2020-08-24,175.14999389648438,175.14999389648438,175.14999389648438,175.14999389648438,174.32769775390625,48782,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.0
2020-08-25,183.89999389648438,183.89999389648438,167.25,173.25,172.43661499023438,206658,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.09955153301335949
2020-08-26,175.10000610351562,175.14999389648438,168.0500030517578,173.5,172.68545532226562,85857,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.04224927530968168
2020-08-27,177.5,177.5,166.0,168.14999389648438,167.36056518554688,43360,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.06927710843373494
2020-08-28,174.0,174.0,162.0,168.3000030517578,167.50987243652344,43811,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.07407407407407407
2020-08-31,170.10000610351562,170.6999969482422,159.89999389648438,159.89999389648438,159.1492919921875,49954,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.06754223554723517
2020-09-01,159.8000030517578,161.0,152.0,154.89999389648438,154.17276000976562,23173,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.05921052631578947
2020-09-02,158.85000610351562,162.60000610351562,154.0,161.85000610351562,161.09014892578125,28457,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.05584419547737419
2020-09-03,161.85000610351562,165.89999389648438,153.8000030517578,161.75,160.99061584472656,24055,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.07867354099241852
2020-09-04,163.0,163.0,153.6999969482422,157.25,156.51173400878906,24521,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.060507503164684825
2020-09-07,153.0,160.0,153.0,154.8000030517578,154.0732421875,29355,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.0457516339869281
2020-09-08,151.0,156.5,151.0,151.75,151.03756713867188,57097,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.03642384105960265
2020-09-09,150.10000610351562,151.9499969482422,146.5,150.25,149.5446014404297,34292,BOROLTD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,28.422,1.183,5.73,0.03720134435660196
