Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2014-04-28,344.95001220703125,344.95001220703125,315.04998779296875,315.04998779296875,309.6792297363281,20,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.09490565171426363
2014-04-29,320.0,343.75,320.0,327.0,321.4255065917969,42,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.07421875
2014-04-30,327.0,327.0,327.0,327.0,321.4255065917969,15,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.0
2014-05-02,275.1499938964844,346.79998779296875,275.1499938964844,325.45001220703125,319.9019470214844,306,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.2604033999122682
2014-05-05,330.0,330.0,325.0,325.0,319.4596252441406,3704,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.015384615384615385
2014-05-06,330.0,346.0,325.0,341.25,335.4325866699219,1747,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.06461538461538462
2014-05-07,336.0,343.0,336.0,340.45001220703125,334.6462097167969,1641,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.020833333333333332
2014-05-08,322.0,339.0,320.0,335.0,329.28912353515625,910,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.059375
2014-05-09,335.0,340.0,333.0,338.6000061035156,332.8277587890625,1120,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.021021021021021023
2014-05-12,290.0,330.0,290.0,312.79998779296875,307.4675598144531,594,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.13793103448275862
2014-05-13,329.0,329.0,311.5,319.70001220703125,314.2499084472656,242,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.056179775280898875
2014-05-14,319.8999938964844,320.0,317.0,319.20001220703125,313.75848388671875,330,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.00946372239747634
2014-05-15,310.0,320.0,301.5,316.5,311.1044616699219,2280,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.06135986733001658
2014-05-16,285.1499938964844,319.8500061035156,285.1499938964844,301.70001220703125,296.55682373046875,1615,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.12169038383226516
2014-05-19,310.0,315.0,310.0,315.0,309.63006591796875,98,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.016129032258064516
2014-05-20,320.0,340.0,313.8999938964844,320.3500061035156,314.88885498046875,757,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.08314752026444032
2014-05-21,330.0,330.0,311.0,324.45001220703125,318.9189758300781,1060,BUTTERFLY,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,,1.278,1.577,4.12,0.06109324758842444
