Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-11-23,62.599998474121094,67.0,52.0,54.29999923706055,47.7662239074707,11385300,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.28846153846153844
2007-11-26,57.0,57.0,52.20000076293945,53.0,46.62264633178711,806942,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.09195400702883538
2007-11-27,52.0,52.849998474121094,48.349998474121094,49.0,43.10395812988281,476815,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.09307135764251544
2007-11-28,49.79999923706055,50.0,46.099998474121094,46.400001525878906,40.81680679321289,338446,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.08459873438104838
2007-11-29,47.900001525878906,48.400001525878906,46.25,46.349998474121094,40.772823333740234,150107,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.046486519478462836
2007-11-30,46.75,48.400001525878906,45.04999923706055,46.70000076293945,41.080711364746094,169500,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.07436187226530445
2007-12-03,47.400001525878906,47.79999923706055,45.25,46.70000076293945,41.080711364746094,128767,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.056353574299680596
2007-12-04,47.099998474121094,49.900001525878906,46.650001525878906,49.400001525878906,43.45582962036133,324892,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.06966773619925982
2007-12-05,50.0,53.400001525878906,48.54999923706055,51.29999923706055,45.127201080322266,362804,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.09989706210162244
2007-12-06,52.400001525878906,53.04999923706055,50.54999923706055,51.0,44.863304138183594,159713,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.0494559849205128
2007-12-07,52.0,53.45000076293945,51.20000076293945,51.849998474121094,45.61102294921875,197253,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.04394531184516382
2007-12-10,52.5,52.5,50.5,51.099998474121094,44.95126724243164,68000,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.039603960396039604
2007-12-11,51.70000076293945,52.70000076293945,50.5,51.29999923706055,45.127201080322266,104400,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.043564371543355504
2007-12-12,50.099998474121094,55.79999923706055,50.099998474121094,54.75,48.16207504272461,331065,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.11377247378328285
2007-12-13,55.5,56.45000076293945,54.0,54.29999923706055,47.7662239074707,154000,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.045370384498878764
2007-12-14,54.0,56.0,54.0,54.099998474121094,47.59028244018555,315484,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.037037037037037035
2007-12-17,54.45000076293945,58.0,53.099998474121094,54.25,47.72223663330078,347700,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.09227875078503024
2007-12-18,54.099998474121094,54.599998474121094,52.0,52.75,46.40272903442383,69600,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.04999997065617488
2007-12-19,53.900001525878906,54.0,52.54999923706055,52.79999923706055,46.446712493896484,65056,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.027592783710581853
2007-12-20,53.099998474121094,53.150001525878906,51.5,52.150001525878906,45.87492370605469,53886,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.03203886458017294
2007-12-24,53.75,53.75,51.0,51.900001525878906,45.655006408691406,33637,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.05392156862745098
2007-12-26,51.29999923706055,52.400001525878906,51.29999923706055,51.900001525878906,45.655006408691406,49619,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.021442540061943842
2007-12-27,52.099998474121094,52.650001525878906,51.650001525878906,52.25,45.962894439697266,39690,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.019361083648738255
2007-12-28,51.54999923706055,54.0,51.5,52.400001525878906,46.094844818115234,71100,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.04854368932038835
2007-12-31,53.79999923706055,62.900001525878906,52.54999923706055,62.900001525878906,55.33140563964844,518166,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.196955327099588
2008-01-01,60.099998474121094,67.80000305175781,58.099998474121094,62.25,54.75961685180664,720460,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.16695361157293825
2008-01-02,63.0,63.95000076293945,60.5,63.04999923706055,55.463356018066406,346828,BVCL,Basic Materials,Building Materials,N/A,EQUITY,,40.48,1.193,3.27,0.05702480599899923
