Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2015-01-20,83.44999694824219,87.80000305175781,81.0,86.30000305175781,85.52767944335938,209065,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.08395065495997299
2015-01-21,87.19999694824219,99.9000015258789,87.19999694824219,96.5,95.63639068603516,635079,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.1456422594277709
2015-01-22,97.5,97.80000305175781,91.0,94.75,93.90205383300781,199938,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.07472530826107486
2015-01-23,95.0,95.0,90.4000015258789,91.1500015258789,90.33427429199219,57503,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.05088493801412434
2015-01-27,94.94999694824219,94.94999694824219,89.5,90.69999694824219,89.88829040527344,59752,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.0608938206507507
2015-01-28,92.5,95.0,89.19999694824219,90.05000305175781,89.2441177368164,109831,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.06502245796177811
2015-01-29,90.69999694824219,93.9000015258789,90.0,90.5,89.69009399414062,38106,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.043333350287543405
2015-01-30,90.5999984741211,92.0,90.0,90.1500015258789,89.34322357177734,22531,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.022222222222222223
2015-02-02,90.0,95.0,89.6500015258789,93.5999984741211,92.76234436035156,48790,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.05967650176310071
2015-02-03,91.0,95.25,91.0,93.5999984741211,92.76234436035156,19723,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.046703296703296704
2015-02-04,94.94999694824219,104.80000305175781,92.80000305175781,101.1500015258789,100.24478149414062,233064,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.12931034057517413
2015-02-05,102.69999694824219,103.0,95.3499984741211,96.94999694824219,96.08235931396484,89709,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.08023074618040178
2015-02-06,96.1500015258789,103.05000305175781,90.4000015258789,98.80000305175781,97.91580963134766,183092,CAMLINFINE,Basic Materials,Specialty Chemicals,N/A,EQUITY,,79.705,1.367,-5.58,0.13993364283580875
