Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2017-01-16,475.0,480.0,450.0,455.3999938964844,451.63104248046875,3733,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.06666666666666667
2017-01-17,460.0,460.0,444.3999938964844,454.45001220703125,450.6889343261719,1828,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.03510352456744045
2017-01-18,412.1000061035156,474.0,412.1000061035156,447.29998779296875,443.59808349609375,1863,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.15020624358092263
2017-01-19,450.0,459.8999938964844,431.1000061035156,442.04998779296875,438.39154052734375,1068,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.06680581624963676
2017-01-20,438.0,444.8999938964844,422.29998779296875,430.3500061035156,426.7884216308594,1500,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.053516473494655194
2017-01-23,434.1000061035156,448.04998779296875,423.0,442.95001220703125,439.28411865234375,1778,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.05921982929779846
2017-01-24,442.95001220703125,449.0,442.0,444.54998779296875,440.8708801269531,416,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.01583710407239819
2017-01-25,446.0,511.0,446.0,494.1000061035156,490.0107727050781,8082,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.14573991031390135
2017-01-27,500.0,510.0,485.0,493.95001220703125,489.8620300292969,2786,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.05154639175257732
2017-01-30,474.20001220703125,500.0,459.95001220703125,477.29998779296875,473.3498229980469,2166,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.08707465317979289
2017-01-31,475.0,493.95001220703125,463.0,469.3500061035156,465.46563720703125,2316,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.06684667863289687
2017-02-01,470.0,484.0,462.5,476.29998779296875,472.35809326171875,1371,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.046486486486486484
2017-02-02,475.3500061035156,500.0,468.04998779296875,485.5,481.4819641113281,1499,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.06826196568808289
2017-02-03,473.54998779296875,495.0,473.5,493.0,488.9198913574219,2690,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.0454065469904963
2017-02-06,489.95001220703125,537.4000244140625,489.95001220703125,499.70001220703125,495.564453125,6130,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.09684663950366629
2017-02-07,510.0,510.0,490.0,493.25,489.16778564453125,1060,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.04081632653061224
2017-02-08,509.0,509.0,480.0,487.29998779296875,483.2670593261719,2792,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.06041666666666667
2017-02-09,498.45001220703125,500.0,468.8999938964844,493.54998779296875,489.46533203125,4060,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.0663254564050631
2017-02-10,499.0,499.0,470.0,471.45001220703125,467.5482482910156,2348,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.06170212765957447
2017-02-13,480.0,480.0,455.0,461.3999938964844,457.5814208984375,1693,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.054945054945054944
2017-02-14,461.1000061035156,474.79998779296875,461.1000061035156,469.0,465.1185302734375,998,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.029711519210818483
2017-02-15,460.0,479.95001220703125,442.0,456.1000061035156,452.3252868652344,1209,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.0858597561245051
2017-02-16,470.95001220703125,483.5,461.04998779296875,480.5,476.5233154296875,2251,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.04869322806947404
2017-02-17,489.95001220703125,501.0,477.29998779296875,485.3500061035156,481.33319091796875,5522,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.049654332313352686
2017-02-20,488.0,503.0,488.0,499.95001220703125,495.8123779296875,9374,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.030737704918032786
2017-02-21,500.0,505.0,491.04998779296875,499.70001220703125,495.564453125,6627,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.0284085379366972
2017-02-22,502.0,502.0,482.04998779296875,483.5,479.4985046386719,1053,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.041385774737534894
2017-02-23,480.29998779296875,487.95001220703125,469.0,483.3999938964844,479.39935302734375,1482,CAPTRUST,Financial Services,Credit Services,N/A,EQUITY,,104.413,1.469,1.32,0.040405143298574094
