Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,1.1069999933242798,1.1399999856948853,1.100000023841858,1.121000051498413,0.3428245186805725,31860,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.03636360089641049
2002-07-02,1.1100000143051147,1.1399999856948853,1.1100000143051147,1.1399999856948853,0.3486350476741791,107120,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.027027000903735277
2002-07-03,1.159999966621399,1.1699999570846558,1.1449999809265137,1.1640000343322754,0.35597464442253113,37960,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.021834040676500757
2002-07-04,1.1729999780654907,1.2000000476837158,1.1699999570846558,1.1829999685287476,0.3617854118347168,74920,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0256411040166298
2002-07-05,1.2000000476837158,1.2100000381469727,1.190000057220459,1.1990000009536743,0.36667847633361816,70160,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.016806705852795166
2002-07-08,1.2200000286102295,1.2999999523162842,1.2200000286102295,1.284000039100647,0.3926732540130615,174480,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.06557370641801304
2002-07-09,1.2630000114440918,1.2799999713897705,1.2450000047683716,1.2510000467300415,0.3825812041759491,48960,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.028112422881404375
2002-07-10,1.2280000448226929,1.2450000047683716,1.2000000476837158,1.2089999914169312,0.3697366416454315,89760,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0374999627470985
2002-07-11,1.2170000076293945,1.2389999628067017,1.2109999656677246,1.2200000286102295,0.3731006383895874,14240,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.023121385576207125
2002-07-12,1.218999981880188,1.2289999723434448,1.2050000429153442,1.2170000076293945,0.372183233499527,35160,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.01991695317291094
2002-07-15,1.2000000476837158,1.2000000476837158,1.1619999408721924,1.187000036239624,0.36300867795944214,35320,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.03270233110597296
2002-07-16,1.149999976158142,1.159999966621399,1.090999960899353,1.128999948501587,0.5047251582145691,64160,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.06324473711728326
2002-07-17,1.1109999418258667,1.1380000114440918,1.100000023841858,1.1330000162124634,0.5065133571624756,62920,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.034545442526005776
2002-07-18,1.100000023841858,1.1950000524520874,1.090000033378601,1.187000036239624,0.53065425157547,57120,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.09633028977808808
2002-07-19,1.121000051498413,1.190000057220459,1.121000051498413,1.1799999475479126,0.5275248289108276,55280,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.06155218782533979
2002-07-22,1.190000057220459,1.2200000286102295,1.125,1.1460000276565552,0.5123250484466553,45320,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.08444446987575954
2002-07-23,1.149999976158142,1.1790000200271606,1.13100004196167,1.156999945640564,0.5172426700592041,6700,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.04244029733388592
2002-07-24,1.1649999618530273,1.1699999570846558,1.1399999856948853,1.1490000486373901,0.5136662125587463,19600,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.026315764707211
2002-07-25,1.1799999475479126,1.1799999475479126,1.100000023841858,1.1019999980926514,0.4926545023918152,33860,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.07272720179282098
2002-07-26,1.1009999513626099,1.1089999675750732,1.059999942779541,1.0859999656677246,0.4855017364025116,59840,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.04622644098172679
2002-07-29,1.0399999618530273,1.0449999570846558,0.9959999918937683,1.0140000581741333,0.45331379771232605,33940,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.04919675260008808
2002-07-30,1.059000015258789,1.059000015258789,0.9700000286102295,0.9850000143051147,0.44034919142723083,15560,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.09175256084896675
2002-07-31,0.9700000286102295,1.0169999599456787,0.9700000286102295,1.0169999599456787,0.4546549916267395,11880,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.04845353603008498
2002-08-01,1.0490000247955322,1.100000023841858,1.0099999904632568,1.0199999809265137,0.45599615573883057,26840,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.08910894478060415
2002-08-02,1.0199999809265137,1.0399999618530273,1.0099999904632568,1.0110000371932983,0.4519726634025574,14000,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.029702942250534495
2002-08-05,1.00600004196167,1.0490000247955322,1.003000020980835,1.0429999828338623,0.46627840399742126,96380,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.04586241560564855
2002-08-06,1.0470000505447388,1.0479999780654907,1.0269999504089355,1.0429999828338623,0.46627840399742126,8960,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.020447934440691345
2002-08-07,1.0299999713897705,1.0700000524520874,1.0210000276565552,1.0399999618530273,0.4649370014667511,56080,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.04799218753010151
2002-08-08,1.0640000104904175,1.0640000104904175,1.031000018119812,1.031999945640564,0.4613608121871948,14120,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0320077514943075
2002-08-09,1.031000018119812,1.0440000295639038,1.024999976158142,1.0399999618530273,0.4649370014667511,4700,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.018536637900204492
2002-08-12,1.0399999618530273,1.0700000524520874,1.0399999618530273,1.065999984741211,0.47656065225601196,23880,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.028846242018708522
2002-08-13,1.0520000457763672,1.0549999475479126,1.0399999618530273,1.0499999523162842,0.4694077968597412,9080,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.014423063697193721
2002-08-14,1.0399999618530273,1.059999942779541,1.0399999618530273,1.0499999523162842,0.4694077968597412,12480,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.019230751596258297
2002-08-15,1.0499999523162842,1.0499999523162842,1.0499999523162842,1.0499999523162842,0.4694077968597412,0,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0
2002-08-16,1.0509999990463257,1.065000057220459,1.0509999990463257,1.065000057220459,0.476113498210907,3920,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.01332070236616262
2002-08-19,1.0390000343322754,1.0549999475479126,1.0390000343322754,1.0499999523162842,0.4694077968597412,3160,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.015399338485989294
2002-08-20,1.0499999523162842,1.0700000524520874,1.0329999923706055,1.065000057220459,0.476113498210907,8280,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.03581806423499717
2002-08-21,1.055999994277954,1.065000057220459,1.0410000085830688,1.0520000457763672,0.47030189633369446,2000,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.02305480157493678
2002-08-22,1.090000033378601,1.090000033378601,1.0460000038146973,1.0460000038146973,0.46761947870254517,6800,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.04206503767059123
2002-08-23,1.0549999475479126,1.059999942779541,1.0499999523162842,1.059999942779541,0.47387826442718506,10000,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.009523800873701953
2002-08-26,1.0509999990463257,1.100000023841858,1.0499999523162842,1.090000033378601,0.48729002475738525,34000,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.04761911790117163
2002-08-27,1.0800000429153442,1.100000023841858,1.0509999990463257,1.0750000476837158,0.48058414459228516,19560,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.04662228814461913
2002-08-28,1.1469999551773071,1.1469999551773071,1.0729999542236328,1.0789999961853027,0.48237237334251404,7040,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.06896552107238148
2002-08-29,1.1970000267028809,1.1970000267028809,1.062000036239624,1.062999963760376,0.47521939873695374,6080,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.12711863075002397
2002-08-30,1.0700000524520874,1.0889999866485596,1.0509999990463257,1.0759999752044678,0.4810311794281006,16000,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0361560301015366
2002-09-02,1.0700000524520874,1.100000023841858,1.0700000524520874,1.0700000524520874,0.47834888100624084,5500,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0280373550646287
2002-09-03,1.0499999523162842,1.0950000286102295,1.0499999523162842,1.0850000381469727,0.4850546717643738,23960,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.04285721746432066
2002-09-04,1.0889999866485596,1.0989999771118164,1.069000005722046,1.0920000076293945,0.4881841242313385,8000,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.02806358393750177
2002-09-05,1.090000033378601,1.090000033378601,1.0770000219345093,1.0779999494552612,0.48192524909973145,2740,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.012070576768179776
2002-09-06,1.0800000429153442,1.0920000076293945,1.055999994277954,1.065000057220459,0.476113498210907,9320,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.034090921919043796
2002-09-09,1.0640000104904175,1.0989999771118164,1.0640000104904175,1.0950000286102295,0.48952516913414,5620,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.032894705146917044
2002-09-10,1.0950000286102295,1.0950000286102295,1.0950000286102295,1.0950000286102295,0.48952516913414,0,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0
2002-09-11,1.0800000429153442,1.0800000429153442,1.0700000524520874,1.0729999542236328,0.47968992590904236,4760,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0093457850215429
2002-09-12,1.1239999532699585,1.1239999532699585,1.0509999990463257,1.090000033378601,0.48729002475738525,3040,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0694576158799931
2002-09-13,1.065999984741211,1.065999984741211,1.065999984741211,1.065999984741211,0.47656065225601196,800,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0
2002-09-16,1.0499999523162842,1.100000023841858,1.0429999828338623,1.0920000076293945,0.4881841242313385,15060,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.05465008815544251
2002-09-17,1.0609999895095825,1.0839999914169312,1.0609999895095825,1.0709999799728394,0.4787957966327667,2540,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.02167766459449235
2002-09-18,1.0750000476837158,1.100000023841858,1.0540000200271606,1.0959999561309814,0.4899721145629883,24520,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.043643266547102995
2002-09-19,1.0880000591278076,1.100000023841858,1.069000005722046,1.093000054359436,0.48863112926483154,14500,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.028999081341326415
2002-09-20,1.0609999895095825,1.100000023841858,1.059999942779541,1.0829999446868896,0.48416057229042053,44080,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.037735927567532065
2002-09-23,1.0720000267028809,1.1089999675750732,1.0720000267028809,1.100000023841858,0.4917605221271515,93960,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.03451486935685256
2002-09-24,1.0809999704360962,1.0809999704360962,1.065000057220459,1.0800000429153442,0.4828193485736847,3960,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.015023391883560402
2002-09-25,1.065999984741211,1.0700000524520874,1.065000057220459,1.0700000524520874,0.47834888100624084,2240,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.004694830951162475
2002-09-26,1.0700000524520874,1.0700000524520874,1.0700000524520874,1.0700000524520874,0.47834888100624084,0,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0
2002-09-27,1.0700000524520874,1.0839999914169312,1.062000036239624,1.0759999752044678,0.4810311794281006,74160,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.020715587972299443
2002-09-30,1.0800000429153442,1.0800000429153442,1.0729999542236328,1.0779999494552612,0.48192524909973145,4140,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.006523848080474829
2002-10-01,1.0670000314712524,1.0789999961853027,1.0410000085830688,1.0410000085830688,0.4653843343257904,2680,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.036503349941328644
2002-10-02,1.0410000085830688,1.0410000085830688,1.0410000085830688,1.0410000085830688,0.4653843343257904,0,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0
2002-10-03,1.0429999828338623,1.062999963760376,1.0399999618530273,1.0429999828338623,0.46627840399742126,1640,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.022115387260561257
2002-10-04,1.0499999523162842,1.0499999523162842,1.0329999923706055,1.0449999570846558,0.46717244386672974,3840,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.016456882934399578
2002-10-07,1.0490000247955322,1.0579999685287476,1.034999966621399,1.034999966621399,0.4627019762992859,2000,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.022222224781734693
2002-10-08,1.0269999504089355,1.0540000200271606,1.0260000228881836,1.0529999732971191,0.4707489311695099,2940,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.027290444945758614
2002-10-09,1.0670000314712524,1.0679999589920044,1.0670000314712524,1.0679999589920044,0.4774547219276428,640,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0009371391670656138
2002-10-10,1.059999942779541,1.059999942779541,1.0410000085830688,1.0449999570846558,0.46717244386672974,6200,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.018251617713561263
2002-10-11,1.0460000038146973,1.0670000314712524,1.0299999713897705,1.0499999523162842,0.4694077968597412,7660,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.03592238942643664
2002-10-14,1.0,1.0,1.0,1.0,0.44705504179000854,200,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0
2002-10-15,1.0,1.0,1.0,1.0,0.44705504179000854,0,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0
2002-10-16,1.0829999446868896,1.0829999446868896,1.0509999990463257,1.0509999990463257,0.46985480189323425,1200,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.030447141455376425
2002-10-17,1.0770000219345093,1.0989999771118164,1.0609999895095825,1.0609999895095825,0.47432538866996765,10880,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.03581525728364834
2002-10-18,1.065000057220459,1.065000057220459,1.0290000438690186,1.0379999876022339,0.4640430510044098,5880,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.03498543422416304
2002-10-21,1.0499999523162842,1.065000057220459,1.0499999523162842,1.062000036239624,0.4747724235057831,9600,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0142858148432148
2002-10-22,1.0529999732971191,1.065000057220459,1.0529999732971191,1.055999994277954,0.472089946269989,9160,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0113960913842814
2002-10-23,1.0420000553131104,1.0700000524520874,1.0420000553131104,1.0700000524520874,0.47834888100624084,520,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.026871396979497603
2002-10-24,1.0230000019073486,1.0549999475479126,1.0230000019073486,1.0449999570846558,0.46717244386672974,3360,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.031280494213979625
2002-10-25,1.0670000314712524,1.0670000314712524,1.0379999876022339,1.059999942779541,0.47387826442718506,1040,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.027938385563961585
2002-10-28,1.0399999618530273,1.0499999523162842,1.0149999856948853,1.0190000534057617,0.4555490016937256,19640,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.03448272622135791
2002-10-29,1.0290000438690186,1.0290000438690186,1.027999997138977,1.0290000438690186,0.46001961827278137,7240,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0009728081058606325
2002-10-30,1.0299999713897705,1.0299999713897705,0.9900000095367432,1.0110000371932983,0.4519726634025574,7200,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.04040400148253006
2002-10-31,1.0199999809265137,1.0269999504089355,1.0149999856948853,1.0230000019073486,0.45733729004859924,5080,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.011822625500664341
2002-11-01,1.0390000343322754,1.0390000343322754,1.0130000114440918,1.0329999923706055,0.4618077278137207,4560,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.025666359915553223
2002-11-04,1.0479999780654907,1.0479999780654907,1.0199999809265137,1.0360000133514404,0.46314895153045654,1620,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.02745097810055187
2002-11-05,1.034999966621399,1.034999966621399,1.034999966621399,1.034999966621399,0.4627019762992859,240,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0
2002-11-06,1.034999966621399,1.034999966621399,1.034999966621399,1.034999966621399,0.4627019762992859,0,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0
2002-11-07,1.0379999876022339,1.0379999876022339,1.0180000066757202,1.0219999551773071,0.4568902552127838,15720,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.01964634655732825
2002-11-08,1.0199999809265137,1.027999997138977,1.0149999856948853,1.0199999809265137,0.45599615573883057,8860,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.012807893228877024
2002-11-11,1.0110000371932983,1.0110000371932983,0.9950000047683716,0.9950000047683716,0.44481968879699707,9180,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.01608043452085354
2002-11-12,1.003999948501587,1.0049999952316284,0.9909999966621399,0.9929999709129333,0.44392555952072144,7000,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.014127142902767863
2002-11-13,0.9980000257492065,0.9980000257492065,0.9929999709129333,0.9929999709129333,0.44392555952072144,1040,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.005035302097417282
2002-11-14,1.0,1.0099999904632568,0.9929999709129333,1.0,0.44705504179000854,13400,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.01711985906172202
2002-11-15,1.0,1.0049999952316284,1.0,1.0019999742507935,0.447949081659317,22360,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.004999995231628418
2002-11-18,1.0110000371932983,1.0160000324249268,0.996999979019165,1.0019999742507935,0.447949081659317,18000,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.019057225482044353
2002-11-19,1.0019999742507935,1.0019999742507935,1.0019999742507935,1.0019999742507935,0.447949081659317,0,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0
2002-11-20,1.0049999952316284,1.0499999523162842,0.9950000047683716,1.0019999742507935,0.447949081659317,16520,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.05527632892897942
2002-11-21,1.0049999952316284,1.031999945640564,1.003000020980835,1.003000020980835,0.4483961760997772,14760,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.02891318449960743
2002-11-22,1.0010000467300415,1.0299999713897705,1.0010000467300415,1.003999948501587,0.4488430917263031,7560,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.028970952353561636
2002-11-25,1.0,1.0080000162124634,0.9980000257492065,1.0010000467300415,0.4475019574165344,50760,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.010020030265780569
2002-11-26,1.0099999904632568,1.0299999713897705,0.996999979019165,1.003999948501587,0.4488430917263031,58440,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.03309929093786984
2002-11-27,0.9929999709129333,1.0049999952316284,0.9900000095367432,1.0019999742507935,0.447949081659317,23060,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.015151500555948771
2002-11-28,1.003000020980835,1.003000020980835,1.0010000467300415,1.0010000467300415,0.4475019574165344,44800,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.0019979761812467006
2002-11-29,1.00600004196167,1.0099999904632568,0.9990000128746033,1.0010000467300415,0.4475019574165344,17720,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.011010988435326784
2002-12-02,1.0199999809265137,1.090000033378601,1.0199999809265137,1.0729999542236328,0.47968992590904236,28520,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.06862750368730701
2002-12-03,1.0329999923706055,1.055999994277954,1.0329999923706055,1.0399999618530273,0.4649370014667511,10680,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.022265248864684416
2002-12-04,1.0490000247955322,1.0490000247955322,1.0199999809265137,1.0399999618530273,0.4649370014667511,2040,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.02843141608951449
2002-12-05,1.0199999809265137,1.0470000505447388,1.0199999809265137,1.0219999551773071,0.4568902552127838,10780,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.026470656983443933
2002-12-06,1.0240000486373901,1.0399999618530273,1.0230000019073486,1.0230000019073486,0.45733729004859924,6960,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.016617751626571715
2002-12-09,1.0290000438690186,1.0399999618530273,1.0230000019073486,1.0240000486373901,0.4577842950820923,24160,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.016617751626571715
2002-12-10,1.0130000114440918,1.024999976158142,1.0130000114440918,1.024999976158142,0.45823144912719727,1580,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.011845967007387916
2002-12-11,1.0230000019073486,1.034999966621399,1.0230000019073486,1.0299999713897705,0.4604666233062744,5240,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.011730170764102413
2002-12-12,1.0399999618530273,1.0700000524520874,1.0260000228881836,1.0609999895095825,0.47432538866996765,19440,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.042885018111446044
2002-12-13,1.0679999589920044,1.069000005722046,1.0420000553131104,1.0540000200271606,0.47119587659835815,20720,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.025911659285682415
2002-12-16,1.0499999523162842,1.0499999523162842,1.0210000276565552,1.0440000295639038,0.46672531962394714,89320,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.028403451394894596
2002-12-17,1.0299999713897705,1.0449999570846558,1.0230000019073486,1.0390000343322754,0.46449020504951477,23480,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.021505332489041018
2002-12-18,1.0399999618530273,1.0499999523162842,1.0379999876022339,1.0379999876022339,0.4640430510044098,20200,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.011560659785526638
2002-12-19,1.0579999685287476,1.0700000524520874,1.0399999618530273,1.0609999895095825,0.47432538866996765,12400,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.028846242018708522
2002-12-20,1.0499999523162842,1.0499999523162842,1.0440000295639038,1.0440000295639038,0.46672531962394714,11960,CARBORUNIV,Industrials,Conglomerates,N/A,EQUITY,0.0023,5.265,3.202,24.28,0.005747052282064243
