Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2012-12-26,940.0,985.0,895.0,922.5499877929688,634.643310546875,10188263,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.1005586592178771
2012-12-27,924.7999877929688,948.0,915.5499877929688,934.5499877929688,642.8984985351562,1617271,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.03544319003843305
2012-12-28,932.5499877929688,944.7000122070312,923.3499755859375,927.0,637.70458984375,418253,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.02312236658429052
2012-12-31,935.0,935.0,912.5499877929688,914.7999877929688,629.31201171875,257787,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.0246014054104886
2013-01-01,916.25,930.9000244140625,910.0,918.9500122070312,632.1669311523438,369659,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.022967059795673078
2013-01-02,920.0999755859375,935.5,915.0,923.9500122070312,635.6065063476562,346897,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.022404371584699455
2013-01-03,925.2000122070312,957.0999755859375,924.7999877929688,934.8499755859375,643.1047973632812,678465,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.03492645784960761
2013-01-04,932.2999877929688,940.0,926.75,934.75,643.0360717773438,184140,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.014297275424871863
2013-01-07,936.9500122070312,948.0,926.5999755859375,929.25,639.25244140625,177039,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.023095213660598413
2013-01-08,933.7999877929688,934.0,917.5499877929688,920.8499755859375,633.4739379882812,102999,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.017928191843366845
2013-01-09,923.7999877929688,931.4000244140625,919.0,923.7000122070312,635.4345703125,192278,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.013492953660568553
2013-01-10,926.0,948.9000244140625,925.0,936.7000122070312,644.3776245117188,627088,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.025837864231418917
2013-01-11,939.5,955.7999877929688,935.75,938.6500244140625,645.7190551757812,306517,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.021426650059277318
2013-01-14,940.0,944.3499755859375,921.5,923.4500122070312,635.2628173828125,138506,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.02479650090714867
2013-01-15,926.0,936.0,920.0,931.0499877929688,640.4909057617188,100382,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.017391304347826087
2013-01-16,932.9500122070312,934.5999755859375,916.0,919.3499755859375,632.4420166015625,47590,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.020305650202988537
2013-01-17,920.0,932.0,920.0,925.6500244140625,636.7759399414062,58228,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.013043478260869565
2013-01-18,927.6500244140625,928.4500122070312,922.1500244140625,924.8499755859375,636.2256469726562,58792,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.006831846907960324
2013-01-21,925.0,932.0,923.0,925.0499877929688,636.3632202148438,59569,CARERATING,Financial Services,Financial Data & Stock Exchanges,N/A,EQUITY,0.0165,2.699,8.574,33.66,0.009750812567713976
