Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2021-01-14,204.0,204.0,197.0500030517578,199.0,196.77186584472656,33647,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.03527021994725206
2021-01-15,202.8000030517578,202.8000030517578,192.0500030517578,198.9499969482422,196.72244262695312,37530,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.055975005619254566
2021-01-18,198.9499969482422,198.9499969482422,189.0500030517578,191.89999389648438,189.75135803222656,42292,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.052367065520617685
2021-01-19,195.8000030517578,197.0,190.0,193.8000030517578,191.63009643554688,38339,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.03684210526315789
2021-01-20,193.75,200.8000030517578,190.5500030517578,196.0,193.80545043945312,42669,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.05379165487190185
2021-01-21,197.9499969482422,197.9499969482422,191.5,192.1999969482422,190.04800415039062,31290,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.033681446204920036
2021-01-22,192.1999969482422,196.64999389648438,186.3000030517578,189.6999969482422,187.5760040283203,47500,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.05555550550286965
2021-01-25,190.0,196.89999389648438,181.25,183.35000610351562,181.29710388183594,65281,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.08634479391163793
2021-01-27,184.9499969482422,192.5,183.0,185.10000610351562,183.02749633789062,47263,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.05191256830601093
2021-01-28,189.60000610351562,192.0,182.10000610351562,187.9499969482422,185.8455810546875,30899,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.05436569777409384
2021-01-29,190.0500030517578,193.25,184.0,186.85000610351562,184.75791931152344,15607,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.050271739130434784
2021-02-01,190.0,190.64999389648438,184.25,187.39999389648438,185.30174255371094,43205,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.0347353807136194
2021-02-02,195.25,196.6999969482422,187.6999969482422,194.25,192.07505798339844,55626,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.04794885533472719
2021-02-03,197.85000610351562,197.85000610351562,189.5500030517578,191.25,189.10865783691406,49907,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.043787934149974374
2021-02-04,194.89999389648438,199.1999969482422,190.60000610351562,198.5,196.2774658203125,83015,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.045120622084638726
2021-02-05,202.39999389648438,208.39999389648438,198.10000610351562,208.39999389648438,206.06661987304688,197877,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.05199387923080916
2021-02-08,218.8000030517578,218.8000030517578,218.8000030517578,218.8000030517578,216.35018920898438,14776,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.0
2021-02-09,229.6999969482422,229.6999969482422,229.6999969482422,229.6999969482422,227.1281280517578,16827,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.0
2021-02-10,241.14999389648438,241.14999389648438,229.6999969482422,241.14999389648438,238.44993591308594,311668,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.04984761471643463
2021-02-11,253.1999969482422,253.1999969482422,253.1999969482422,253.1999969482422,250.36500549316406,9901,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.0
2021-02-12,265.8500061035156,265.8500061035156,243.0,265.8500061035156,262.8734130859375,256314,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.09403294692804784
2021-02-15,279.1000061035156,279.1000061035156,274.04998779296875,279.1000061035156,275.97503662109375,83928,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.018427361924795688
2021-02-16,289.0,289.0,264.3999938964844,264.6000061035156,262.38946533203125,262347,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.0930408724334041
2021-02-17,256.04998779296875,277.79998779296875,254.39999389648438,277.79998779296875,275.47918701171875,120882,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.09198111029045801
2021-02-18,284.79998779296875,291.6499938964844,263.95001220703125,286.95001220703125,284.5527648925781,221215,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.10494404397953362
2021-02-19,293.0,301.25,278.79998779296875,301.25,298.7333068847656,116516,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.08052372019363996
2021-02-22,315.0,316.29998779296875,306.1499938964844,316.29998779296875,313.65753173828125,50289,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.03315366355981799
2021-02-23,328.0,332.1000061035156,300.5,301.04998779296875,298.53497314453125,370799,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.10515809019472754
2021-02-24,295.5,302.3999938964844,286.0,287.70001220703125,285.2965087890625,100032,CARYSIL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0023,87.188,1.168,21.52,0.05734263600169362
