Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2015-02-03,15.899999618530273,15.899999618530273,14.449999809265137,15.5,15.5,86232,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.1003460088861328
2015-02-04,15.5,15.550000190734863,14.399999618530273,14.5,14.5,33497,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.07986115296313903
2015-02-05,13.600000381469727,15.399999618530273,13.600000381469727,14.949999809265137,14.949999809265137,41918,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.13235288136558304
2015-02-06,15.199999809265137,15.800000190734863,14.25,14.550000190734863,14.550000190734863,38770,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.1087719432094641
2015-02-09,14.0,15.5,13.5,14.399999618530273,14.399999618530273,23419,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.14814814814814814
2015-02-10,13.600000381469727,14.949999809265137,13.550000190734863,14.0,14.0,20614,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.10332100360319971
2015-02-11,14.100000381469727,14.5,13.899999618530273,14.0,14.0,13146,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.04316549625439256
2015-02-12,14.100000381469727,14.649999618530273,13.899999618530273,14.399999618530273,14.399999618530273,44939,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.05395683601315823
2015-02-13,14.350000381469727,14.699999809265137,13.699999809265137,14.5,14.5,18907,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.07299270174614986
2015-02-16,14.5,14.550000190734863,13.100000381469727,13.949999809265137,13.949999809265137,46946,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.11068700511766374
2015-02-18,14.0,14.5,13.399999618530273,14.199999809265137,14.199999809265137,73765,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.08208958304361323
2015-02-19,14.399999618530273,16.5,13.5,15.949999809265137,15.949999809265137,410507,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.2222222222222222
2015-02-20,16.299999237060547,16.299999237060547,15.25,15.949999809265137,15.949999809265137,271154,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.06885240898757684
2015-02-23,16.0,16.149999618530273,15.300000190734863,15.75,15.75,174966,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.05555551746398929
2015-02-24,16.149999618530273,16.799999237060547,15.449999809265137,16.049999237060547,16.049999237060547,493950,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.08737860481951822
2015-02-25,16.100000381469727,16.899999618530273,15.899999618530273,16.100000381469727,16.100000381469727,615888,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.06289308326992499
2015-02-26,16.100000381469727,16.200000762939453,14.800000190734863,15.100000381469727,15.100000381469727,188248,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.09459463203797944
2015-02-27,15.100000381469727,15.399999618530273,14.600000381469727,15.199999809265137,15.199999809265137,185321,CCHHL,Consumer Cyclical,Lodging,N/A,EQUITY,,7.618,0.49,-0.3,0.05479446686014497
