Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2008-02-01,261.0,261.0,181.0,181.0,139.64027404785156,213242,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.4419889502762431
2008-02-04,156.5500030517578,199.0,156.5500030517578,192.0,148.12672424316406,185908,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.2711593492221624
2008-02-05,192.0,197.0,184.0,192.25,148.31961059570312,115340,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.07065217391304347
2008-02-06,185.0,192.0,185.0,186.5500030517578,143.92205810546875,33737,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.03783783783783784
2008-02-07,182.0,191.64999389648438,171.5,175.6999969482422,135.55136108398438,115873,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.11749267578125
2008-02-08,166.9499969482422,174.60000610351562,159.1999969482422,161.35000610351562,124.48045349121094,33306,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.09673372770402856
2008-02-11,156.35000610351562,163.9499969482422,137.0500030517578,140.0,108.00904846191406,49334,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.196278681484782
2008-02-12,133.9499969482422,149.89999389648438,133.9499969482422,143.14999389648438,110.43926239013672,24710,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.11907426137833516
2008-02-13,140.10000610351562,147.9499969482422,134.0,135.35000610351562,104.4216079711914,12039,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.10410445483762827
2008-02-14,125.0,143.0,125.0,141.4499969482422,109.12771606445312,12377,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.144
2008-02-15,136.0,149.0,136.0,146.64999389648438,113.13948822021484,10373,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.09558823529411764
2008-02-18,135.1999969482422,151.10000610351562,135.1999969482422,149.9499969482422,115.6854248046875,7720,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.11760362066694678
2008-02-19,145.0500030517578,152.5,145.0500030517578,146.14999389648438,112.75375366210938,12157,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.051361577328501155
2008-02-20,135.1999969482422,149.0,135.1999969482422,143.14999389648438,110.43926239013672,16847,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.10207103079329792
2008-02-21,140.3000030517578,146.8000030517578,140.3000030517578,145.0,111.86654663085938,13261,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.04632929336146983
2008-02-22,135.1999969482422,147.64999389648438,135.1999969482422,144.9499969482422,111.8279800415039,4330,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.09208577832297102
2008-02-25,145.0,147.5,140.0,146.60000610351562,113.1009292602539,8109,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.05357142857142857
2008-02-26,136.1999969482422,157.0,136.1999969482422,145.3000030517578,112.09797668457031,39232,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.15271661907350917
2008-02-27,146.39999389648438,149.75,136.9499969482422,143.6999969482422,110.86358642578125,13746,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.09346479253004544
2008-02-28,140.1999969482422,147.39999389648438,140.1999969482422,142.3000030517578,109.78349304199219,22235,CEATLTD,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0047999998,44.209,0.632,158.84,0.051355186198044064
