Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2023-11-06,829.0,837.4000244140625,782.0,791.7000122070312,791.7000122070312,17947726,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.07084402098984974
2023-11-07,791.2999877929688,815.5999755859375,772.0,799.1500244140625,799.1500244140625,4204640,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.056476652313390545
2023-11-08,803.8499755859375,812.7000122070312,792.0999755859375,800.6500244140625,800.6500244140625,933907,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.026006864355544706
2023-11-09,803.0,804.5999755859375,778.0,785.2000122070312,785.2000122070312,631244,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.03419019998192481
2023-11-10,785.0,798.7000122070312,781.0999755859375,789.5999755859375,789.5999755859375,1114462,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.022532373794905303
2023-11-13,794.9500122070312,795.9500122070312,782.2000122070312,785.8499755859375,785.8499755859375,373643,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.017578624118406015
2023-11-15,790.0,798.9000244140625,780.25,787.4500122070312,787.4500122070312,774158,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.02390262661206344
2023-11-16,789.9000244140625,798.0,782.9500122070312,790.8499755859375,790.8499755859375,746640,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.019222156661757816
2023-11-17,788.5499877929688,795.9000244140625,781.5,785.2000122070312,785.2000122070312,563132,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.018426134886836212
2023-11-20,785.9000244140625,798.0,783.2000122070312,786.0499877929688,786.0499877929688,609852,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.01889681762295034
2023-11-21,790.0,794.7999877929688,784.0,785.0999755859375,785.0999755859375,299524,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.013775494633888712
2023-11-22,785.1500244140625,791.7000122070312,768.0999755859375,770.5999755859375,770.5999755859375,466979,CELLO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",N/A,EQUITY,0.0015,27.062,2.391,15.64,0.030725214648120114
