Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
1999-01-01,38.150001525878906,38.150001525878906,37.150001525878906,37.45000076293945,13.86895751953125,1450,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.02691789929815734
1999-01-04,38.0,38.79999923706055,37.599998474121094,38.5,14.25780963897705,3700,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.031914915203131625
1999-01-05,39.0,39.0,37.20000076293945,37.20000076293945,13.776374816894531,4050,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.048387075272691885
1999-01-06,38.650001525878906,38.79999923706055,37.75,38.0,14.072637557983398,3300,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.0278145493261072
1999-01-07,37.599998474121094,40.400001525878906,37.599998474121094,38.5,14.25780963897705,4750,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.07446816929221332
1999-01-08,38.900001525878906,39.5,38.5,39.349998474121094,14.572589874267578,2300,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.025974025974025976
1999-01-11,40.0,40.0,38.349998474121094,38.650001525878906,14.313356399536133,9150,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.0430248133384501
1999-01-12,38.5,38.650001525878906,37.099998474121094,37.5,13.887473106384277,6050,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.04177905971718594
1999-01-13,39.0,40.5,37.70000076293945,37.70000076293945,13.961544036865234,10750,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.07427053528903516
1999-01-14,37.70000076293945,40.25,36.5,37.0,13.702305793762207,5550,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.10273972602739725
1999-01-15,37.75,37.75,36.0,36.0,13.331974983215332,3750,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.04861111111111111
1999-01-18,35.04999923706055,36.5,35.0,36.5,13.517142295837402,2750,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.04285714285714286
1999-01-19,35.099998474121094,36.5,33.650001525878906,33.650001525878906,12.46169376373291,3600,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.08469534457314276
1999-01-20,33.650001525878906,33.650001525878906,33.650001525878906,33.650001525878906,12.46169376373291,0,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.0
1999-01-21,33.5,35.0,32.5,35.0,12.961644172668457,6050,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.07692307692307693
1999-01-22,35.04999923706055,35.75,34.0,34.349998474121094,12.720921516418457,1750,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.051470588235294115
1999-01-25,33.29999923706055,34.29999923706055,33.25,34.0,12.59131145477295,1700,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.03157892442287359
1999-01-26,34.0,34.0,34.0,34.0,12.59131145477295,0,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.0
1999-01-27,33.099998474121094,35.45000076293945,33.099998474121094,34.29999923706055,12.702409744262695,400,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.07099705127345203
1999-01-28,33.79999923706055,35.20000076293945,32.650001525878906,35.20000076293945,13.035711288452148,2200,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.07810104495827902
1999-01-29,37.099998474121094,38.0,35.599998474121094,38.0,14.072637557983398,10750,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.06741577608840497
1999-02-01,41.0,41.0,36.599998474121094,36.599998474121094,13.554174423217773,12600,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.1202186259376495
1999-02-02,36.0,36.0,34.29999923706055,34.29999923706055,12.702409744262695,7600,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.04956270556130602
1999-02-03,35.0,35.5,34.599998474121094,35.0,12.961644172668457,4950,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.02601160594131408
1999-02-04,35.20000076293945,35.20000076293945,34.099998474121094,34.599998474121094,12.813508987426758,1800,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.032258133080362586
1999-02-05,34.04999923706055,34.099998474121094,33.5,33.599998474121094,12.443177223205566,2850,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.017910402212569964
1999-02-08,33.0,33.79999923706055,31.200000762939453,32.0,11.850646018981934,1550,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.08333328238919374
1999-02-09,32.0,32.0,29.5,29.5,10.924813270568848,4050,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.0847457627118644
1999-02-10,31.799999237060547,31.899999618530273,29.0,29.0,10.739646911621094,7050,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.0999999868458715
1999-02-11,29.149999618530273,31.350000381469727,29.149999618530273,30.75,11.387724876403809,8400,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.0754717252737438
1999-02-12,31.5,32.099998474121094,29.0,29.0,10.739646911621094,14500,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.10689649910762392
1999-02-15,30.399999618530273,30.5,27.649999618530273,28.0,10.369311332702637,16450,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.10307415626724763
1999-02-16,29.0,29.149999618530273,27.0,28.700000762939453,10.628549575805664,12650,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.07962961550112124
1999-02-17,29.0,29.700000762939453,27.799999237060547,28.5,10.55448055267334,8600,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.06834538050439905
1999-02-18,28.0,30.799999237060547,28.0,28.549999237060547,10.572997093200684,9450,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.0999999727521624
1999-02-19,28.899999618530273,29.899999618530273,26.299999237060547,26.299999237060547,9.739748001098633,45900,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.13688214775294744
1999-02-22,27.200000762939453,28.350000381469727,26.899999618530273,27.450000762939453,10.165630340576172,13350,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.053903374851373934
1999-02-23,27.549999237060547,27.700000762939453,26.950000762939453,27.200000762939453,10.07304859161377,10850,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.02782931275576695
1999-02-24,28.5,29.399999618530273,26.0,26.399999618530273,9.77678394317627,46300,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.1307692160973182
1999-02-25,26.899999618530273,28.25,26.5,27.5,10.184147834777832,36100,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.0660377358490566
1999-02-26,27.549999237060547,28.75,27.549999237060547,28.0,10.369311332702637,15500,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.04355719768315636
1999-03-01,31.0,32.70000076293945,30.049999237060547,30.100000381469727,11.147013664245605,47600,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.08818640909017628
1999-03-02,30.100000381469727,30.100000381469727,30.100000381469727,30.100000381469727,11.147013664245605,0,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.0
1999-03-03,32.5,32.5,31.0,31.5,11.66547966003418,15600,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.04838709677419355
1999-03-04,32.29999923706055,32.29999923706055,30.350000381469727,31.25,11.572894096374512,3100,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.06425037334699334
1999-03-05,31.0,31.5,30.0,31.5,11.66547966003418,4100,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.05
1999-03-08,30.149999618530273,31.0,29.0,29.0,10.739646911621094,15850,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.06896551724137931
1999-03-09,29.700000762939453,29.700000762939453,28.0,28.0,10.369311332702637,9550,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.060714312962123325
1999-03-10,28.5,29.0,28.0,28.0,10.369311332702637,6250,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.03571428571428571
1999-03-11,28.200000762939453,28.850000381469727,27.75,28.0,10.369311332702637,3100,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.03963965338629645
1999-03-12,28.25,29.5,28.0,28.149999618530273,10.4248628616333,6750,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.05357142857142857
1999-03-15,28.899999618530273,29.25,28.100000381469727,28.299999237060547,10.480416297912598,4700,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.04092525277290137
1999-03-16,29.200000762939453,29.200000762939453,27.5,27.5,10.184147834777832,6300,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.06181820956143466
1999-03-17,29.0,29.0,27.0,27.25,10.091564178466797,2150,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.07407407407407407
1999-03-18,27.850000381469727,29.299999237060547,27.850000381469727,29.0,10.739646911621094,4100,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.05206459015187631
1999-03-19,31.25,31.299999237060547,29.799999237060547,31.0,11.480311393737793,7800,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.05033557175848972
1999-03-22,30.600000381469727,32.5,30.600000381469727,32.0,11.850646018981934,15650,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.06209149002758986
1999-03-23,31.049999237060547,34.599998474121094,31.049999237060547,34.599998474121094,12.813508987426758,15000,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.11433170126533695
1999-03-24,36.75,37.400001525878906,36.04999923706055,36.25,13.424558639526367,25000,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.03744805318693361
1999-03-25,36.25,37.5,35.29999923706055,35.29999923706055,13.07274055480957,9800,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.06232296913564037
1999-03-26,35.099998474121094,35.79999923706055,33.04999923706055,34.849998474121094,12.906092643737793,5400,CENTENKA,Consumer Cyclical,Textile Manufacturing,N/A,EQUITY,0.0164,3.83,4.566,19.56,0.08320726364544945
