Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2006-03-23,19.5,19.985000610351562,19.200000762939453,19.985000610351562,16.938720703125,191540,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.04088540709474059
2006-03-24,20.895000457763672,20.899999618530273,19.0,19.350000381469727,16.4005126953125,99340,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.09999997992264598
2006-03-27,19.600000381469727,19.600000381469727,19.114999771118164,19.440000534057617,16.47679328918457,35240,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.02537277615270364
2006-03-28,18.610000610351562,20.395000457763672,18.610000610351562,19.3799991607666,16.425941467285156,20530,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.09591616275494516
2006-03-29,19.399999618530273,19.600000381469727,19.200000762939453,19.219999313354492,16.290332794189453,2800,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.020833312637276943
2006-03-30,19.0,19.600000381469727,18.600000381469727,18.905000686645508,16.023344039916992,20600,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.053763439757573944
2006-03-31,18.100000381469727,18.899999618530273,18.100000381469727,18.55500030517578,15.726691246032715,11000,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.04419885194475265
2006-04-03,19.0,19.299999237060547,18.5,18.924999237060547,16.040294647216797,244750,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.04324320200327281
2006-04-04,18.2549991607666,18.774999618530273,18.200000762939453,18.725000381469727,15.870779991149902,45560,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.03159334238939632
2006-04-05,18.899999618530273,19.0,18.309999465942383,18.889999389648438,16.01062774658203,31500,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.0376843557718861
2006-04-07,18.405000686645508,18.885000228881836,18.405000686645508,18.475000381469727,15.658886909484863,20150,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.026079843755975038
2006-04-10,18.149999618530273,18.475000381469727,18.0,18.0,15.256291389465332,78590,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.026388910081651475
2006-04-12,17.104999542236328,17.9950008392334,17.100000381469727,17.149999618530273,14.535852432250977,50130,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.0523392068887631
2006-04-13,17.0049991607666,17.0049991607666,16.299999237060547,16.299999237060547,13.815417289733887,38250,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.043251531086156696
2006-04-17,16.315000534057617,17.110000610351562,16.30500030517578,17.110000610351562,14.50195026397705,12750,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.04937137627162422
2006-04-18,17.549999237060547,17.969999313354492,17.549999237060547,17.969999313354492,15.230863571166992,9420,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.023931629319221055
2006-04-19,18.700000762939453,18.8700008392334,18.104999542236328,18.8700008392334,15.993680953979492,41060,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.04225359383260042
2006-04-20,18.799999237060547,18.799999237060547,18.030000686645508,18.469999313354492,15.654645919799805,7500,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.04270651808601222
2006-04-21,18.040000915527344,18.040000915527344,17.579999923706055,17.889999389648438,15.163056373596191,37050,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.026166154369602287
2006-04-24,17.799999237060547,17.799999237060547,17.100000381469727,17.149999618530273,14.535852432250977,5900,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.040935604676907975
2006-04-25,17.950000762939453,17.969999313354492,16.600000381469727,16.81999969482422,14.256157875061035,6430,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.08253005424108725
2006-04-26,16.774999618530273,16.950000762939453,16.600000381469727,16.844999313354492,14.277342796325684,5100,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.02108435984498082
2006-04-27,17.200000762939453,17.59000015258789,16.614999771118164,16.81999969482422,14.256157875061035,8460,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.058681937700930255
2006-04-28,17.34000015258789,17.899999618530273,16.600000381469727,17.899999618530273,15.171531677246094,4350,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.07831320525219457
2006-05-02,18.100000381469727,19.6299991607666,18.100000381469727,18.899999618530273,16.019102096557617,168370,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.08453031751663635
2006-05-03,17.299999237060547,19.0,17.299999237060547,18.69499969482422,15.845353126525879,23070,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.0982659443878855
2006-05-04,18.799999237060547,18.799999237060547,17.799999237060547,18.139999389648438,15.374950408935547,40560,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.05617977768886342
2006-05-05,17.200000762939453,19.899999618530273,17.200000762939453,19.899999618530273,16.866680145263672,21510,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.15697667068762355
2006-05-08,18.5,18.899999618530273,17.93000030517578,18.46500015258789,15.650410652160645,185040,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.054099235741478846
2006-05-09,18.44499969482422,18.5,18.104999542236328,18.1200008392334,15.358000755310059,36500,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.02181720341070395
2006-05-10,18.110000610351562,18.69499969482422,18.110000610351562,18.280000686645508,15.493612289428711,35350,CENTURYPLY,Basic Materials,Lumber & Wood Production,N/A,EQUITY,0.0014,34.942,1.178,14.68,0.032302543608876216
