Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2007-02-14,166.0,167.39999389648438,145.3000030517578,152.3000030517578,142.9973602294922,13220318,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.15209903909536912
2007-02-15,155.0,182.8000030517578,154.39999389648438,182.8000030517578,171.6343994140625,7777715,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.18393789040117375
2007-02-19,190.0,213.64999389648438,170.75,173.8000030517578,163.18411254882812,9406076,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.2512444737715044
2007-02-20,179.39999389648438,184.4499969482422,170.10000610351562,174.0500030517578,163.41883850097656,7896193,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.08436208306773234
2007-02-21,176.0,182.6999969482422,174.0,177.5,166.65811157226562,5052885,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.049999982461161996
2007-02-22,179.0500030517578,179.5,161.3000030517578,163.89999389648438,153.88882446289062,2208921,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.11283320895165877
2007-02-23,165.0,165.0,138.6999969482422,144.9499969482422,136.09628295898438,3851202,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.1896179064918943
2007-02-26,146.5,149.5,139.3000030517578,145.5500030517578,136.65965270996094,2061548,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.07322323564093759
2007-02-27,146.39999389648438,160.89999389648438,142.14999389648438,152.75,143.41986083984375,4789306,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.1319029251148193
2007-02-28,145.10000610351562,147.1999969482422,134.10000610351562,142.0,133.3264923095703,1480109,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.09768821960093205
2007-03-01,143.8000030517578,155.0,140.0,151.64999389648438,142.38705444335938,1719291,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.10714285714285714
2007-03-02,152.0,156.8000030517578,142.25,145.8000030517578,136.89437866210938,1154314,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.10228473147105668
2007-03-05,141.89999389648438,141.89999389648438,124.0999984741211,129.1999969482422,121.3083267211914,935065,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.1434326804288814
2007-03-06,134.6999969482422,139.8000030517578,126.5999984741211,130.0500030517578,122.10641479492188,1224166,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.10426544025855572
2007-03-07,133.0,134.89999389648438,105.0,110.80000305175781,104.0322265625,1810751,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.28476184663318455
2007-03-08,116.4000015258789,121.4000015258789,101.3499984741211,120.5,113.13973236083984,3021201,CINELINE,Real Estate,Real Estate Services,N/A,EQUITY,,233.904,0.636,-1.41,0.19782933748023113
