Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,9.300000190734863,10.300000190734863,9.300000190734863,10.180000305175781,10.180000305175781,41935,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.10752687951514789
2002-07-02,10.0,10.600000381469727,10.0,10.289999961853027,10.289999961853027,33000,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.060000038146972655
2002-07-03,10.300000190734863,10.600000381469727,10.289999961853027,10.350000381469727,10.350000381469727,27475,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.030126377139546093
2002-07-04,10.420000076293945,10.899999618530273,10.399999618530273,10.479999542236328,10.479999542236328,98760,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.04807692484037417
2002-07-05,11.079999923706055,11.100000381469727,10.229999542236328,10.529999732971191,10.529999732971191,33450,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.08504407411177772
2002-07-08,11.020000457763672,11.020000457763672,10.460000038146973,10.59000015258789,10.59000015258789,31850,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.0535373248159094
2002-07-09,10.600000381469727,10.880000114440918,10.600000381469727,10.710000038146973,10.710000038146973,45130,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.026415068197607788
2002-07-10,10.630000114440918,10.779999732971191,10.3100004196167,10.350000381469727,10.350000381469727,26695,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.0455867404680441
2002-07-11,10.399999618530273,10.399999618530273,10.039999961853027,10.109999656677246,10.109999656677246,19190,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.03585653964592276
2002-07-12,9.800000190734863,10.380000114440918,9.800000190734863,10.029999732971191,10.029999732971191,32140,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.05918366453241495
2002-07-15,9.960000038146973,10.0,9.630000114440918,9.75,9.75,16210,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.03842158682887647
2002-07-16,9.720000267028809,9.979999542236328,9.649999618530273,9.6899995803833,9.6899995803833,30260,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.034196884637422896
2002-07-17,9.699999809265137,9.699999809265137,9.5,9.619999885559082,9.619999885559082,16680,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.02105261150159334
2002-07-18,9.800000190734863,9.800000190734863,9.65999984741211,9.6899995803833,9.6899995803833,5850,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.014492789392772057
2002-07-19,9.800000190734863,9.899999618530273,9.65999984741211,9.720000267028809,9.720000267028809,7125,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.024844697195565632
2002-07-22,9.140000343322754,9.710000038146973,9.100000381469727,9.130000114440918,9.130000114440918,15795,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.06703292649518834
2002-07-23,8.819999694824219,9.539999961853027,8.819999694824219,9.4399995803833,9.4399995803833,12465,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.08163268616112555
2002-07-24,9.260000228881836,9.359999656677246,9.140000343322754,9.199999809265137,9.199999809265137,7525,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.02406994585237769
2002-07-25,9.350000381469727,9.850000381469727,9.199999809265137,9.220000267028809,9.220000267028809,17125,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.07065223757396029
2002-07-26,9.0,9.079999923706055,8.8100004196167,8.859999656677246,8.859999656677246,10850,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.030646934305265612
2002-07-29,8.8100004196167,8.8100004196167,8.109999656677246,8.369999885559082,8.369999885559082,23545,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.08631329131600124
2002-07-30,8.239999771118164,8.569999694824219,7.78000020980835,7.940000057220459,7.940000057220459,60505,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.10154234752075023
2002-07-31,7.820000171661377,8.0,7.699999809265137,7.78000020980835,7.78000020980835,28005,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.03896106469689566
2002-08-01,7.800000190734863,8.180000305175781,7.619999885559082,7.730000019073486,7.730000019073486,25180,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.07349086981982439
2002-08-02,7.900000095367432,7.980000019073486,7.75,7.889999866485596,7.889999866485596,17925,CINEVISTA,Communication Services,Entertainment,N/A,EQUITY,,19.42,0.256,-1.31,0.02967742181593372
