Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2015-11-02,317.0,317.0,266.29998779296875,270.45001220703125,270.45001220703125,18353828,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.1903868363916234
2015-11-03,274.0,284.8500061035156,272.1499938964844,276.25,276.25,4773563,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.046665487752543755
2015-11-04,277.45001220703125,283.5,275.1000061035156,281.6000061035156,281.6000061035156,1853793,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.0305343282810528
2015-11-05,280.95001220703125,281.3999938964844,276.0,277.0,277.0,785960,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.019565195277117302
2015-11-06,279.0,279.0,270.0,271.04998779296875,271.04998779296875,521576,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.03333333333333333
2015-11-09,266.5,276.0,253.60000610351562,273.8999938964844,273.8999938964844,603103,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.08832804951645404
2015-11-10,276.1000061035156,280.5,267.79998779296875,269.79998779296875,269.79998779296875,564758,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.047423498080400944
2015-11-13,271.5,271.95001220703125,263.5,265.79998779296875,265.79998779296875,264878,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.032068357521940226
2015-11-16,266.0,274.70001220703125,260.04998779296875,268.04998779296875,268.04998779296875,534428,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.05633541665737624
2015-11-17,270.1000061035156,274.3999938964844,264.54998779296875,265.54998779296875,265.54998779296875,354953,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.03723306202238056
2015-11-18,265.8999938964844,267.70001220703125,260.25,261.29998779296875,261.29998779296875,236271,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.028626367750360232
2015-11-19,263.0,263.75,259.25,260.54998779296875,260.54998779296875,269156,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.017357762777242044
2015-11-20,261.6000061035156,266.0,258.5,259.1499938964844,259.1499938964844,251995,COFFEEDAY,Consumer Cyclical,Restaurants,N/A,EQUITY,,43.553,2.168,-15.27,0.029013539651837523
