Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2024-01-23,95.0,99.0,79.75,84.69999694824219,84.69999694824219,43034,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.2413793103448276
2024-01-24,88.69999694824219,90.05000305175781,70.05000305175781,88.4000015258789,88.4000015258789,27047,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.2855103373118001
2024-01-25,90.94999694824219,91.5,85.4000015258789,87.5999984741211,87.5999984741211,18994,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.07142855228489195
2024-01-29,84.5999984741211,89.94999694824219,84.5999984741211,86.30000305175781,86.30000305175781,17137,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.06323875378978457
2024-01-30,86.25,103.55000305175781,85.0999984741211,95.6500015258789,95.6500015258789,82897,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.21680381796067089
2024-01-31,109.69999694824219,111.80000305175781,97.0,99.1500015258789,99.1500015258789,426192,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.15257735104904963
2024-02-01,102.80000305175781,102.80000305175781,97.0,97.94999694824219,97.94999694824219,55492,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.05979384589441044
2024-02-02,99.25,100.9000015258789,96.0999984741211,96.5,96.5,20026,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.04994800341282432
2024-02-05,97.1500015258789,97.1500015258789,90.0,91.44999694824219,91.44999694824219,33416,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.07944446139865452
2024-02-06,91.44999694824219,95.0,84.0,94.4000015258789,94.4000015258789,53450,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.13095238095238096
2024-02-07,96.0,96.0,88.55000305175781,90.1500015258789,90.1500015258789,33206,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.084133220683094
2024-02-08,91.5,92.3499984741211,90.0999984741211,91.19999694824219,91.19999694824219,22705,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.024972253475079188
2024-02-09,92.55000305175781,92.55000305175781,85.5,88.75,88.75,28083,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.08245617604395103
2024-02-12,87.5999984741211,87.6500015258789,79.75,82.69999694824219,82.69999694824219,40929,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.09905958026180446
2024-02-13,82.69999694824219,83.94999694824219,77.94999694824219,81.1500015258789,81.1500015258789,25576,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.07697242123029106
2024-02-14,79.0,92.1500015258789,76.80000305175781,89.19999694824219,89.19999694824219,80757,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.1998697638563409
2024-02-15,91.8499984741211,91.8499984741211,83.19999694824219,89.6500015258789,89.6500015258789,11980,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.10396636830720052
2024-02-16,91.69999694824219,91.69999694824219,87.0,87.80000305175781,87.80000305175781,3514,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.05402295342807112
2024-02-19,86.94999694824219,88.0,85.19999694824219,86.75,86.75,15516,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.03286388676115535
2024-02-20,86.19999694824219,87.5,86.0,86.3499984741211,86.3499984741211,6018,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.01744186046511628
2024-02-21,86.30000305175781,88.0,84.0,84.94999694824219,84.94999694824219,10851,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.047619047619047616
2024-02-22,85.05000305175781,87.44999694824219,82.55000305175781,84.3499984741211,84.3499984741211,11338,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.059357888738200776
2024-02-23,84.0999984741211,85.0,82.4000015258789,83.1500015258789,83.1500015258789,8565,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.03155337895600071
2024-02-26,85.0,85.0,80.0999984741211,81.94999694824219,81.94999694824219,20515,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.06117355329865594
2024-02-27,83.0999984741211,83.0999984741211,77.5,80.5999984741211,80.5999984741211,67056,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.07225804482736896
2024-02-28,80.05000305175781,81.8499984741211,78.05000305175781,78.69999694824219,78.69999694824219,14665,COMSYN,Consumer Cyclical,Packaging & Containers,N/A,EQUITY,,84.315,1.266,1.97,0.04868667871599397
