Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2022-07-21,247.85000610351562,247.85000610351562,225.1999969482422,229.39999389648438,225.19261169433594,16272,CSLFINANCE,Financial Services,Credit Services,N/A,EQUITY,0.0053,106.341,13150.723,28.29,0.10057730667056403
2022-07-22,229.3000030517578,241.0,224.9499969482422,235.14999389648438,230.83714294433594,48683,CSLFINANCE,Financial Services,Credit Services,N/A,EQUITY,0.0053,106.341,13150.723,28.29,0.07134920324293532
2022-07-25,236.0,241.0,228.9499969482422,233.0500030517578,228.77566528320312,124136,CSLFINANCE,Financial Services,Credit Services,N/A,EQUITY,0.0053,106.341,13150.723,28.29,0.052631592978277734
2022-07-26,234.3000030517578,239.89999389648438,234.1999969482422,237.4499969482422,233.094970703125,36728,CSLFINANCE,Financial Services,Credit Services,N/A,EQUITY,0.0053,106.341,13150.723,28.29,0.024338159788712028
2022-07-27,238.0,238.0,232.85000610351562,236.39999389648438,232.06422424316406,25691,CSLFINANCE,Financial Services,Credit Services,N/A,EQUITY,0.0053,106.341,13150.723,28.29,0.022117216068248232
2022-07-28,231.6999969482422,243.0,231.6999969482422,239.8000030517578,235.40187072753906,12550,CSLFINANCE,Financial Services,Credit Services,N/A,EQUITY,0.0053,106.341,13150.723,28.29,0.04876997497018543
2022-07-29,247.0,247.0,232.89999389648438,240.14999389648438,235.74545288085938,26507,CSLFINANCE,Financial Services,Credit Services,N/A,EQUITY,0.0053,106.341,13150.723,28.29,0.06054103251622483
2022-08-01,235.35000610351562,245.6999969482422,235.0,239.4499969482422,235.0582733154297,15812,CSLFINANCE,Financial Services,Credit Services,N/A,EQUITY,0.0053,106.341,13150.723,28.29,0.04553190190741356
2022-08-02,246.0,246.0,235.0,239.35000610351562,234.96011352539062,27881,CSLFINANCE,Financial Services,Credit Services,N/A,EQUITY,0.0053,106.341,13150.723,28.29,0.04680851063829787
2022-08-03,240.0,242.0,237.5,238.89999389648438,234.5183563232422,24345,CSLFINANCE,Financial Services,Credit Services,N/A,EQUITY,0.0053,106.341,13150.723,28.29,0.018947368421052633
