Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-07-01,8.609999656677246,8.675000190734863,8.53499984741211,8.585000038146973,6.3908467292785645,2331240,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.016403086798554928
2002-07-02,8.574999809265137,8.614999771118164,8.524999618530273,8.585000038146973,6.3908467292785645,925272,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.010557203122011027
2002-07-03,8.585000038146973,8.640000343322754,8.539999961853027,8.585000038146973,6.3908467292785645,1304064,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.011709646594427884
2002-07-04,8.65999984741211,8.664999961853027,8.539999961853027,8.5600004196167,6.372235298156738,1589202,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.014637002407301794
2002-07-05,8.635000228881836,9.0,8.5649995803833,8.8149995803833,6.5620598793029785,3139716,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.0507881425485408
2002-07-08,9.25,9.4350004196167,9.0,9.199999809265137,6.848663330078125,3198990,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.04833337995741102
2002-07-09,9.324999809265137,9.324999809265137,8.9350004196167,8.984999656677246,6.688612461090088,1227414,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.043648502667352755
2002-07-10,9.114999771118164,9.335000038146973,8.8149995803833,8.90999984741211,6.632781028747559,2063592,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.05899041208361133
2002-07-11,8.949999809265137,8.949999809265137,8.789999961853027,8.8149995803833,6.5620598793029785,833010,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.01820248556387703
2002-07-12,9.0,9.0,8.734999656677246,8.78499984741211,6.539728164672852,731904,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.03033776230548346
2002-07-15,8.8149995803833,8.8149995803833,8.600000381469727,8.625,6.420624732971191,447222,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.024999905741496162
2002-07-16,8.664999961853027,8.664999961853027,8.53499984741211,8.5600004196167,6.372235298156738,563910,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.015231413797896576
2002-07-17,8.539999961853027,8.574999809265137,8.385000228881836,8.40999984741211,6.26057243347168,1429992,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.022659460369345484
2002-07-18,8.515000343322754,8.539999961853027,8.414999961853027,8.489999771118164,6.320125579833984,647460,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.014854426686470756
2002-07-19,8.5649995803833,8.5649995803833,8.414999961853027,8.46500015258789,6.301516056060791,600246,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.017825266691652217
2002-07-22,8.5,8.5,8.015000343322754,8.09000015258789,6.0223565101623535,1284174,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.060511495433845645
2002-07-23,8.09000015258789,8.335000038146973,7.815000057220459,7.989999771118164,5.947916030883789,909546,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.06653870468575028
2002-07-24,7.960000038146973,8.039999961853027,7.840000152587891,7.960000038146973,5.925583839416504,856566,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.025510179256708197
2002-07-25,8.03499984741211,8.274999618530273,8.03499984741211,8.135000228881836,6.055857181549072,546036,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.029869293799110963
2002-07-26,8.050000190734863,8.15999984741211,7.864999771118164,7.965000152587891,5.929306507110596,789396,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.037507957390824596
2002-07-29,8.0600004196167,8.210000038146973,7.659999847412109,7.764999866485596,5.780419826507568,503064,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.07180159291004137
2002-07-30,7.835000038146973,8.085000038146973,7.610000133514404,7.664999961853027,5.705979347229004,533520,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.0624178575951229
2002-07-31,7.835000038146973,7.835000038146973,7.525000095367432,7.739999771118164,5.761809349060059,794052,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.04119600516289486
2002-08-01,7.760000228881836,8.039999961853027,7.684999942779541,7.949999809265137,5.918139457702637,604092,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.046193887015838875
2002-08-02,7.664999961853027,8.039999961853027,7.664999961853027,7.974999904632568,5.93674898147583,304596,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.048923679304147455
2002-08-05,8.085000038146973,8.484999656677246,7.960000038146973,8.135000228881836,6.055857181549072,457794,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.06595472562993723
2002-08-06,8.03499984741211,8.164999961853027,8.010000228881836,8.114999771118164,6.0409674644470215,339018,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.01935077759577402
2002-08-07,8.175000190734863,8.25,8.050000190734863,8.175000190734863,6.085634231567383,457122,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.02484469621445801
2002-08-08,8.100000381469727,8.149999618530273,7.715000152587891,7.809999942779541,5.813918113708496,794556,DABUR,Consumer Defensive,Household & Personal Products,N/A,EQUITY,0.0091,13.249,1.445,10.36,0.05638359784043144
