Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2004-04-22,34.5,59.779998779296875,31.0,54.125,48.734561920166016,89295720,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.9283870573966734
2004-04-23,54.0,57.900001525878906,45.099998474121094,46.900001525878906,42.229129791259766,53426240,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.2838138244971916
2004-04-26,46.900001525878906,46.900001525878906,46.900001525878906,46.900001525878906,42.229129791259766,0,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.0
2004-04-27,45.099998474121094,48.5,41.625,46.935001373291016,42.26063919067383,34849140,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.16516516516516516
2004-04-28,48.0,50.400001525878906,46.599998474121094,47.72999954223633,42.97645950317383,28381540,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.08154513253617618
2004-04-29,49.099998474121094,49.099998474121094,47.11000061035156,47.564998626708984,42.82788848876953,8452280,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.04224151640813746
2004-04-30,47.79999923706055,48.095001220703125,45.57500076293945,46.41999816894531,41.796913146972656,7675980,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.0552934814169631
2004-05-03,46.400001525878906,50.20000076293945,45.11000061035156,48.76499938964844,43.90837478637695,14651740,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.11283529336552191
2004-05-04,49.0,50.779998779296875,48.709999084472656,49.15999984741211,44.26404571533203,11377480,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.04249640184214405
2004-05-05,50.0,52.900001525878906,49.209999084472656,51.79499816894531,46.6366081237793,17184850,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.07498481020233477
2004-05-06,52.5,53.40999984741211,51.51499938964844,51.880001068115234,46.71315383911133,6239870,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.03678541163186849
2004-05-07,52.04999923706055,52.04999923706055,48.525001525878906,49.11000061035156,44.21902847290039,7434860,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.0726429180904141
2004-05-10,49.0,50.525001525878906,47.20500183105469,49.69499969482422,44.74576187133789,6208610,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.07033152348360032
2004-05-11,49.5,49.5,47.5,48.64500045776367,43.80033493041992,5447750,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.042105263157894736
2004-05-12,48.79999923706055,50.189998626708984,48.5,48.95500183105469,44.07946014404297,2963640,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.034845332509463596
2004-05-13,46.099998474121094,51.400001525878906,42.20000076293945,50.584999084472656,45.547119140625,4605560,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.21800949281069693
2004-05-14,50.97999954223633,51.630001068115234,43.0,47.29499816894531,42.584781646728516,4272290,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.20069769925849382
2004-05-17,46.5,46.79999923706055,37.900001525878906,41.709999084472656,37.55600357055664,1709650,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.23482842619688388
2004-05-18,43.5,47.5,41.599998474121094,44.83000183105469,40.36527633666992,1116130,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.14182696495888655
2004-05-19,46.689998626708984,46.900001525878906,44.25,44.93000030517578,40.455318450927734,1224230,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.05988704013285664
2004-05-20,46.97999954223633,47.77000045776367,44.51499938964844,45.77000045776367,41.21166229248047,1849910,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.07312144474323312
2004-05-21,45.0,45.70000076293945,43.5099983215332,45.09000015258789,40.59938049316406,816110,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.050333314775661865
2004-05-24,47.0,47.88999938964844,45.5,46.904998779296875,42.233619689941406,1082870,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.05252745911315247
2004-05-25,45.5,46.9900016784668,45.5,46.20000076293945,41.59882736206055,634810,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.0327472896366329
2004-05-26,44.5,48.0,42.1150016784668,45.15999984741211,40.662418365478516,555850,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.13973639052571082
2004-05-27,44.599998474121094,46.599998474121094,44.599998474121094,45.57500076293945,41.03607940673828,742280,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.04484305086154855
2004-05-28,44.900001525878906,46.0,39.529998779296875,41.35499954223633,37.23635482788086,1305820,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.16367319556032142
2004-05-31,40.900001525878906,40.900001525878906,36.724998474121094,38.22999954223633,34.42258834838867,2360550,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.11368286522053365
2004-06-01,39.0,40.4900016784668,38.45500183105469,39.084999084472656,35.19242477416992,1085330,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.052918989741634254
2004-06-02,39.20000076293945,39.70000076293945,37.5099983215332,38.130001068115234,34.332550048828125,842900,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.05838449851780038
2004-06-03,39.099998474121094,39.099998474121094,37.029998779296875,37.525001525878906,33.78779220581055,724490,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.055900614719478096
2004-06-04,37.5,39.0,36.79999923706055,38.29999923706055,34.48562240600586,476690,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.05978263066711904
2004-06-07,38.9900016784668,40.9900016784668,38.1150016784668,40.22999954223633,36.2234001159668,1144190,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.07542961756247911
2004-06-08,40.9900016784668,42.19499969482422,40.0,41.525001525878906,37.389427185058594,1069970,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.05487499237060547
2004-06-09,42.099998474121094,43.689998626708984,41.599998474121094,42.630001068115234,38.38438034057617,2378210,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.05024039012616928
2004-06-10,39.810001373291016,43.5,39.810001373291016,43.14500045776367,38.84809494018555,1183890,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.09269024113082916
2004-06-11,50.0099983215332,50.0099983215332,41.20000076293945,41.93000030517578,37.75409698486328,687240,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.2138348882390941
2004-06-14,42.70000076293945,42.779998779296875,40.599998474121094,41.32500076293945,37.209346771240234,416650,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.05369459081544888
2004-06-15,41.5,42.11000061035156,40.79999923706055,41.2400016784668,37.132816314697266,454200,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.03210787739674956
2004-06-16,41.79499816894531,41.79499816894531,40.9900016784668,41.03499984741211,36.9482307434082,332610,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.019638849902789902
2004-06-17,41.13999938964844,41.400001525878906,39.5,39.70500183105469,35.750694274902344,447000,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.048101304452630535
2004-06-18,39.5,39.75,38.459999084472656,38.78499984741211,34.92231750488281,326730,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.0335413662567702
2004-06-21,39.07500076293945,39.76499938964844,38.099998474121094,39.06999969482422,35.17892837524414,1246990,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.043700813181351515
2004-06-22,39.5,39.5,36.665000915527344,36.970001220703125,33.2880744934082,460510,DCAL,Healthcare,Biotechnology,N/A,EQUITY,,41.095,0.755,-9.78,0.07732166953995782
