Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2002-08-12,29.899999618530273,31.5,29.899999618530273,30.0,25.67670249938965,400,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.05351171912651597
2002-08-13,24.649999618530273,30.0,24.649999618530273,29.100000381469727,24.906400680541992,100,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.21703855838796618
2002-08-14,31.0,31.950000762939453,31.0,31.149999618530273,26.66097640991211,700,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.03064518590127268
2002-08-15,31.149999618530273,31.149999618530273,31.149999618530273,31.149999618530273,26.66097640991211,0,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0
2002-08-16,30.0,31.0,29.149999618530273,29.350000381469727,25.12037467956543,900,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0634648509667117
2002-08-19,28.350000381469727,29.0,28.25,28.549999237060547,24.4356632232666,2200,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.02654867256637168
2002-08-20,28.75,29.0,28.5,28.5,24.39286994934082,500,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.017543859649122806
2002-08-21,28.5,30.100000381469727,28.5,29.049999237060547,24.863605499267578,4300,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.05614036426209567
2002-08-22,28.600000381469727,30.0,28.549999237060547,30.0,25.67670249938965,1500,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.05078811914843128
2002-08-23,28.600000381469727,28.600000381469727,28.600000381469727,28.600000381469727,24.47846031188965,200,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0
2002-08-26,29.0,30.0,28.75,28.75,24.60683822631836,100,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.043478260869565216
2002-08-27,28.899999618530273,29.700000762939453,28.75,29.700000762939453,25.41993522644043,3600,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.03304350479789402
2002-08-28,27.600000381469727,28.75,27.549999237060547,28.75,24.60683822631836,400,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.04355719768315636
2002-08-29,28.5,28.5,28.5,28.5,24.39286994934082,300,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0
2002-08-30,28.5,28.5,28.5,28.5,24.39286994934082,0,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0
2002-09-02,29.25,29.25,29.149999618530273,29.149999618530273,24.94919776916504,100,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0034305448637521638
2002-09-03,29.149999618530273,29.149999618530273,29.149999618530273,29.149999618530273,24.94919776916504,0,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0
2002-09-04,29.149999618530273,29.149999618530273,29.149999618530273,29.149999618530273,24.94919776916504,0,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0
2002-09-05,29.0,29.899999618530273,29.0,29.899999618530273,25.591115951538086,400,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.031034469604492188
2002-09-06,29.899999618530273,29.899999618530273,29.0,29.0,24.82081413269043,700,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.031034469604492188
2002-09-09,29.0,29.600000381469727,27.25,27.649999618530273,23.665361404418945,1000,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0862385461089808
2002-09-10,27.649999618530273,27.649999618530273,27.649999618530273,27.649999618530273,23.665361404418945,0,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0
2002-09-11,29.0,29.0,29.0,29.0,24.82081413269043,500,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0
2002-09-12,28.049999237060547,29.950000762939453,28.0,29.600000381469727,25.3343505859375,1000,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.06964288439069476
2002-09-13,29.5,30.0,29.5,30.0,25.67670249938965,500,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.01694915254237288
2002-09-16,29.850000381469727,30.5,29.850000381469727,30.5,26.104650497436523,1100,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.021775531330772778
2002-09-17,30.5,30.5,30.5,30.5,26.104650497436523,0,DECCANCE,Basic Materials,Building Materials,N/A,EQUITY,0.0056,72.34,1.465,26.57,0.0
