Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2023-03-14,620.0,620.0,560.0,605.2000122070312,602.92724609375,3414500,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.10714285714285714
2023-03-15,608.9000244140625,635.0,591.0,610.5499877929688,608.2571411132812,716897,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.07445008460236886
2023-03-16,609.0,634.0,593.3499755859375,623.6500244140625,621.3079833984375,447954,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.06850935550122893
2023-03-17,630.0,641.0,621.0999755859375,625.25,622.9019165039062,194821,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.03203996972514623
2023-03-20,631.8499755859375,636.5999755859375,612.0,623.3499755859375,621.009033203125,160904,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.04019603853911356
2023-03-21,627.8499755859375,639.0,612.2000122070312,636.2000122070312,633.8108520507812,167381,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.04377652280069808
2023-03-22,640.0,657.8499755859375,630.25,641.75,639.3399658203125,301752,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.04379210723671162
2023-03-23,634.7999877929688,659.8499755859375,632.75,654.9500122070312,652.4904174804688,128918,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.042828882790892926
2023-03-24,657.0,685.0,651.0,668.7999877929688,666.2883911132812,251807,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.05222734254992319
2023-03-27,670.0,677.6500244140625,633.1500244140625,660.7999877929688,658.3184204101562,170766,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.0702835004092146
2023-03-28,660.0999755859375,671.7000122070312,648.0999755859375,657.9500122070312,655.4791259765625,74930,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.03641419149839854
2023-03-29,652.25,660.0,635.0,640.5,638.0946655273438,103161,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.03937007874015748
2023-03-31,644.3499755859375,664.8499755859375,632.0,658.4500122070312,655.977294921875,265637,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.0519778094714201
2023-04-03,657.9500122070312,662.0,647.8499755859375,656.0,653.5364379882812,35723,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.02184151415806528
2023-04-05,650.0,670.7000122070312,646.8499755859375,665.7000122070312,663.2000732421875,53505,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.03687104818932647
2023-04-06,666.0,674.6500244140625,652.2000122070312,664.6500244140625,662.1539916992188,27220,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.034421974527508635
2023-04-10,663.7000122070312,664.9500122070312,644.0,648.0499877929688,645.6163330078125,27851,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.03253107485563859
2023-04-11,649.6500244140625,661.7000122070312,642.7000122070312,659.4500122070312,656.9735107421875,52061,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.029562781451884554
2023-04-12,659.4500122070312,688.4000244140625,652.7999877929688,659.6500244140625,657.1727905273438,127788,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.05453437084374467
2023-04-13,656.0,677.4000244140625,656.0,673.9000244140625,671.3692626953125,42833,DIVGIITTS,Consumer Cyclical,Auto Parts,N/A,EQUITY,0.0037,0.269,6.938,12.96,0.032621988436070885
