Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2022-12-05,189.8000030517578,195.0,181.10000610351562,186.89999389648438,186.6197509765625,10482,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.07675313875218329
2022-12-06,190.0,190.0,180.0500030517578,181.9499969482422,181.67718505859375,4358,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.05526240921741016
2022-12-07,185.0,190.0,176.0,183.1999969482422,182.92530822753906,66102,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.07954545454545454
2022-12-08,185.75,185.75,174.0500030517578,174.0500030517578,173.78903198242188,35183,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.06722204391322488
2022-12-09,175.0,175.0,165.35000610351562,165.35000610351562,165.10208129882812,13704,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.05836101324630794
2022-12-12,166.25,166.25,157.10000610351562,157.10000610351562,156.86444091796875,2302,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.058243116110735876
2022-12-13,155.0,155.0,149.25,149.25,149.02621459960938,15169,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.038525963149078725
2022-12-14,141.8000030517578,156.6999969482422,141.8000030517578,156.6999969482422,156.4650421142578,8304,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.10507752874339356
2022-12-15,164.5,164.5,164.5,164.5,164.2533416748047,4177,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.0
2022-12-16,171.5,172.6999969482422,165.0500030517578,172.6999969482422,172.44105529785156,9167,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.046349553196223955
2022-12-19,181.0,181.0,170.0,175.10000610351562,174.83746337890625,11164,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.06470588235294118
2022-12-20,176.39999389648438,180.89999389648438,175.14999389648438,178.60000610351562,178.3321990966797,2622,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.03282900485510901
2022-12-21,179.64999389648438,179.64999389648438,169.6999969482422,169.6999969482422,169.44554138183594,8545,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.058632864626844375
2022-12-22,174.0,174.0,161.5,162.3000030517578,162.056640625,13315,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.07739938080495357
2022-12-23,154.5,156.0,154.1999969482422,154.1999969482422,153.9687957763672,2932,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.011673171772902112
2022-12-26,159.4499969482422,161.8000030517578,146.5,146.89999389648438,146.6797332763672,6022,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.10443688089937074
2022-12-27,148.5500030517578,153.0,144.0500030517578,149.6999969482422,149.47552490234375,3133,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.06213118194122088
2022-12-28,147.89999389648438,153.89999389648438,147.89999389648438,153.0,152.7705841064453,2656,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.04056795299261078
2022-12-29,155.9499969482422,155.9499969482422,148.5500030517578,149.89999389648438,149.67523193359375,1295,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.04981483503508289
2022-12-30,155.14999389648438,155.14999389648438,148.10000610351562,153.0500030517578,152.8205108642578,2520,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.047602886579498904
2023-01-02,153.8000030517578,153.8000030517578,145.39999389648438,145.39999389648438,145.18197631835938,6589,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.05777172976536515
2023-01-03,142.0,152.64999389648438,142.0,152.64999389648438,152.42111206054688,8189,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.0749999570174956
2023-01-04,157.0,157.0,145.0500030517578,145.8000030517578,145.58139038085938,8720,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.0823853615775389
2023-01-05,144.89999389648438,152.4499969482422,143.64999389648438,150.10000610351562,149.8749542236328,3106,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.06126003080862769
2023-01-06,146.10000610351562,154.8000030517578,144.9499969482422,152.39999389648438,152.17147827148438,7061,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.06795451059604231
2023-01-09,152.10000610351562,153.89999389648438,148.0,150.75,150.52395629882812,2891,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.03986482362489443
2023-01-10,152.89999389648438,153.89999389648438,149.3000030517578,152.75,152.52096557617188,901,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.03081038680978382
2023-01-11,152.75,152.75,145.14999389648438,147.35000610351562,147.12905883789062,2907,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.05235967222248503
2023-01-12,147.35000610351562,153.0,142.10000610351562,150.8000030517578,150.57388305664062,4181,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.07670649843986674
2023-01-13,151.6999969482422,157.85000610351562,146.39999389648438,155.89999389648438,155.66622924804688,7198,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.07821046915566988
2023-01-16,156.25,158.25,155.14999389648438,157.14999389648438,156.9143524169922,2969,DJML,Industrials,Specialty Business Services,N/A,EQUITY,0.00059999997,53.043,1.978,4.66,0.01998070399915027
