Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2017-12-11,10.0,10.0,9.5,9.5,9.5,58375,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.05263157894736842
2017-12-12,9.050000190734863,9.050000190734863,9.050000190734863,9.050000190734863,9.050000190734863,23744,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.0
2017-12-13,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,47144,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.0
2017-12-14,8.199999809265137,8.199999809265137,8.199999809265137,8.199999809265137,8.199999809265137,37310,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.0
2017-12-15,7.800000190734863,7.800000190734863,7.800000190734863,7.800000190734863,7.800000190734863,36060,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.0
2017-12-18,7.449999809265137,7.449999809265137,7.449999809265137,7.449999809265137,7.449999809265137,10321,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.0
2017-12-19,7.099999904632568,7.800000190734863,7.099999904632568,7.099999904632568,7.099999904632568,1098657,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.09859159091615799
2017-12-20,7.0,7.449999809265137,6.75,7.300000190734863,7.300000190734863,2367063,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.10370367544668692
2017-12-21,7.5,7.650000095367432,7.25,7.650000095367432,7.650000095367432,754053,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.05517242694723195
2017-12-22,8.0,8.0,8.0,8.0,8.0,88778,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.0
2017-12-26,8.949999809265137,9.600000381469727,8.25,9.600000381469727,9.600000381469727,1170619,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.16363640987511838
2017-12-27,10.149999618530273,11.5,9.399999618530273,11.5,11.5,1282408,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.22340430496720273
2017-12-28,12.199999809265137,12.649999618530273,11.899999618530273,12.649999618530273,12.649999618530273,572543,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.06302521210438743
2017-12-29,13.899999618530273,13.899999618530273,12.25,13.899999618530273,13.899999618530273,736867,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.13469384641063456
2018-01-01,14.399999618530273,14.399999618530273,12.550000190734863,12.850000381469727,12.850000381469727,892402,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.14741031073140437
2018-01-02,12.699999809265137,13.5,11.75,13.350000381469727,13.350000381469727,432184,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.14893617021276595
2018-01-03,13.399999618530273,14.399999618530273,12.600000381469727,13.300000190734863,13.300000190734863,323023,DNAMEDIA,Communication Services,Publishing,N/A,EQUITY,,,1.588,11.62,0.14285707798134098
