Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2021-06-28,550.0,652.0,550.0,609.9000244140625,609.9000244140625,24434056,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.18545454545454546
2021-06-29,614.7000122070312,627.2999877929688,583.0,585.7000122070312,585.7000122070312,4039010,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.0759862569347663
2021-06-30,588.0,593.4000244140625,572.2000122070312,575.0999755859375,575.0999755859375,1316941,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.0370500030666912
2021-07-01,575.25,587.5,574.5999755859375,578.6500244140625,578.6500244140625,549079,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.02245044372114347
2021-07-02,580.75,591.75,574.5,576.1500244140625,576.1500244140625,598686,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.030026109660574413
2021-07-05,580.0,586.0,575.3499755859375,579.5,579.5,430136,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.01851051510555205
2021-07-06,579.0,579.0,572.0,572.5999755859375,572.5999755859375,241285,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.012237762237762238
2021-07-07,568.0499877929688,584.4000244140625,568.0499877929688,579.0999755859375,579.0999755859375,296719,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.028782742667803167
2021-07-08,579.1500244140625,581.7999877929688,573.25,576.7999877929688,576.7999877929688,152555,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.014914937275130833
2021-07-09,578.0999755859375,595.5,573.6500244140625,586.4500122070312,586.4500122070312,505011,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.0380893831709595
2021-07-12,594.9500122070312,631.0,594.0499877929688,614.0999755859375,614.0999755859375,1261642,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.06220017332936741
2021-07-13,622.7999877929688,634.6500244140625,619.0,623.5,623.5,725614,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.025282753496062196
2021-07-14,625.7999877929688,629.2999877929688,611.0,621.8499755859375,621.8499755859375,364066,DODLA,Consumer Defensive,Food Distribution,N/A,EQUITY,,4.02,2.702,27.75,0.02995088018489157
