Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2008-01-01,25.5,25.5,25.5,25.5,24.431859970092773,47810,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-02,27.0,27.0,27.0,27.0,25.869029998779297,58321,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-03,28.5,28.5,28.5,28.5,27.306194305419922,47431,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-04,30.0,30.0,30.0,30.0,28.743362426757812,63182,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-07,31.5,31.5,31.5,31.5,30.180532455444336,101741,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-08,33.5,33.5,30.0,30.0,28.743362426757812,573260,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.11666666666666667
2008-01-09,28.5,28.5,28.5,28.5,27.306194305419922,147354,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-10,27.5,30.0,27.5,27.5,26.348081588745117,181815,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.09090909090909091
2008-01-11,26.5,26.5,26.5,26.5,25.389968872070312,5577,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-14,25.5,25.5,25.5,25.5,24.431859970092773,5757,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-15,24.5,24.5,24.5,24.5,23.473745346069336,2541,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-16,23.5,23.5,23.5,23.5,22.515634536743164,1980,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-17,22.5,25.0,22.5,24.5,23.473745346069336,94500,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.1111111111111111
2008-01-18,25.0,26.0,23.5,23.5,22.515634536743164,81436,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.10638297872340426
2008-01-21,23.5,23.5,22.5,22.5,21.55752182006836,3681,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.044444444444444446
2008-01-22,21.5,21.5,21.5,21.5,20.59941291809082,601,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-23,20.5,20.5,20.5,20.5,19.641298294067383,2505,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-24,19.5,19.5,19.5,19.5,18.68318748474121,640,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-25,18.5,18.5,18.5,18.5,17.725074768066406,2285,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-28,18.0,18.0,18.0,18.0,17.24601936340332,621,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-29,17.5,17.5,17.5,17.5,16.76696014404297,614,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-30,17.0,17.0,17.0,17.0,16.287906646728516,321,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-01-31,16.5,16.5,16.5,16.5,15.808849334716797,1958,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-02-01,16.0,16.0,16.0,16.0,15.329792976379395,782,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
2008-02-04,15.5,15.5,15.5,15.5,14.850738525390625,21025,DSSL,Technology,Information Technology Services,N/A,EQUITY,0.0004,22.685,1.393,42.36,0.0
