Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2015-01-20,135.23333740234375,141.96665954589844,135.23333740234375,141.96665954589844,112.22943115234375,630,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.04979040133810963
2015-01-21,149.03334045410156,149.03334045410156,149.03334045410156,149.03334045410156,117.81587219238281,3532,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.0
2015-01-22,156.46665954589844,156.46665954589844,156.46665954589844,156.46665954589844,123.6921615600586,2076,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.0
2015-01-23,164.26666259765625,164.26666259765625,164.26666259765625,164.26666259765625,129.8583221435547,12273,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.0
2015-01-27,172.46665954589844,172.46665954589844,172.46665954589844,172.46665954589844,136.3406982421875,13692,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.0
2015-01-28,181.06666564941406,181.06666564941406,163.86666870117188,166.53334045410156,131.65020751953125,66978,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.10496336493913959
2015-01-29,171.26666259765625,171.26666259765625,158.3000030517578,158.6999969482422,125.45771026611328,2599,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.08191193490791567
2015-01-30,160.0,160.0,150.76666259765625,150.76666259765625,119.18612670898438,15307,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.061242566780060084
2015-02-02,143.3333282470703,156.0,143.3333282470703,150.0,118.58004760742188,3066,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.088372131644746
2015-02-03,150.0,157.5,150.0,155.3000030517578,122.76988983154297,4929,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.05
2015-02-04,156.60000610351562,157.3333282470703,146.6666717529297,147.93333435058594,116.9462890625,7246,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.07272720084702922
2015-02-05,146.6666717529297,150.0,140.86666870117188,147.6999969482422,116.76182556152344,7503,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.0648367096563003
2015-02-06,143.3333282470703,143.3333282470703,128.46665954589844,139.6666717529297,110.41121673583984,5620,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.11572394544796524
2015-02-09,163.26666259765625,167.60000610351562,143.36666870117188,167.60000610351562,132.49343872070312,37866,DTIL,Consumer Defensive,Packaged Foods,N/A,EQUITY,0.014099999,48.823,0.474,-134.3,0.16903048401616147
