Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2008-01-11,177.3000030517578,177.35000610351562,161.14999389648438,173.39999389648438,103.592529296875,7777,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.10052753844618462
2008-01-14,170.0500030517578,170.0500030517578,170.0,170.0,101.5613021850586,100,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.00029413559857536766
2008-01-15,172.5,172.5,170.0,170.0,101.5613021850586,446,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.014705882352941176
2008-01-16,170.0,170.0,170.0,170.0,101.5613021850586,1,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-01-17,177.9499969482422,178.5,177.9499969482422,178.5,106.63935852050781,410,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0030907730328187874
2008-01-18,170.0,173.0,170.0,173.0,103.35356140136719,850,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.01764705882352941
2008-01-21,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-01-22,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-01-23,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-01-24,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-01-25,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-01-28,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-01-29,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-01-30,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-01-31,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-01,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-04,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-05,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-06,173.0,173.0,173.0,173.0,103.35356140136719,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-07,168.5,168.5,168.5,168.5,100.66515350341797,1,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-08,168.5,168.5,168.5,168.5,100.66515350341797,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-11,168.5,168.5,168.5,168.5,100.66515350341797,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-12,168.5,168.5,168.5,168.5,100.66515350341797,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-13,168.5,168.5,168.5,168.5,100.66515350341797,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-14,168.5,168.5,168.5,168.5,100.66515350341797,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-15,168.5,168.5,168.5,168.5,100.66515350341797,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-18,168.0,168.0,168.0,168.0,100.3664779663086,1,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-19,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-20,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-21,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-22,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-25,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-26,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-27,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-28,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-02-29,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-03-03,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-03-04,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-03-05,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-03-07,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
2008-03-10,168.0,168.0,168.0,168.0,100.3664779663086,0,DVL,Financial Services,Capital Markets,N/A,EQUITY,0.0139,12.719,4.048,43.72,0.0
