Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2004-12-31,9.0,13.649999618530273,9.0,13.300000190734863,8.4456205368042,79284100,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.5166666242811415
2005-01-03,13.5,15.475000381469727,13.229999542236328,14.859999656677246,9.436233520507812,57136570,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.16969016756699867
2005-01-04,14.5,15.25,13.609999656677246,13.78499984741211,8.753599166870117,22432300,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.12049966088854
2005-01-05,13.850000381469727,14.744999885559082,12.425000190734863,13.425000190734863,8.524995803833008,30792510,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.18672029450383493
2005-01-06,13.005000114440918,15.789999961853027,13.005000114440918,14.664999961853027,9.312406539916992,40920010,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.2141483908423507
2005-01-07,13.869999885559082,15.140000343322754,13.869999885559082,14.800000190734863,9.398134231567383,15018110,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.0915645615171164
2005-01-10,15.199999809265137,15.84000015258789,14.755000114440918,14.96500015258789,9.502908706665039,12700710,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.07353439713531879
2005-01-11,14.96500015258789,15.699999809265137,14.699999809265137,15.244999885559082,9.680712699890137,11943040,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.06802721176701775
2005-01-12,15.449999809265137,15.625,14.229999542236328,14.84000015258789,9.42353343963623,10324970,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.09803236139419014
2005-01-13,15.149999618530273,15.449999809265137,15.005000114440918,15.244999885559082,9.680712699890137,4039480,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.029656760508515286
2005-01-14,15.380000114440918,16.485000610351562,14.824999809265137,15.404999732971191,9.782313346862793,17046030,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.1119730740265494
2005-01-17,15.619999885559082,15.619999885559082,14.399999618530273,14.5600004196167,9.245731353759766,4907370,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.08472224301026246
2005-01-18,14.649999618530273,14.800000190734863,14.25,14.395000457763672,9.14095401763916,3239990,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.038596504612972864
2005-01-19,14.579999923706055,15.050000190734863,14.305000305175781,14.375,9.128255844116211,4159690,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.0520796833041331
2005-01-20,14.375,14.479999542236328,13.399999618530273,13.989999771118164,8.883774757385254,2493330,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.08059701152622199
2005-01-24,14.145000457763672,14.270000457763672,13.654999732971191,13.805000305175781,8.766300201416016,1858770,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.04503850141479735
2005-01-25,13.824999809265137,13.989999771118164,13.609999656677246,13.8100004196167,8.769474983215332,1119540,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.027920655696305245
2005-01-27,13.960000038146973,14.600000381469727,13.779999732971191,14.390000343322754,9.13778018951416,3361780,DWARKESH,Consumer Defensive,Confectioners,N/A,EQUITY,0.028800001,55.441,2.155,4.44,0.05950657941861438
