Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2022-06-01,270.0,279.0,256.0,257.8999938964844,255.75404357910156,7383750,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.08984375
2022-06-02,255.89999389648438,259.0,253.75,255.89999389648438,253.7706756591797,965938,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.020689655172413793
2022-06-03,256.1000061035156,261.0,255.14999389648438,256.20001220703125,254.06820678710938,871504,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.02292771406410067
2022-06-06,256.20001220703125,259.6000061035156,254.0500030517578,257.5,255.3573760986328,325169,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.021846105038727772
2022-06-07,253.3000030517578,260.3999938964844,253.3000030517578,258.8500061035156,256.6961364746094,333655,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.028029967466189853
2022-06-08,256.0,259.0,253.0500030517578,255.35000610351562,253.22528076171875,178072,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.02351312735224587
2022-06-09,255.35000610351562,258.0,254.4499969482422,255.9499969482422,253.82028198242188,164921,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.013951672604971266
2022-06-10,253.89999389648438,255.0,252.0,253.1999969482422,251.0931396484375,132439,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.011904761904761904
2022-06-13,253.0,253.0,245.10000610351562,247.5500030517578,245.49017333984375,260250,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.03223171644127944
2022-06-14,245.0,256.0,244.10000610351562,255.0,252.87815856933594,235625,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.0487504858620853
2022-06-15,257.8999938964844,258.79998779296875,253.89999389648438,256.6000061035156,254.46487426757812,219168,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.01929891301408268
2022-06-16,256.1000061035156,258.75,253.75,256.8500061035156,254.71278381347656,301391,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.019704433497536946
2022-06-17,253.10000610351562,257.5,251.85000610351562,255.64999389648438,253.52276611328125,197431,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.022433963706802965
2022-06-20,252.25,254.3000030517578,248.0500030517578,251.25,249.1593780517578,118670,EMUDHRA,Technology,Software - Application,N/A,EQUITY,0.0014,1.154,5.804,9.5,0.025196532647072303
