Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2013-08-20,1.0787639617919922,1.0787639617919922,1.0787639617919922,1.0787639617919922,1.0787639617919922,4654,ESSENTIA,Consumer Defensive,Food Distribution,N/A,EQUITY,,6.299,0.762,0.15,0.0
2013-08-21,1.0300979614257812,1.0300979614257812,1.0300979614257812,1.0300979614257812,1.0300979614257812,61,ESSENTIA,Consumer Defensive,Food Distribution,N/A,EQUITY,,6.299,0.762,0.15,0.0
2013-08-22,1.0300979614257812,1.0300979614257812,1.0300979614257812,1.0300979614257812,1.0300979614257812,0,ESSENTIA,Consumer Defensive,Food Distribution,N/A,EQUITY,,6.299,0.762,0.15,0.0
2013-08-23,0.9814320206642151,0.9814320206642151,0.9814320206642151,0.9814320206642151,0.9814320206642151,30,ESSENTIA,Consumer Defensive,Food Distribution,N/A,EQUITY,,6.299,0.762,0.15,0.0
2013-08-26,0.9327660202980042,0.9327660202980042,0.9327660202980042,0.9327660202980042,0.9327660202980042,616,ESSENTIA,Consumer Defensive,Food Distribution,N/A,EQUITY,,6.299,0.762,0.15,0.0
2013-08-27,0.9327660202980042,0.9327660202980042,0.9327660202980042,0.9327660202980042,0.9327660202980042,0,ESSENTIA,Consumer Defensive,Food Distribution,N/A,EQUITY,,6.299,0.762,0.15,0.0
2013-08-28,0.8922110199928284,0.8922110199928284,0.8922110199928284,0.8922110199928284,0.8922110199928284,61,ESSENTIA,Consumer Defensive,Food Distribution,N/A,EQUITY,,6.299,0.762,0.15,0.0
2013-08-29,0.8516560196876526,0.8516560196876526,0.8516560196876526,0.8516560196876526,0.8516560196876526,6,ESSENTIA,Consumer Defensive,Food Distribution,N/A,EQUITY,,6.299,0.762,0.15,0.0
2013-08-30,0.8516560196876526,0.8516560196876526,0.8516560196876526,0.8516560196876526,0.8516560196876526,0,ESSENTIA,Consumer Defensive,Food Distribution,N/A,EQUITY,,6.299,0.762,0.15,0.0
2013-09-02,0.8516560196876526,0.8516560196876526,0.8516560196876526,0.8516560196876526,0.8516560196876526,0,ESSENTIA,Consumer Defensive,Food Distribution,N/A,EQUITY,,6.299,0.762,0.15,0.0
