Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2009-10-26,126.0,169.8000030517578,126.0,166.0,111.58322143554688,26247100,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.3476190718393477
2009-10-27,163.89999389648438,197.3000030517578,161.3000030517578,197.3000030517578,132.6227569580078,20307000,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.22318660458083409
2009-10-28,170.0,217.89999389648438,170.0,212.0,142.50389099121094,20217704,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.28176466997931987
2009-10-29,212.0,223.8000030517578,199.35000610351562,220.9499969482422,148.51998901367188,11128693,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.12264858891223782
2009-10-30,224.89999389648438,231.5,220.3000030517578,224.25,150.73822021484375,6075894,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.050839749401232794
2009-11-03,219.8000030517578,229.0,196.5500030517578,227.0,152.58676147460938,6928555,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.16509792136557272
2009-11-04,230.10000610351562,248.0,215.3000030517578,237.60000610351562,159.7119140625,7785254,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.1518810798176401
2009-11-05,236.0,244.39999389648438,207.35000610351562,214.64999389648438,144.2852020263672,10052767,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.1786833214486246
2009-11-06,202.0,221.6999969482422,202.0,215.0,144.52047729492188,3846460,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.09752473736753559
2009-11-09,214.0,230.8000030517578,213.60000610351562,229.89999389648438,154.53604125976562,2924296,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.08052432798108938
2009-11-10,232.39999389648438,244.5,231.0500030517578,242.6999969482422,163.14010620117188,3429791,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.05821249413802966
2009-11-11,245.89999389648438,258.8500061035156,240.8000030517578,252.5500030517578,169.76112365722656,3468535,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.07495848348423038
2009-11-12,256.3999938964844,266.5,243.0,247.0,166.0304718017578,4254703,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.09670781893004116
2009-11-13,249.6999969482422,256.0,245.60000610351562,254.6999969482422,171.20635986328125,2192213,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.04234525096917538
2009-11-16,255.0,262.0,253.0,260.0,174.76895141601562,1307857,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.03557312252964427
2009-11-17,264.79998779296875,265.29998779296875,258.04998779296875,258.5,173.76068115234375,779818,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.028095331691379934
2009-11-18,260.5,260.79998779296875,247.39999389648438,255.0,171.40797424316406,1478793,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.05416327496794976
2009-11-19,255.25,265.1000061035156,254.14999389648438,264.70001220703125,177.92822265625,1507732,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.04308484151091974
2009-11-20,264.0,293.29998779296875,262.20001220703125,278.8999938964844,187.4732666015625,5155758,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.11861164812372771
2009-11-23,283.0,296.79998779296875,282.5,295.0,198.2955322265625,2653106,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.05061942581581858
2009-11-24,297.3999938964844,305.25,291.75,298.1000061035156,200.37936401367188,2233779,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.04627249357326478
2009-11-25,308.70001220703125,308.70001220703125,293.5,295.5,198.63160705566406,968282,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.05178879797966354
2009-11-26,295.0,304.29998779296875,291.0,304.0,204.34521484375,1336931,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.045704425405390894
2009-11-27,299.8999938964844,321.0,297.0,319.8999938964844,215.03297424316406,3373600,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.08080808080808081
2009-11-30,321.0,335.29998779296875,298.1000061035156,299.25,201.15231323242188,6095296,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.1247902748332564
2009-12-01,301.8999938964844,309.79998779296875,288.29998779296875,291.04998779296875,195.640380859375,3223083,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.07457509854436545
2009-12-02,293.0,302.8999938964844,282.0,300.6000061035156,202.0597686767578,3381141,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.07411345353363254
2009-12-03,303.0,309.5,300.04998779296875,302.04998779296875,203.0344696044922,1928232,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.03149479283949065
2009-12-04,305.0,310.79998779296875,301.25,301.79998779296875,202.86639404296875,1530405,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.031701204292012446
2009-12-07,303.0,312.0,257.0,258.0,173.424560546875,6402915,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.2140077821011673
2009-12-08,260.0,267.0,238.3000030517578,259.95001220703125,174.73532104492188,5688530,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.1204364103260572
2009-12-09,260.0,268.3500061035156,251.10000610351562,262.25,176.28138732910156,2233280,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.06869772831820925
2009-12-10,262.20001220703125,267.45001220703125,258.6000061035156,266.8999938964844,179.4070281982422,1548242,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.03422276061344343
2009-12-11,268.5,272.70001220703125,258.1000061035156,262.25,176.28138732910156,780688,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.056567244317150586
2009-12-14,262.0,281.95001220703125,253.0,278.8999938964844,187.4732666015625,3510313,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.1144269257194911
2009-12-15,281.0,296.5,275.0,284.1499938964844,191.0022735595703,4348421,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.07818181818181819
2009-12-16,287.0,295.6000061035156,285.04998779296875,293.0,196.951171875,2004928,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.037011116514094826
2009-12-17,293.0,298.79998779296875,291.29998779296875,294.5,197.95944213867188,1278298,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.02574665401404123
2009-12-18,294.25,298.70001220703125,290.1000061035156,291.25,195.77481079101562,625908,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.029644970432875162
2009-12-21,294.8999938964844,295.5,286.5,292.5,196.6150360107422,744260,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.031413612565445025
2009-12-22,294.8999938964844,303.70001220703125,293.1000061035156,297.8999938964844,200.244873046875,1134913,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.03616515142538744
2009-12-23,302.0,314.3999938964844,298.0,306.0,205.68959045410156,2201063,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.05503353656538381
2009-12-24,309.70001220703125,325.0,304.1499938964844,306.3999938964844,205.95849609375,1014318,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.06855172290620462
2009-12-29,308.79998779296875,315.8999938964844,303.0,304.1499938964844,204.446044921875,1169202,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.04257423728212665
2009-12-30,309.20001220703125,332.6000061035156,304.25,329.0,221.14991760253906,3102096,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.0931799707592954
2009-12-31,333.70001220703125,338.8999938964844,321.04998779296875,323.3999938964844,217.38568115234375,1891802,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.05559883750883779
2010-01-04,325.70001220703125,350.8999938964844,321.04998779296875,349.95001220703125,235.23226928710938,3373466,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.09297619448210227
2010-01-05,354.6499938964844,369.0,350.3500061035156,354.54998779296875,238.3242950439453,2893651,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.05323246345534238
2010-01-06,355.6000061035156,360.5,346.0,350.04998779296875,235.29949951171875,1299634,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.04190751445086705
2010-01-07,352.70001220703125,354.8500061035156,345.1000061035156,349.0,234.59373474121094,615820,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.028252679882814623
2010-01-08,352.0,363.70001220703125,346.1000061035156,362.54998779296875,243.7018280029297,1640321,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.05085237154908229
2010-01-11,365.5,411.79998779296875,363.1499938964844,404.70001220703125,272.0346374511719,6907238,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.1339666658795319
2010-01-12,410.0,424.79998779296875,393.29998779296875,419.29998779296875,281.8484802246094,6947494,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.0800915356666155
2010-01-13,418.79998779296875,426.79998779296875,405.79998779296875,409.5,275.2610168457031,3015608,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.05174963191648441
2010-01-14,411.0,424.0,406.0,422.5,283.99951171875,1928484,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.04433497536945813
2010-01-15,422.5,446.79998779296875,421.20001220703125,439.3999938964844,295.3595275878906,3062371,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.060778667720822424
2010-01-18,438.8999938964844,455.25,424.6000061035156,428.0,287.696533203125,2932807,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.07218557102189971
2010-01-19,433.6499938964844,442.70001220703125,415.0,438.0,294.4184265136719,3274066,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.06674701736634037
2010-01-20,443.95001220703125,470.0,442.0,466.8999938964844,313.84466552734375,0,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.06334841628959276
2010-01-21,469.95001220703125,474.70001220703125,443.04998779296875,466.0,313.2397155761719,0,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.07143668950703623
2010-01-22,459.8999938964844,477.8999938964844,447.25,460.0,309.20654296875,0,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.06852989132808134
2010-01-25,457.45001220703125,487.8500061035156,457.45001220703125,481.6000061035156,323.7257995605469,0,EXPLEOSOL,Technology,Information Technology Services,N/A,EQUITY,0.0039,4.263,5.768,58.27,0.06645533519567608
