Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2015-01-15,23.9950008392334,24.985000610351562,23.0,24.604999542236328,23.663124084472656,631430,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.08630437436311142
2015-01-16,24.399999618530273,24.399999618530273,22.610000610351562,23.600000381469727,22.69659423828125,41940,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.07916846350544518
2015-01-19,24.100000381469727,25.100000381469727,24.100000381469727,24.934999465942383,23.98048973083496,331430,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.041493775276820785
2015-01-20,25.0,25.0,24.295000076293945,24.295000076293945,23.364988327026367,1200,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.02901831329459284
2015-01-21,23.975000381469727,24.69499969482422,23.729999542236328,24.424999237060547,23.49001121520996,950,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.04066583106629713
2015-01-22,24.399999618530273,24.850000381469727,22.010000228881836,22.065000534057617,21.220352172851562,1420,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.12903226365537251
2015-01-23,24.270000457763672,24.270000457763672,23.950000762939453,24.2450008392334,23.316904067993164,5350,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.01336115593446621
2015-01-27,26.665000915527344,26.665000915527344,23.225000381469727,24.395000457763672,23.461164474487305,45180,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.14811627459874024
2015-01-28,24.299999237060547,25.100000381469727,23.520000457763672,23.864999771118164,22.951454162597656,10520,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.06717686619706317
2015-01-29,23.514999389648438,26.0,21.479999542236328,25.790000915527344,24.802762985229492,42540,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.21042833119600174
2015-01-30,26.469999313354492,26.5,25.0,25.905000686645508,24.913360595703125,993090,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.06
2015-02-02,26.264999389648438,26.270000457763672,25.225000381469727,25.8700008392334,24.87969970703125,428980,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.04142715799765069
2015-02-03,26.399999618530273,26.46500015258789,25.600000381469727,25.924999237060547,24.932592391967773,23320,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.03378905305580716
2015-02-04,26.0,26.799999237060547,25.0,26.325000762939453,25.317283630371094,15820,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.07199996948242188
2015-02-05,26.600000381469727,26.700000762939453,25.1299991607666,25.700000762939453,24.716205596923828,18450,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.0624751951692846
2015-02-06,25.399999618530273,26.389999389648438,24.924999237060547,25.864999771118164,24.87489128112793,80330,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.05877633690795093
2015-02-09,26.600000381469727,27.0,24.905000686645508,25.34000015258789,24.36998748779297,154190,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.08411962479799757
2015-02-10,25.5,25.5,21.4950008392334,24.649999618530273,23.706401824951172,365140,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.18632235424045868
2015-02-11,24.799999237060547,27.709999084472656,23.600000381469727,27.010000228881836,25.976057052612305,337850,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.17415248460038257
2015-02-12,29.780000686645508,29.780000686645508,23.709999084472656,25.030000686645508,24.071853637695312,135030,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.2560101997704424
2015-02-13,26.790000915527344,26.790000915527344,24.100000381469727,24.969999313354492,24.014150619506836,18410,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.11161827765471466
2015-02-16,24.799999237060547,26.399999618530273,24.200000762939453,24.329999923706055,23.398651123046875,14520,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.09090904075341845
2015-02-18,23.600000381469727,27.399999618530273,23.200000762939453,25.530000686645508,24.552711486816406,16990,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.1810344274772635
2015-02-19,25.899999618530273,26.979999542236328,25.5,25.5,24.523860931396484,25555,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.058039197734757964
2015-02-20,24.65999984741211,27.579999923706055,21.399999618530273,27.010000228881836,25.976057052612305,1978215,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.288785066137315
2015-02-23,27.559999465942383,27.959999084472656,25.899999618530273,26.329999923706055,25.32209014892578,264200,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.07953666008815485
2015-02-24,27.350000381469727,27.360000610351562,25.0,25.389999389648438,24.418073654174805,242155,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.0944000244140625
2015-02-25,25.399999618530273,28.780000686645508,25.399999618530273,26.84000015258789,25.81256675720215,460645,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.13307091019203773
2015-02-26,27.0,29.979999542236328,26.0,26.239999771118164,25.23553466796875,287560,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.153076905470628
2015-02-27,28.0,28.399999618530273,24.799999237060547,25.200000762939453,24.2353458404541,709985,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.14516131017012165
2015-03-02,26.760000228881836,27.600000381469727,25.700000762939453,25.809999465942383,24.82199478149414,790340,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.0739299440516032
2015-03-03,26.360000610351562,27.049999237060547,25.329999923706055,25.469999313354492,24.495010375976562,204755,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.06790364463225934
2015-03-04,25.799999237060547,28.0,25.510000228881836,25.790000915527344,24.802762985229492,1376435,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.09760877102223792
2015-03-05,25.979999542236328,26.739999771118164,25.010000228881836,25.979999542236328,24.985488891601562,1656320,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.06917231213130917
2015-03-09,25.399999618530273,26.3700008392334,24.799999237060547,25.260000228881836,24.293048858642578,1583035,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.0633065181641892
2015-03-10,25.799999237060547,25.799999237060547,24.190000534057617,24.399999618530273,23.465967178344727,87240,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.0665563731896648
2015-03-11,25.799999237060547,25.799999237060547,24.100000381469727,24.739999771118164,23.792951583862305,229125,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.070539370484738
2015-03-12,25.31999969482422,25.760000228881836,24.0,24.450000762939453,23.514055252075195,389120,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.07333334287007649
2015-03-13,24.600000381469727,25.0,23.799999237060547,24.149999618530273,23.22553825378418,240015,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.05042020173979052
2015-03-16,24.969999313354492,24.969999313354492,23.600000381469727,24.360000610351562,23.427499771118164,212940,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.058050801260175526
2015-03-17,24.790000915527344,24.790000915527344,23.420000076293945,23.780000686645508,22.86970329284668,57640,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.05849704674510794
2015-03-18,23.799999237060547,23.799999237060547,22.200000762939453,22.59000015258789,21.725257873535156,51865,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.07207200086191536
2015-03-19,22.360000610351562,23.110000610351562,21.600000381469727,22.239999771118164,21.388656616210938,98635,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.06990741676917929
2015-03-20,22.200000762939453,23.0,21.799999237060547,22.030000686645508,21.18669319152832,42170,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.055045908483309564
2015-03-23,21.799999237060547,22.700000762939453,21.6200008392334,22.219999313354492,21.369417190551758,30090,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.049953741063053045
2015-03-24,22.0,22.56999969482422,20.399999618530273,20.739999771118164,19.946073532104492,308150,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.10637255474862033
2015-03-25,21.59000015258789,21.59000015258789,19.0,19.959999084472656,19.19593620300293,282360,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.13631579750462583
2015-03-26,19.399999618530273,20.56999969482422,19.0,19.31999969482422,18.580429077148438,28475,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.08263156288548519
2015-03-27,19.200000762939453,21.600000381469727,19.200000762939453,20.0,19.23440170288086,912665,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.12499997516473232
2015-03-30,19.799999237060547,24.0,19.700000762939453,22.1200008392334,21.273250579833984,325055,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.2182740644939417
2015-03-31,22.1200008392334,23.579999923706055,21.600000381469727,22.200000762939453,21.350189208984375,470065,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.0916666438550129
2015-04-01,23.360000610351562,23.979999542236328,22.0,23.510000228881836,22.610036849975586,343450,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.08999997919256036
2015-04-06,23.299999237060547,23.989999771118164,23.0,23.290000915527344,22.398462295532227,78800,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.0430434683094854
2015-04-07,23.399999618530273,23.799999237060547,22.420000076293945,22.959999084472656,22.081090927124023,30735,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.06155214790680399
2015-04-08,23.799999237060547,25.940000534057617,23.200000762939453,23.739999771118164,22.831233978271484,122695,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.11810343452639631
2015-04-09,24.479999542236328,25.399999618530273,23.5,24.729999542236328,23.78333854675293,972490,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.08085104759703292
2015-04-10,25.600000381469727,26.0,24.399999618530273,25.31999969482422,24.350753784179688,484585,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.0655737871509894
2015-04-13,25.600000381469727,26.959999084472656,25.239999771118164,25.75,24.764291763305664,977720,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.06814577373026236
2015-04-15,26.290000915527344,26.299999237060547,25.219999313354492,25.229999542236328,24.264196395874023,270160,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.0428231543659945
2015-04-16,25.579999923706055,25.579999923706055,24.649999618530273,24.739999771118164,23.792951583862305,350755,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.03772820769038338
2015-04-17,25.299999237060547,28.0,24.200000762939453,26.959999084472656,25.9279727935791,1292575,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.15702475691157705
2015-04-20,26.399999618530273,26.700000762939453,25.479999542236328,25.6299991607666,24.648883819580078,111240,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.04788073950632606
2015-04-21,25.489999771118164,25.799999237060547,25.0,25.1200008392334,24.158411026000977,42835,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.031999969482421876
2015-04-22,25.790000915527344,28.770000457763672,24.850000381469727,27.780000686645508,26.716581344604492,933515,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.15774647952186877
2015-04-23,28.399999618530273,29.34000015258789,27.0,28.059999465942383,26.98586654663086,827255,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.08666667231807003
2015-04-24,28.1200008392334,29.34000015258789,26.219999313354492,26.450000762939453,25.437496185302734,102105,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.11899317013499329
2015-04-27,27.020000457763672,27.389999389648438,25.219999313354492,25.799999237060547,24.8123779296875,229910,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.08604282852398362
2015-04-28,25.200000762939453,26.0,25.200000762939453,25.329999923706055,24.360368728637695,121705,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.03174600050953455
2015-04-29,25.219999313354492,26.799999237060547,25.030000686645508,25.170000076293945,24.206497192382812,69895,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.07071508197598265
2015-04-30,25.600000381469727,26.200000762939453,24.399999618530273,24.40999984741211,23.475589752197266,46060,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.07377053985862325
2015-05-04,25.59000015258789,25.600000381469727,24.399999618530273,24.719999313354492,23.773719787597656,120395,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.04918035990574884
2015-05-05,25.0,26.200000762939453,24.0,25.309999465942383,24.34113311767578,389290,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.09166669845581055
2015-05-06,25.200000762939453,25.200000762939453,24.040000915527344,24.5,23.56214714050293,37400,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.04825290362875444
2015-05-07,24.600000381469727,24.969999313354492,23.25,23.530000686645508,22.629270553588867,17930,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.0739784650905158
2015-05-08,24.020000457763672,24.690000534057617,23.579999923706055,24.1200008392334,23.196687698364258,195955,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.04707381738519974
2015-05-11,24.399999618530273,25.149999618530273,23.020000457763672,23.940000534057617,23.023578643798828,7635,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.09252819801957228
2015-05-12,22.799999237060547,24.579999923706055,22.799999237060547,23.440000534057617,22.542722702026367,11955,FCL,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0050999997,1.144,3.197,10.8,0.07807020816703289
