Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2018-07-02,815.0,833.7000122070312,786.6500244140625,822.7999877929688,807.1121215820312,5816448,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.05981057183340712
2018-07-03,828.9000244140625,858.7999877929688,805.0,821.75,806.0822143554688,1176283,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.06683228297263198
2018-07-04,818.0,829.9000244140625,810.0999755859375,818.75,803.1394653320312,219001,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.02444148799511297
2018-07-05,815.25,845.0,815.25,820.2000122070312,804.5618286132812,250488,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.036491873658387
2018-07-06,817.0,834.4000244140625,795.6500244140625,807.0499877929688,791.6624755859375,153593,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.04870231736439211
2018-07-09,807.4000244140625,811.9500122070312,803.2999877929688,805.1500244140625,789.7987670898438,44413,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.010768112218983172
2018-07-10,805.0,818.0,802.9500122070312,807.9000244140625,792.4962768554688,65781,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.01874336828466015
2018-07-11,810.0,817.7999877929688,805.0999755859375,809.7000122070312,794.261962890625,39424,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.015774453598496767
2018-07-12,814.7999877929688,824.0,806.5499877929688,819.6500244140625,804.022216796875,83971,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.021635375948341654
2018-07-13,819.5499877929688,821.2000122070312,805.0,805.7999877929688,790.4361572265625,24129,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.020124238766498447
2018-07-16,804.0,809.0,775.0,790.4500122070312,775.3790283203125,51702,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.04387096774193548
2018-07-17,779.9000244140625,797.0,772.0,789.9000244140625,774.8394775390625,23591,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.03238341968911917
2018-07-18,790.0,794.0,780.0,780.4000244140625,765.5205688476562,39317,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.017948717948717947
2018-07-19,778.0,792.0,745.5499877929688,782.0,767.090087890625,77643,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.06230301518015707
2018-07-20,772.0,782.0499877929688,745.5999755859375,751.5499877929688,737.2206420898438,13781,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.04888682054795754
2018-07-23,767.75,767.75,735.0,750.5,736.1906127929688,11241,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.0445578231292517
2018-07-24,736.5999755859375,785.0,736.5999755859375,770.7999877929688,756.1036376953125,16201,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.06570733915048274
2018-07-25,771.0,778.9500122070312,759.0999755859375,761.4500122070312,746.9318237304688,10209,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.026149436516279444
2018-07-26,775.0,787.0,762.0499877929688,784.9500122070312,769.9838256835938,16558,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.032740650359815486
2018-07-27,798.7999877929688,818.4000244140625,785.0,809.7999877929688,794.3600463867188,46360,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.0425478018013535
2018-07-30,810.0,833.8499755859375,810.0,825.0,809.270263671875,55960,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.029444414303626543
2018-07-31,808.0,832.4500122070312,808.0,827.75,811.9677734375,22306,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.03025991609781095
2018-08-01,831.0,832.7999877929688,802.0,804.25,788.915771484375,10893,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.038403974804200436
2018-08-02,803.8499755859375,810.9500122070312,794.5,800.5,785.2373046875,5597,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.02070486117939742
2018-08-03,800.0,800.0,792.5,794.7000122070312,779.5479736328125,16356,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.00946372239747634
2018-08-06,795.0,801.9500122070312,785.0,800.0999755859375,784.8450317382812,12710,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.021592372238256368
2018-08-07,791.5999755859375,812.0,791.5999755859375,808.0,792.5942993164062,11394,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.02577062284389603
2018-08-08,810.0,819.0,805.25,806.75,791.3681030273438,8374,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.017075442409189692
2018-08-09,812.0,813.0,800.0,800.7999877929688,785.5316162109375,8389,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.01625
2018-08-10,801.0499877929688,806.0,797.0,799.5999755859375,784.3544311523438,12724,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.011292346298619825
2018-08-13,807.0,808.0,791.0,793.9500122070312,778.8123168945312,11305,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.021491782553729456
2018-08-14,845.0,849.0,801.0,817.8499755859375,802.256591796875,115333,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.0599250936329588
2018-08-16,803.0999755859375,832.0499877929688,803.0999755859375,829.7999877929688,813.9786987304688,51241,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.03604783101370346
2018-08-17,832.0499877929688,838.0,819.75,827.0,811.2320556640625,27566,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.022262885025922538
2018-08-20,850.0,850.0,832.0,840.8499755859375,824.8180541992188,23579,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.021634615384615384
2018-08-21,834.0,909.7999877929688,834.0,898.4500122070312,881.31982421875,167508,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.0908872755311376
2018-08-23,881.0,989.7999877929688,881.0,975.2999877929688,956.7045288085938,221176,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.12349601338588961
2018-08-24,980.0999755859375,1020.0,947.0,974.5999755859375,956.017822265625,172806,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.07708553326293559
2018-08-27,978.7000122070312,1000.0,965.0,969.5499877929688,951.064208984375,61120,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.03626943005181347
2018-08-28,970.0,975.0,951.2000122070312,956.9500122070312,938.7044067382812,17039,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.02502101291793152
2018-08-29,953.0,1015.0,953.0,997.5499877929688,978.5302734375,74188,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.06505771248688352
2018-08-30,998.0,1033.800048828125,990.0,1004.1500244140625,985.0044555664062,68241,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.044242473563762624
2018-08-31,990.7000122070312,1056.699951171875,986.0,1051.699951171875,1031.647705078125,61319,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.0717038044339503
2018-09-03,1051.6500244140625,1244.0,1045.0,1114.0,1092.7601318359375,442037,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.19043062200956937
2018-09-04,1125.0,1164.4000244140625,1065.0,1096.8499755859375,1075.9368896484375,164094,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.09333335625733569
2018-09-05,1098.4000244140625,1147.800048828125,1070.0,1140.1500244140625,1118.411376953125,127026,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.07271032600759346
2018-09-06,1147.9000244140625,1159.949951171875,1121.0999755859375,1139.0,1117.2835693359375,49712,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.034653444324296546
2018-09-07,1138.0,1163.699951171875,1108.0,1125.6500244140625,1104.1881103515625,45048,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.05027071405403881
2018-09-10,1120.0,1143.0,1100.699951171875,1107.0999755859375,1085.991455078125,30039,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.03843013600853683
2018-09-11,1115.949951171875,1152.0,1092.0,1097.949951171875,1077.0159912109375,53209,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.054945054945054944
2018-09-12,1101.199951171875,1117.0,1071.8499755859375,1096.300048828125,1075.3974609375,31368,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.04212345518726237
2018-09-14,1106.9000244140625,1140.0,1100.6500244140625,1133.25,1111.64306640625,21492,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.03575157835197041
2018-09-17,1133.0,1139.5999755859375,1102.5,1122.050048828125,1100.6566162109375,14389,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.033650771506519274
2018-09-18,1128.800048828125,1137.9000244140625,1102.0,1109.6500244140625,1088.492919921875,8212,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.03257715464071007
2018-09-19,1110.0,1114.0,1022.0,1059.050048828125,1045.4527587890625,23785,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.09001956947162426
2018-09-21,1068.050048828125,1196.25,1000.0,1099.8499755859375,1085.7288818359375,55459,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.19625
2018-09-24,1130.050048828125,1190.0,1102.0,1164.5999755859375,1149.6475830078125,50494,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.07985480943738657
2018-09-25,1153.0,1189.5,1062.1500244140625,1118.25,1103.8927001953125,40072,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.11989829370496922
2018-09-26,1121.0,1130.5999755859375,1080.0,1104.800048828125,1090.615478515625,9673,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.04685182924623842
2018-09-27,1114.800048828125,1115.0,1085.0999755859375,1097.9000244140625,1083.803955078125,5551,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.02755508716873479
2018-09-28,1086.0,1105.949951171875,1055.0,1058.5999755859375,1045.008544921875,12587,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.048293792579976305
2018-10-01,1000.0,1076.0,998.0,1069.449951171875,1055.71923828125,28722,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.0781563126252505
2018-10-03,1032.550048828125,1072.75,1012.0,1028.8499755859375,1015.6404418945312,6610,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.060029644268774704
2018-10-04,1020.0,1033.949951171875,991.4000244140625,1021.75,1008.6317138671875,10468,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.04291902936250215
2018-10-05,1010.0499877929688,1049.449951171875,1005.0,1020.3499755859375,1007.2496337890625,6455,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.04422880713619403
2018-10-08,1041.949951171875,1062.0,1017.0,1039.5,1026.1536865234375,8954,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.04424778761061947
2018-10-09,1033.75,1057.800048828125,1020.0,1034.050048828125,1020.7737426757812,6116,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.037058871400122546
2018-10-10,1054.949951171875,1138.949951171875,1035.050048828125,1113.5999755859375,1099.3023681640625,18877,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.10038152499136115
2018-10-11,1080.0,1130.0,1046.050048828125,1059.5999755859375,1045.99560546875,10806,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.08025423952316903
2018-10-12,1067.949951171875,1107.0,1046.1500244140625,1099.6500244140625,1085.531494140625,9946,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.058165630326318565
2018-10-15,1110.550048828125,1111.0,1086.800048828125,1090.0,1076.0052490234375,2174,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.022267160548961447
2018-10-16,1080.8499755859375,1180.0,1080.8499755859375,1116.5,1102.165283203125,149833,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.09173338266516819
2018-10-17,1136.0,1136.0,1090.050048828125,1095.050048828125,1080.99072265625,153603,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.04215398294901615
2018-10-19,1080.0,1110.0,1035.0,1056.550048828125,1042.9849853515625,9065,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.07246376811594203
2018-10-22,1051.0,1087.300048828125,1025.75,1040.25,1026.8941650390625,3838,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.0600049220844504
2018-10-23,1031.6500244140625,1069.949951171875,1027.050048828125,1042.949951171875,1029.5595703125,7502,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.041770021229928615
2018-10-24,1057.0,1085.050048828125,1026.0,1034.8499755859375,1021.5634765625,5328,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.05755365382858187
2018-10-25,1040.0,1046.0,1030.0,1039.699951171875,1026.3511962890625,5427,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.015533980582524271
2018-10-26,1053.5999755859375,1053.5999755859375,1017.0,1038.3499755859375,1025.0185546875,11847,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.035988176584009345
2018-10-29,1048.0,1097.0,1040.050048828125,1094.300048828125,1080.250244140625,13177,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.0547569333187795
2018-10-30,1102.0,1121.800048828125,1070.199951171875,1077.0,1063.17236328125,3638,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.04821538031257393
2018-10-31,1070.0,1141.0,1070.0,1128.5,1114.01123046875,20987,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.06635514018691589
2018-11-01,1126.0,1172.0,1117.25,1141.25,1126.597412109375,15301,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.049004251510405016
2018-11-02,1132.050048828125,1175.0,1120.0,1127.300048828125,1112.82666015625,10667,FINEORG,Basic Materials,Specialty Chemicals,N/A,EQUITY,0.0019,0.22,9.13,134.48,0.049107142857142856
