Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2013-10-01,140.0,140.0,133.0,133.0,130.28775024414062,64001,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.05263157894736842
2013-10-03,126.3499984741211,126.3499984741211,126.3499984741211,126.3499984741211,123.77334594726562,1192,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.0
2013-10-04,120.05000305175781,120.05000305175781,120.05000305175781,120.05000305175781,117.60182189941406,180,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.0
2013-10-07,114.05000305175781,114.05000305175781,114.05000305175781,114.05000305175781,111.72417449951172,138,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.0
2013-10-08,108.3499984741211,108.3499984741211,108.3499984741211,108.3499984741211,106.14041900634766,747,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.0
2013-10-09,102.94999694824219,102.94999694824219,102.94999694824219,102.94999694824219,100.85053253173828,2439,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.0
2013-10-10,97.8499984741211,97.8499984741211,97.8499984741211,97.8499984741211,95.85453796386719,1108,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.0
2013-10-11,93.0,93.0,93.0,93.0,91.10344696044922,10811,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.0
2013-10-14,88.3499984741211,94.0,88.3499984741211,88.3499984741211,86.54827117919922,1913176,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.06395021645115102
2013-10-15,83.94999694824219,91.4000015258789,83.94999694824219,84.80000305175781,83.0706787109375,1563250,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.08874335733722398
2013-10-17,87.80000305175781,87.80000305175781,78.0999984741211,82.69999694824219,81.01348876953125,595162,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.12419980495711372
2013-10-18,82.5,83.44999694824219,79.25,81.5999984741211,79.9359359741211,682754,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.05299680691788249
2013-10-21,81.5,84.05000305175781,80.30000305175781,83.4000015258789,81.69921875,954426,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.046699873692195464
2013-10-22,83.5,83.8499984741211,76.0999984741211,79.55000305175781,77.927734375,361467,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.10183968666747739
2013-10-23,80.05000305175781,82.0,78.5999984741211,79.6500015258789,78.02570343017578,27098,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.043257017708446276
2013-10-24,79.0,81.5,77.25,77.9000015258789,76.31138610839844,66140,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.05501618122977346
2013-10-25,75.19999694824219,77.94999694824219,74.05000305175781,75.8499984741211,74.30318450927734,106530,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.05266703221819511
2013-10-28,75.0999984741211,77.0,69.0999984741211,74.0999984741211,72.5888900756836,56278,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.11432708683542976
2013-10-29,71.1500015258789,76.0,70.80000305175781,74.3499984741211,72.83377075195312,74327,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.07344628141386898
2013-10-30,72.69999694824219,74.4000015258789,71.5,73.69999694824219,72.19702911376953,20460,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.040559461900404284
2013-10-31,72.0999984741211,73.94999694824219,70.0,70.69999694824219,69.25820922851562,79358,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.05642852783203125
2013-11-01,64.25,73.0,64.25,72.05000305175781,70.58068084716797,174432,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.13618677042801555
2013-11-05,70.30000305175781,79.4000015258789,70.30000305175781,73.44999694824219,71.95213317871094,274492,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.12944520738386445
2013-11-06,73.0,75.80000305175781,71.0,71.94999694824219,70.48272705078125,40739,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.0676056767853213
2013-11-07,75.0,75.0,71.0999984741211,73.0,71.51129913330078,442942,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.054852343313318425
2013-11-08,72.0,73.8499984741211,71.25,72.80000305175781,71.31539154052734,38125,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.03649120665433114
2013-11-11,69.0,75.0,69.0,71.5999984741211,70.13986206054688,30275,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.08695652173913043
2013-11-12,69.4000015258789,71.0,67.6500015258789,70.0999984741211,68.67044830322266,97691,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.049519562432523846
2013-11-13,70.25,72.5999984741211,68.0,70.0,68.5724868774414,53056,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.06764703638413373
2013-11-14,68.0,70.9000015258789,68.0,69.19999694824219,67.7887954711914,34686,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.042647081262925095
2013-11-18,70.0,73.0,70.0,71.94999694824219,70.48272705078125,41928,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.04285714285714286
2013-11-19,70.55000305175781,74.80000305175781,69.0999984741211,70.69999694824219,69.25820922851562,520865,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.08248921423307194
2013-11-20,69.5,71.5,68.69999694824219,69.94999694824219,68.52349853515625,418378,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.0407569603513564
2013-11-21,68.55000305175781,69.69999694824219,66.75,67.8499984741211,66.4663314819336,28529,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.044194710835088954
2013-11-22,66.94999694824219,67.5,61.0,62.54999923706055,61.274417877197266,144798,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.10655737704918032
2013-11-25,61.5,64.75,58.04999923706055,60.5,59.26622009277344,143511,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.11541775798443091
2013-11-26,60.25,60.400001525878906,57.099998474121094,58.54999923706055,57.355987548828125,65136,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.05779339999901125
2013-11-27,56.150001525878906,58.5,55.5,56.20000076293945,55.05390930175781,113775,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.05405405405405406
2013-11-28,56.25,67.4000015258789,56.0,66.75,65.38876342773438,1654190,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.2035714558192662
2013-11-29,70.0,72.94999694824219,65.0999984741211,65.75,64.4091567993164,294413,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.12058369674527208
2013-12-02,65.0999984741211,70.4000015258789,63.70000076293945,67.30000305175781,65.92755889892578,65849,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.10518054446927891
2013-12-03,66.3499984741211,69.5,66.3499984741211,67.3499984741211,65.97652435302734,47229,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.04747553275540046
2013-12-04,66.55000305175781,68.5,63.900001525878906,64.05000305175781,62.74382781982422,158285,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.07198745484001494
2013-12-05,64.25,71.69999694824219,64.25,66.9000015258789,65.53570556640625,134214,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.11595325989482004
2013-12-06,64.4000015258789,68.0,64.4000015258789,65.5999984741211,64.26220703125,17200,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.05590059609974462
2013-12-09,66.1500015258789,68.69999694824219,64.05000305175781,68.0999984741211,66.71123504638672,86810,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.07259943286383276
2013-12-10,66.0999984741211,69.6500015258789,66.0999984741211,69.0,67.59288024902344,42992,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.05370655270359317
2013-12-11,66.0,71.69999694824219,66.0,70.05000305175781,68.62146759033203,160037,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.08636359012488162
2013-12-12,66.75,70.44999694824219,66.75,68.69999694824219,67.29899597167969,76275,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.05543066589126873
2013-12-13,66.05000305175781,68.0,65.9000015258789,66.0,64.65406036376953,24434,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.03186644044759886
2013-12-16,65.55000305175781,67.69999694824219,61.0,62.900001525878906,61.61727523803711,79686,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.1098360155449539
2013-12-17,62.79999923706055,65.0,61.5,62.95000076293945,61.666259765625,87809,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.056910569105691054
2013-12-18,64.0,64.80000305175781,61.0,61.95000076293945,60.6866569519043,34016,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.062295131996029714
2013-12-19,61.599998474121094,63.95000076293945,61.599998474121094,63.20000076293945,61.91115951538086,15285,FLFL,Consumer Cyclical,Apparel Manufacturing,N/A,EQUITY,,,0.675,-107.11,0.03814938875048226
