Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Sector,Industry,Market,QuoteType,Dividend Yield,Debt-to-Equity Ratio,Current Ratio,Earning per Share,Variability Index
2010-12-31,150.0,190.0,57.400001525878906,104.0999984741211,104.0999984741211,133879,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,2.3101044416233703
2011-01-03,108.0,109.3499984741211,98.9000015258789,98.9000015258789,98.9000015258789,18535,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.105662252649286
2011-01-04,93.94999694824219,93.94999694824219,93.94999694824219,93.94999694824219,93.94999694824219,903,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-01-05,89.25,89.25,89.25,89.25,89.25,319,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-01-06,84.80000305175781,84.80000305175781,84.80000305175781,84.80000305175781,84.80000305175781,457,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-01-07,80.5999984741211,80.5999984741211,80.5999984741211,80.5999984741211,80.5999984741211,627,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-01-10,76.5999984741211,76.5999984741211,76.5999984741211,76.5999984741211,76.5999984741211,445,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-01-11,72.80000305175781,72.80000305175781,72.80000305175781,72.80000305175781,72.80000305175781,1698,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-01-12,69.19999694824219,69.19999694824219,69.19999694824219,69.19999694824219,69.19999694824219,1789,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-01-13,65.75,65.75,65.75,65.75,65.75,10045,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-01-14,59.20000076293945,59.20000076293945,59.20000076293945,59.20000076293945,59.20000076293945,16323,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-01-17,53.29999923706055,53.29999923706055,53.29999923706055,53.29999923706055,53.29999923706055,4844,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-01-18,48.0,53.0,48.0,48.0,48.0,780154,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.10416666666666667
2011-01-19,45.599998474121094,47.5,45.599998474121094,45.650001525878906,45.650001525878906,312247,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.041666701523185246
2011-01-20,43.400001525878906,47.95000076293945,43.400001525878906,47.900001525878906,47.900001525878906,151932,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.10483868841219825
2011-01-21,47.5,48.650001525878906,45.599998474121094,46.54999923706055,46.54999923706055,58134,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.06688603407495178
2011-01-24,45.5,48.900001525878906,45.5,48.900001525878906,48.900001525878906,64652,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.07472530826107486
2011-01-25,51.349998474121094,51.349998474121094,50.900001525878906,51.349998474121094,51.349998474121094,11328,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.008840804219100017
2011-01-27,53.95000076293945,53.95000076293945,53.95000076293945,53.95000076293945,53.95000076293945,12350,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-01-28,56.650001525878906,56.650001525878906,53.0,56.650001525878906,56.650001525878906,395110,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.06886795331846993
2011-01-31,57.150001525878906,59.5,56.099998474121094,59.5,59.5,55720,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.060606089453769336
2011-02-01,62.5,62.5,62.5,62.5,62.5,19559,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.0
2011-02-02,65.6500015258789,65.6500015258789,61.0,65.6500015258789,65.6500015258789,160874,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.07622953321112962
2011-02-03,68.94999694824219,68.94999694824219,62.400001525878906,62.400001525878906,62.400001525878906,123212,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.10496787279158683
2011-02-04,59.29999923706055,62.95000076293945,59.29999923706055,59.29999923706055,59.29999923706055,127766,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.061551459912967
2011-02-07,57.20000076293945,59.0,56.349998474121094,56.45000076293945,56.45000076293945,40471,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.04702753500687187
2011-02-08,56.5,56.5,53.650001525878906,53.650001525878906,53.650001525878906,21559,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.053122057652623796
2011-02-09,51.599998474121094,52.5,51.0,51.0,51.0,35336,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.029411764705882353
2011-02-10,48.5,50.79999923706055,48.45000076293945,48.45000076293945,48.45000076293945,14870,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.04850357971343239
2011-02-11,46.04999923706055,50.900001525878906,46.04999923706055,50.25,50.25,38775,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.10532035546517728
2011-02-14,52.0,52.79999923706055,49.5,50.349998474121094,50.349998474121094,50853,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.06666665125374842
2011-02-15,51.0,52.900001525878906,48.29999923706055,52.25,52.25,84710,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.09523814413000616
2011-02-16,53.900001525878906,53.900001525878906,50.20000076293945,51.849998474121094,51.849998474121094,113530,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.07370519336069428
2011-02-17,51.79999923706055,53.0,50.099998474121094,50.849998474121094,50.849998474121094,32640,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.05788426375655256
2011-02-18,50.849998474121094,51.79999923706055,49.150001525878906,49.849998474121094,49.849998474121094,12488,FMNL,Real Estate,Real Estate Services,N/A,EQUITY,,583.376,0.321,-1.08,0.05391653365028564
